"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:33:35-03","UNESC","CRI","8496","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart","Marcos Sobral","A. Stival Santos; A.L. Gaspar e S. Silveira","159","2008","11","19","Brasil","Santa Catarina","Joaçaba","-51.504722","-27.178056","51º30'17''W","27º10'41''S","CRI003596","CRI003596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:35-03","UNESC","CRI","8739","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart","A.L. Gaspar","A.L. Gaspar; S. Dreveck e F. E. Carneira","2042","2009","01","24","Brasil","Santa Catarina","Ipumirim","-52.134167","-27.075278","52º8'3''W","27º4'31''S","CRI003593","CRI003593","2009","01","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:35-03","UNESC","CRI","9419","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart","A. Quinet","A. Korte; A. Kniess","679","2009","10","21","Brasil","Santa Catarina","Vidal Ramos","-49.410556","-27.360556","49º24'38''W","27º21'38''S","CRI003594","CRI003594","2010","09","17","Águas Frias.","895","895","Floresta Ombrófila Densa Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:35-03","UNESC","CRI","1519","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart","J. B. Baitello","R. Negrelle; C. Londero",NA,"1993","02","15","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI003602","CRI003602",NA,NA,NA,"Reserva Volta Velha.","9","9","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:35-03","UNESC","CRI","9456","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart","M. Sobral","M. Verdi; B.Grosh & G. Klemz","1046","2008","11","25","Brasil","Santa Catarina","Concórdia","-51.93","-27.27","51º55'48''W","27º16'12''S","CRI003600","CRI003600",NA,NA,NA,"Canhada Funda.","579","579","Floresta Estacional Decidual Habitat: beira de estrada Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:35-03","UNESC","CRI","9442","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart","A. Quinet","M. Verdi; E. M. Martins e O. N. Veiga","5598","2010","08","31","Brasil","Paraná","Ponta Grossa","-50.005278","-25.253611","50º0'19''W","25º15'13''S","CRI003591","CRI003591","2010","09","15","Arenitos/ Parque Estadual da Vila Velha.","896","896","Floresta Ombrófila Mista Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:18-03","E","E","259366","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora",NA,NA,"Sellow, Friedrich",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"E00259366",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259366 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","syntype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:269818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","469027","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.",NA,"K. Kubitzki","8146","1981","02","21","Brazil","São Paulo","Cananéia","-47.9197","-25.0103",NA,NA,"NY00469027","NY00469027_01",NA,NA,NA,"Ilha do Cardoso, Morro detras do laboratorio",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421691' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","460000","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","I. de Vattimo","R. Reitz","10241","1960","10","14","Brazil","Santa Catarina","Sao José","-48.6272","-27.6156",NA,NA,"NY00460000","NY00460000_01",NA,NA,NA,"Serra da Boa Vista","700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421675' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","469011","PreservedSpecimen","Plantae","Lauraceae","Nectandra","grandiflora","Nectandra grandiflora","Nees & Mart.","G. G. Hatschbach","G. G. Hatschbach","26710","1971","06","01","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,"NY00469011","NY00469011_01",NA,NA,NA,"Col. S. Andrade",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421686' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
