"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","identifiedBy","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:38-03","UNESC","CRI","11310","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","D.Legrand","F.C.S. Vieira; R.V. Carvalho & H. Tomporowski","2158","2010","04","21","Brasil","Santa Catarina","Joinville","Serra Quimada.","-49.05","-26.1","49º3'0''W","26º6'0''S","1150","1150","Floresta Ombrófila Densa Alto Montana","CRI004989","CRI004989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","405011","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","D.Legrand","R. Reitz","8993","1959","08","21","Brazil","Santa Catarina",NA,"Morro Spitzkopf, Blumenau","-49.132229","-27.025081",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=15656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405011","NY00405011_01","Magnoliophyta","Myrtales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","557607","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","D.Legrand","J. Cordeiro","1372","1996","11","30","Brazil","Paraná","Campina Grande do Sul","Serra Ibititaquire, subida ao pico Paraná, próximo ao abrigo i","-49.0553","-25.3058",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=15654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557607","NY00557607_01","Magnoliophyta","Myrtales",NA,"South America","sheet","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557608","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","D.Legrand","C. B. Poliquesi","523","1996","07","22","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, picada para o Pico Paraná","-49.0553","-25.3058",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=15655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557608","NY00557608_01","Magnoliophyta","Myrtales",NA,"South America","sheet","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L 0009469","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","Le Grand","Reitz R; Klein RM",NA,"1959","08","21","Brazil",NA,NA,"Brazil, Morro Spitzkopf, Blumenau",NA,NA,NA,NA,NA,NA,"Mata de topo de morro<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200009469 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0009469","NL-L0009469",NA,"Myrtales","isotype","Southern America",NA,"Legrand CMDE","Magnoliopsidae","961268768",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U 0005057","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","Le Grand","Reitz R; Klein RM",NA,"1959","08","21","Brazil",NA,NA,"Brazil, Morro Spitzkopf, Blumenau",NA,NA,NA,NA,NA,NA,"Mata de topo de morro<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005057 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005057","NL-U0005057",NA,"Myrtales","isotype","Southern America",NA,"Legrand CMDE","Magnoliopsidae","123248 B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U 0005058","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","Le Grand","Reitz R; Klein RM",NA,"1959","08","21","Brazil",NA,NA,"Brazil, Morro Spitzkopf, Blumenau",NA,NA,NA,NA,NA,NA,"Mata de topo de morro<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005058",NA,NA,"Myrtales",NA,"Southern America",NA,"Legrand CMDE","Magnoliopsidae","7008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:31:22-03","IAP","PACA-AGP","85940","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","D. Legrand","J. M. Silva","3396","2001","08","18","Brasil","PR","Campina Grande do Sul","Serra do Ibitiraquire, trilha para o Pico Paraná","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"SEM MATERIAL. Habitat: Floresta Atlântica da encosta do morro","PACA085940",NA,"Magnoliophyta","Myrtales",NA,NA,NA,"M. Sobral","Magnoliatae",NA,"2001","55154","auto",NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034926","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","D.Legrand","C. B. Poliquesi; E. Barbosa","523","1996","7","22","Brazil","Parana","Campina Grande do Sul","Serra Ibitiraquire, picada para o Pico Parana.","-49.0833","-25.3",NA,NA,NA,NA,"Coor from www.fallingrain.com/world; Arvore, 5m, flor alva.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,"M. Sobral, 1999.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034927","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sclerocalyx","Eugenia sclerocalyx","D.Legrand","J. Cordeiro; O.S. Ribas","1372","1996","11","30","Brazil","Parana","Campina Grande do Sul","Serra Ibitiraquire, subida ao Pico Parana, proximo ao abrigo I.","-49.0833","-25.3",NA,NA,NA,NA,"Coor from www.fallingrain.com/world; Arbusto, 3m, fruto imaturo verde.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,"M. Sobral, 1999.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
