"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","recordNumber","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","continentOcean","class","order","fieldNumber","preparationType"
"1","2021-04-05 14:25:44-03","UNESC","CRI","12581","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Barb.Rodr.","Alexandre Medeiros","2017","08","13","Alexandre Medeiros","2017","08","13","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375","8793","Coleta 572. Habito: Rupícola","CRI010788","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:30-03","ESALQ","ESA","79034","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Barb. Rodr.","Forster, W.","2000","04","23","Forster, W.; Batista, F.R.Q.; Micheletto, F.; Liesenfeld, M.V.A.; San Martin-Gajardo, I.; Peroni, N.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","2000","04","23","Brasil","São Paulo","São Sebastião","BLOQUEADO","-45.4099998474121","-23.7600002288818","41977","Epífita. Flor branca (toda) . Planta a 30cm na linha d'agua","ESA079034","auto","Magnoliophyta","515.0","10","10","ESA079034",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:58-03","MN","R","44481","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Barb. Rodr.","Pabst, G.F.J.","1958","10","05","Paviotti, A.","1947","05",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 10:04:04-03","FURB","FURB","20319","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Barb.Rodr.","Mancinelli, WS","2010","10","10","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","02","01","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo.","-48.7619444","-27.8788889",NA,"Epífita IFFSC e226a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita de arbórea; flor botão floral amarelo","FURB02755",NA,NA,"1214","180","180","FURB02755","-48.7619444","-27.8788889",NA,NA,NA,NA,NA
"5","2020-10-14 10:04:04-03","FURB","FURB","22984","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Barb.Rodr.","Mancinelli, WS","2011","01","10","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2010","03","16","Brasil","Santa Catarina","Florianópolis","Pântano do Sul (Parque Municipal da Lagoinha do Leste).","-48.4925","-27.7752778",NA,"Epífita IFFSC e8006a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor branca","FURB35019",NA,NA,"1719","46","46","FURB35019","-48.4925000","-27.7752778",NA,NA,NA,NA,NA
"6","2020-10-14 10:04:04-03","FURB","FURB","31142","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Barb.Rodr.","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2010","06","22","Brasil","Santa Catarina","Florianópolis","Pântano do Sul (Parque Municipal da Lagoinha do Leste).","-48.4925","-27.7752778",NA,"Epífita IFFSC e8006b (Abaixo de 4m), forófito 10. Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","FURB35018",NA,NA,"2615","46","46","FURB35018","-48.4925000","-27.7752778",NA,NA,NA,NA,NA
"7","2020-10-14 10:04:04-03","FURB","FURB","31386","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Barb.Rodr.","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2010","03","10","Brasil","Santa Catarina","Florianópolis","Parque Municipal da Lagoa do Peri.","-48.535","-27.7241667",NA,"Epífita IFFSC e8003a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: epífita; Fruto com fruto;","FURB35031",NA,NA,"1623","317","317","FURB35031","-48.5350000","-27.7241667",NA,NA,NA,NA,NA
"8","2020-10-14 10:04:04-03","FURB","FURB","22959","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Barb.Rodr.","Mancinelli, WS","2011","01","10","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","03","09","Brasil","Santa Catarina","Florianópolis","Pântano do Sul (Parque Municipal da Lagoinha do Leste).","-48.5491981506348","-27.596700668335","27000","Coleta Extra IFFSC (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: epífita; flor branca","FURB35021","auto",NA,"1567",NA,NA,"FURB35021",NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:10:58-03","UFES","VIES","19272","S","Plantae","Orchidaceae","Epidendrum","hololeucum","Epidendrum hololeucum","Barb.Rodr.","Krahl, A.H.","2008","05","25","Krahl, A.H.","2008","05","25","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama.","-41.1128005981445","-20.8488998413086","35694",NA,"VIES019272","auto",NA,"49",NA,NA,"VIES019272",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:38:25-03","MBM","MBM","49003","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","geniculatum","Epidendrum geniculatum","Rodr.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1968","04","11","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3288993835449","-25.3066997528076","37295",NA,"MBM049003","auto",NA,"19011",NA,NA,"MBM049003",NA,NA,"Southern America",NA,NA,NA,NA
