"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","imagecode","typeStatus","class","coordinatePrecision","geoFlag","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"1","2021-04-05 14:24:48-03","UNESC","CRI","12282","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Guilherme Alves Elias, Peterson Teodoro Padilha & Altamir Antunes","2017","03","23","Guilherme Alves Elias; Peterson Teodoro Padilha & Altamir Antunes","2017","03","23","Brasil","Santa Catarina","Timbé do Sul","Paredão da Serra da Rocinha antes da pavimentação.","-49.9275","-28.811667","49º55'39''W","28º48'42''S","CRI010464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617654","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","T. M. Pedersen",NA,NA,NA,"G. G. Hatschbach","1995","02","16","Brazil","Santa Catarina","Urubici","Morro da Igreja, próximo ao alto","-49.481631","-28.12837",NA,NA,"NY00617654","Magnoliophyta","Apiales","61660","South America","1750","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617655","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","T. M. Pedersen",NA,NA,NA,"T. M. Pedersen","1984","03","10","Brazil","Santa Catarina","Lauro Muller","Serra do Rio de Rastro","-49.3967","-28.3931",NA,NA,"NY00617655","Magnoliophyta","Apiales","13801","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","405938","PreservedSpecimen","Plantae","Apiaceae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","L. Constance",NA,NA,NA,"L. B. Smith","1957","01","25","Brazil","Santa Catarina","Bom Retiro","Fazenda Campo dos Padres, Campo dos Padres","-49.4892","-27.7972",NA,NA,"NY00405938","Magnoliophyta","Apiales","10459","South America","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405938_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.4220702","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"Pedersen TM","1979","12","15","Brazil",NA,NA,"Santa Catarina mun. Timbé do su Serrra do Pinheirinho.",NA,NA,NA,NA,"NL-L4220702",NA,"Apiales",NA,"Southern America",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4220702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4220702",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.4222338","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance",NA,NA,NA,NA,"Pedersen TM","1984","03","10","Brazil",NA,NA,"Santa Catarina, mun. Lauro Muller: Serra do Rio de Rastro.",NA,NA,NA,NA,"NL-L4222338",NA,"Apiales",NA,"Southern America",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4222338 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4222338",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:33:47-03","IAP","PACA-AGP","32370","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","B. Irgang","1973",NA,NA,"Rambo, B.","1946","02","28","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,"PACA032370","Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,"VULNERÁVEL&nf;fl. Habitat: in rupestribus dumetosis Fenofase: flor",NA,NA,"Magnoliatae","55856","auto",NA,NA,NA,NA,NA
"8","2019-08-27 13:33:47-03","IAP","PACA-AGP","50743","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Diober Lucas","2015","11","26","Reitz, R.","1948","12","21","Brasil","SC","Campo dos Padres",NA,NA,NA,NA,NA,"PACA050743","Magnoliophyta","Umbellales","2681",NA,"1700","1700",NA,"fl.; beira do rio, erva; altit. 1700 m; alt. 1 m. Habitat: ad flumen Fenofase: flor Hábito: erva",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:33:47-03","IAP","PACA-AGP","53934","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Diober Lucas","2015","11","26","Rambo, B.","1953","02","20","Brasil","RS","Taimbezinho",NA,NA,NA,NA,NA,"PACA053934","Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,"fl. Habitat: in rupestribus humidis dumetosis Fenofase: flor",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:33:47-03","IAP","PACA-AGP","45416","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","smithii","Eryngium smithii","Mathias & Constance","Diober Lucas","2015","11","26","Rambo, B.","1950","01","18","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,"PACA045416","Magnoliophyta","Umbellales",NA,NA,NA,NA,NA,"fl. Habitat: in rupestribus dumetosis Fenofase: flor",NA,NA,"Magnoliatae","55856","auto",NA,NA,NA,NA,NA
