"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:32-03","UNESC","CRI","13712","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.","Rodrigo Camargo","2017","09","20","Alexandre Medeiros","663","2017","09","20","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 663 Planta rasteira de flor amarela Habitat: Terrestre Habito: Herbácea","CRI012319","CRI012319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:20-03","UNESC","CRI","3853","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow; S. L. C. Leite & F. M. S. Viana","312","1986","06","05","Brasil","Rio Grande do Sul","Rio Grande","Estação Ecológica do Taim.","-52.098889","-32.035556","52º5'56''W","32º2'8''S","Habito: trepadeira","CRI003166","CRI003166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:20-03","UNESC","CRI","13671","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.","Rodrigo Camargo","2017","09","28","Alexandre Medeiros",NA,"2017","09","28","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 734 Habitat: Terrestre Habito: Trepadeira","CRI012278",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","4973","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.","Albertina Brocca","1996","11","13","A. Brocca",NA,NA,NA,NA,"Brasil","Santa Catarina","Balneário Rincão",NA,"-49.235","-28.831389","49º14'6''W","28º49'53''S","Flores amarelas. Habito: Trepadeira","CRI013786","CRI013786",NA,NA,"7","7",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1843613","PreservedSpecimen","Plantae","Fabaceae","Vigna","brasiliensis","Vigna brasiliensis","Mart. ex Benth.",NA,NA,NA,NA,"Martii Herbar. Florae Brasil.","1134",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078058' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843613","NY01843613_01",NA,NA,NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1843544","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.",NA,NA,NA,NA,"G. T. Prance","2566","1966","09","26","Brazil","Amazonas",NA,"Vinicity of Lago do Mapongapa, Rio Purus, below Boca do Acre.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077425' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843544","NY01843544_01",NA,NA,NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01479687","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.","R. C. Barneby",NA,NA,NA,"B. V. Rabelo","3728","1987","11","02","Brazil","Pará",NA,"Rio Anajás. Ilha do Marajó","-49.8","-0.98",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1827821' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479687","NY01479687_01",NA,NA,NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","88459","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.","R. C. Barneby",NA,NA,NA,"D. E. Williams","1003","1989","09","22","Bolivia","El Beni","José Ballivián","Carmen Florida, Río Beni, 7km upstream from Rurrenabaque, Tacana Indian village","-67.5","-14.5",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00088459",NA,NA,NA,"320","320","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1843528","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.",NA,NA,NA,NA,"C. C. Berg","19786","1973","08","28","Brazil","Amazonas",NA,"Lago do Janauacá, south of Rio Solimões","-60.2817","-3.4247",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843528","NY01843528_01",NA,NA,NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1843543","PreservedSpecimen","Plantae","Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.","H. S. Irwin",NA,NA,NA,"J. M. Pires","51366","1961","09","30","Brazil","Amapá",NA,"Rio Araguari. Vicinity Camp 12.","-52.13","1.18",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077423' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843543","NY01843543_01",NA,NA,NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA
