"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02211505","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","D. C. Daly","1776","1981","12","06","South America","Brazil","Pará","Serra dos Carajás, 20-25 km NW of Serra Norte mining camp","-50.433333","-5.916667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2346266' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211505","NY02211505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","840859","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","H. S. Irwin","21176","1968","03","14","South America","Brazil","Tocantins","Ca. 5 km N. of Araguaína.","-48.2","-7.15467","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00840859","NY00840859_01","J. A. Lombardi","Araguaína","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","840860","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","R. de Lemos Fróes","20253","1944","06",NA,"South America","Brazil","Maranhão","Rio Pindaré.","-45.2508","-3.4919","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00840860","NY00840860_01","J. A. Lombardi","Monção",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02211504","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","A. S. L. da Silva","1940","1984","03","20","South America","Brazil","Pará","Serra dos Carajás. N-4, próximo a transição para a mata. Campo rupestre, solo de canga e na mata de terra firme.","-50.1736164","-6.0551244","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2346265' target='other'> <mi>dwc_moreinfo</mi></a>","NY02211504","NY02211504_01",NA,"Marabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:50:32-03","EAO","IAN","16071","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Fróes, RL","20253","1944","06",NA,"Southern America","Brasil","Maranhão","Rio Pindaré.",NA,NA,NA,"Cipó.","IAN016071","IAN016071 IAN016071_e",NA,"Moncão",NA,NA,"isoparatipo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:50:32-03","EAO","IAN","51922","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Fróes, RL","25677","1950","01","11","Southern America","Brasil","Maranhão","Carema, Canta Galo, floresta secundária.",NA,NA,NA,"Cipó; flores amarelas.","IAN051922",NA,"Lombardi, JA",NA,NA,NA,NA,"2015","04",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:50:32-03","EAO","IAN","64147","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Fróes, RL","27122","1951","05","17","Southern America","Brasil","Pará","Rio Tocantins, Jatobá; mata secundária.",NA,NA,NA,"Cipó; flor branca.","IAN064147","IAN064147 IAN064147_e","Lombardi, JA",NA,NA,NA,NA,"2015","04",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:50:32-03","EAO","IAN","187214","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Giorni, VT","113","2009","03","13","Southern America","Brasil","Pará",NA,"-49.8782997131348","-6.49694013595581",NA,NA,"IAN187214",NA,NA,"Canaã dos Carajás",NA,NA,NA,NA,NA,"80513","auto",NA,NA,NA,NA,NA
"9","2021-03-30 12:50:32-03","EAO","IAN","80914","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Andrade-Lima, D de","1391","1953","05","06","Southern America","Brasil","Pará","Airí. Clareira da mata.","-54.0691986083984","-2.00778007507324",NA,"Cipó sobre pequeno arbusto; caule vermelho; flores cremes; frutos maduros negros.","IAN080914",NA,"Lombardi, JA","Monte Alegre",NA,NA,NA,"2015","04","279177","auto",NA,NA,NA,NA,NA
"10","2019-02-15 11:52:01-02","IPA","IPA","5800","S","Plantae","Plantae",NA,"Vitaceae","Cissus","apendiculata","Cissus apendiculata","Lombardi","Andrade-Lima","53-1391","1953","05","06","Southern America","Brasil","Pará","Airí. Clareira da mata.","-54.0691986083984","-2.00778007507324",NA,"Cipó s/ pequeno arb. Caule vermelho. Flores cremes. Fruto maduro negro.","IPA0005800",NA,"Lombardi, J.A.","Monte Alegre",NA,NA,NA,"1993","12","279177","auto",NA,NA,NA,NA,NA
