"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","day","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","149640","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.","type","A. C. Brade","6449","1913","06","South America","Brazil","Rio de Janeiro","Itatiaya","-44.617038","-22.371537","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00149640","NY00149640_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1184788","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"A. C. Brade","15526","1937","03","South America","Brazil","Rio de Janeiro","Parque Nacional do Itatiana.","-44.5631","-22.4961","2000",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478892' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184788","NY01184788_02","A. C. Brade","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","875265","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"A. Salino","5250","2000","04","South America","Brazil","Minas Gerais","Serra do Caraça, Parque Natural, na Gruta do Parde Caio.","-43.4075","-20.0747","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875265","NY00875265_01","R. C. Moran","Catas Altas","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886038","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"A. Salino","6529","2001","04","South America","Brazil","São Paulo","Parque Estadual da Serra do Mar, Núcleo de Curucutu, Trilha para o Rio Branco","-46.7353","-23.9853","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=975305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886038","NY00886038_02","R. C. Moran","São Paulo","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","875266","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"A. Salino | R. Mota","8868","2003","08","South America","Brazil","Minas Gerais","Parque Natural Municipal do Ribeirão do Campo. Na direção da Cachoeira do Poço Grande.","-43.5925","-19.0872","1280","1280","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00875266",NA,"R. C. Moran","Conceição do Mato Dentro","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","809676","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"A. C. Brade","15526","1937","03","South America","Brazil","Rio de Janeiro","Itatiaia","-44.5631","-22.4961","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809676","NY00809676_01","A. C. Brade","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","809678","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"B. T.","841","1884","02","South America","Colombia",NA,"Forests in highlands of Popayau",NA,NA,"1600","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809678","NY00809678_01","A. F. Rojas Alvarado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1184793","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"A. C. Brade","16507","1940","07","South America","Brazil","Rio de Janeiro","Flora da Serra dos Orgaos, Pedra Assú","-43.065577","-22.483289","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478913' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184793","NY01184793_01","A. C. Brade",NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1184789","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"A. C. Brade","15529","1937","03","South America","Brazil","Rio de Janeiro","Parque Nacional do Itatiana.","-44.5631","-22.4961","2300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478893' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184789","NY01184789_02","A. C. Brade","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","809675","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","itatiayense","Elaphoglossum itatiayense","Rosenst.",NA,"A. C. Brade","21116","1951","05","South America","Brazil","São Paulo","Serra da Bocaina, Morro do Matão",NA,NA,"1900","1900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809675","NY00809675_01","A. C. Brade",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
