"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber"
"1","2021-04-05 14:33:32-03","UNESC","CRI","11727","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F.Macbr.","Marciel Fernandes","2007","12","13","Marciel Bonfi Fernandes","52","2007","11","29","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30","Habito: árvore","CRI003055","CRI003055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","7668","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F.Macbr.","Vanilde C. Zanette","2008","12","13","Jean Gabriel Cemin",NA,"2008","11","29","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30",NA,"CRI003053","CRI003053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:19-03","UNESC","CRI","586","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F.Macbr.","Luis R. M. Baptista",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","936","1990","08","15","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003054","CRI003054","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","8370","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F.Macbr.","Vanilde C. Zanette",NA,NA,NA,"Aline Costa Brum Figueiró Leandro",NA,"2007","01","01","Brasil","Santa Catarina","Criciúma","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58",NA,"CRI003059","CRI003059","Parque Ecológico Municipal José Milanese.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:32-03","UNESC","CRI","11754","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F.Macbr.",NA,NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30",NA,"CRI003056","CRI003056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:48-03","E","E","178560","PreservedSpecimen","Plantae","Leguminosae","Piptadenia","gonoacantha","Piptadenia gonoacantha",NA,NA,NA,NA,NA,"Fiebrig, K.","4524","1905","03","22","PY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00178560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178560",NA,"Zwischen Rio Apa und Rio Aquidaban.","E. Tropical South America","herbarium specimen of unspecif","BGBASE:185397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:48-03","E","E","178559","PreservedSpecimen","Plantae","Leguminosae","Piptadenia","gonoacantha","Piptadenia gonoacantha",NA,NA,NA,NA,NA,"Fiebrig, K.","4524","1905","03","22","PY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00178559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178559",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:185398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3209","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","communis","Piptadenia communis","Benth.",NA,NA,NA,NA,"J. B. A. Guillemin","249","1839","01",NA,"Brazil",NA,NA,"-43.212237","-22.951713",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003209","NY00003209_01","Mont. du Corcovado, le long de l' aqueduc.","South America","sheet",NA,"Magnoliophyta","Fabales","syntype",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3205","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","communis","Piptadenia communis","Benth.",NA,NA,NA,NA,"J. B. E. Pohl","1207",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738322' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003205","NY00003205_01","Ad Rio Maccacu et Arcas","South America","sheet",NA,"Magnoliophyta","Fabales","isosyntype",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3206","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","communis","Piptadenia communis","Benth.",NA,NA,NA,NA,"J. B. E. Pohl","1396",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003206","NY00003206_01","Brasilia","South America","sheet",NA,"Magnoliophyta","Fabales","isosyntype",NA,NA,NA,NA,NA,NA,NA
