"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","class","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:47-03","UNESC","CRI","14396","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel","Fábio C. S. Vieira","2020","04","17","Schwirkowski, P.","2159","2016","11","26","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin. Minas de caulin. Próximo às minas de caulim.","-49.224722","-26.290833","49º13'29''W","26º17'27''S","1050","1050","Campo de altitude com capões de FOM Altomontana Habitat: Interior de capão de FOM Altomontana Habito: Árvore","CRI013447","CRI013447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615900","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel","L. R. Landrum",NA,NA,NA,"G. G. Hatschbach","23471","1970","02","06","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615900","NY00615900_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615895","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel","L. R. Landrum",NA,NA,NA,"R. Kummrow","2150","1983","01","05","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno, Serra Azul","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615895","NY00615895_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615898","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel","L. R. Landrum",NA,NA,NA,"L. R. Landrum","2682","1977","11","22","Brazil","Santa Catarina","Lajes","Ca. 18 km south of Lajes along highway","-50.33","-27.83",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615898","NY00615898_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615901","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel","L. R. Landrum",NA,NA,NA,"J. Mattos","12137","1964","11","12","Brazil","Santa Catarina","Urubici","Urubici, Mundo Novo","-49.5917","-28.015",NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615901","NY00615901_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615902","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel","L. R. Landrum",NA,NA,NA,"G. G. Hatschbach","14814","1966","10","10","Brazil","Paraná","Sao José dos Pinhais","Col. Roseira","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615902","NY00615902_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615899","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel",NA,NA,NA,NA,"L. R. Landrum","2947a","1977","12","26","Brazil","Rio Grande do Sul","Sao Francisco de Paula","5 km along road to Porto Alegre","-50.25","-29.5",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615899","NY00615899_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615896","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel","L. R. Landrum",NA,NA,NA,"R. Reitz","8673","1959","03","19","Brazil","Santa Catarina","Sao Joaquim","Curral Falso, Bom Retiro, Sao Joaquim","-49.9317","-28.2942",NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615896","NY00615896_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615897","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel","L. R. Landrum",NA,NA,NA,"L. R. Landrum","2684","1977","11","22","Brazil","Santa Catarina","Lajes","Ca. 18 km south of Lajes along highway","-50.33","-27.83",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615897","NY00615897_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.4149851","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","oxysepala","Myrceugenia oxysepala","(Burret) D.Legrand & Kausel",NA,NA,NA,NA,"Kegler A",NA,"2002","01","29","Brazil",NA,NA,"RS - Mun. de Caixas do Sul - Criúva.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4149851 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4149851","NL-L4149851",NA,"Myrtales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
