"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","class","order","typeStatus","fieldNumber","preparationType","individualCount","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber"
"1","2021-03-30 12:47:47-03","EAO","IAN","137178","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Müll.Arg.","Jardim, JG","2005","04","12","Belém, RP; Pinheiro, RS","3192","1967","01","19","Southern America","Brasil","Bahia","Maraú","Mata costeira.","-39.0147018432617","-14.103099822998","47076","Arbusto de 2m; flores brancas.","IAN137178","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:18:25-03","ESALQ","ESA","115231","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Faramea","bahiensis","Faramea bahiensis",NA,"Souza, V.C.",NA,NA,NA,"Lopes, J.C.","294.0","2011","04","20",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094",NA,"ESA115231","auto","ESA115231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:19:16-03","UFV","VIC","18206","PreservedSpecimen","Plantae",NA,"Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Muell.Arg",NA,NA,NA,NA,"Ana Luiza","s.n.","1995","09","27",NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,"Altura de 7 m, P 31 n°88","VIC018206",NA,"VIC018206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-24 17:09:53-03","UFES","SAMES","4945","PreservedSpecimen","Plantae",NA,"Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Müll.Arg.","Giaretta,A.",NA,NA,NA,"Monteiro,M.M.; Giaretta,A.O.","159","2009","03","28",NA,"Brasil","Espírito Santo","Conceição da Barra","Itaúnas. Parque Estadual de Itaúnas. Mata de restinga sobre influência de lençol freático, localizada na trilha das borboletas.","-39.7322006225586","-18.5932998657227","41644","Frutos verdes, pedicelo do fruto vinoso. Habito: Arbusto","SAMES04945","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-19 16:37:03-03","UNESP-IBB","BOTUW","1074","PreservedSpecimen","Plantae",NA,"Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Muell.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,"BOTUW001074",NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:31:57-03","UFRRJ","RBR","1412","S","Plantae",NA,"Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Müll.Arg.",NA,NA,NA,NA,"I.A. Silva","14880","1980","02","15",NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Est. X-2, Km 0,152 lado direito.","-40.0722007751465","-19.3910999298096","48094",NA,"RBR00001412","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-15 09:04:14-03","UESC","UESC","23969","S","Plantae","Angiospermae","Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Muell Arg.","J.Jardim","2014","09",NA,"Paixão, J.L.,","1897","2011","05","12",NA,"Brasil","Bahia","Igrapiúna",NA,"-38.1675","-13.802222",NA,"Arbusto, ca. 2m de alt.","UESC0023969",NA,NA,"38W10'3''","13S48'8''","Dicotyledoneae","Florideophycidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-11-04 04:05:36-02","MNHN","RECOLNAT_MNHN_P","P00836797","PreservedSpecimen",NA,NA,"Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Müll.Arg.","Jardim",NA,NA,NA,"Blanchet",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Bahia",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836797' target='other'> <mi>dwc_moreinfo</mi></a>","P00836797",NA,"P00836797_01",NA,NA,NA,NA,"isotype","1492","hb",NA,NA,NA,NA,NA
"9","2014-05-14 11:37:02-03","MNHN","RECOLNAT_MNHN_P","P00836798","PreservedSpecimen",NA,NA,"Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Müll.Arg.","Jardim",NA,NA,NA,"Blanchet",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Bahia",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836798' target='other'> <mi>dwc_moreinfo</mi></a>","P00836798",NA,"P00836798_01",NA,NA,NA,NA,"isotype","1492","hb",NA,NA,NA,NA,NA
"10","2011-02-26 17:55:00-03","MO","MOBOT","3115171","PreservedSpecimen","Plantae",NA,"Rubiaceae","Faramea","bahiensis","Faramea bahiensis","Müll. Arg.","C. M. Taylor",NA,NA,NA,"D.A. Folli","Folli 2452","1995","1","3","South America","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
