"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","typeStatus","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:38:39-03","E","E","195578","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Salzmann, Philipp","1905","01","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:200039","<a href=http://data.rbge.org.uk/herb/E00195578 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:39-03","E","E","205645","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Harley, R.M.","1980","04","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218809","<a href=http://data.rbge.org.uk/herb/E00205645 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205645","21957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:39-03","E","E","205646","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Harley, R.M.","1980","04","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218810","<a href=http://data.rbge.org.uk/herb/E00205646 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205646","21636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:39-03","E","E","195586","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Smith, Herbert H.",NA,NA,NA,"W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:200031","<a href=http://data.rbge.org.uk/herb/E00195586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195586","245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:39-03","E","E","195602","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","Martius",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:199957","<a href=http://data.rbge.org.uk/herb/E00195602 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00195602","229","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","777679","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","R. M. Harley","1980","04","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777679","21636",NA,"Magnoliophyta","Poales","(L.) Roem. & Schult.","D. A. Simpson","Bahia","Chapadao Ocidental da Bahia. Islets and banks of the Rio Corrente by Correntina. F3","-44.63","-13.33","580","580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","636899","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","T. Morong","1888",NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636899","499",NA,"Magnoliophyta","Poales","(L.) Roem. & Schult.",NA,NA,"Central Paraguay.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","636898","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","E. P. Killip","1922","10","05","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636898","11744",NA,"Magnoliophyta","Poales","(L.) Roem. & Schult.","H. K. Svenson","Valle del Cauca","Buenaventura. Pacific coast.","-77.150311","3.655616",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 20:34:00-03","NY","NYBG","00749821","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","E. P. Heringer","1979","06","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=910782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749821","1652",NA,"Magnoliophyta","Poales",NA,"A. C. Araújo","Distrito Federal","Area de inundação da Barragem São Bartolomeu - córrego Mestre D'Armas. Imediaçoes da ponte de cimento","-47.9294","-15.7797",NA,NA,"Brasília","NY00749821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 17:18:00-03","NY","NYBG","622984","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","A. Gehrt","1921","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622984","5403",NA,"Magnoliophyta","Poales",NA,NA,"São Paulo","Butantan, S.Paulo.","-46.724373","-23.565521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","622981","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","mutata","Eleocharis mutata","P. von Luetzelburg","1911","12",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622981","330",NA,"Magnoliophyta","Poales","(L.) Roem. & Schult.","H. H. Pfeiffer","Rio de Janeiro","Merity-Sumpf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
