"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","identifiedBy","relatedCatalogItem","yearIdentified","typeStatus","fieldNumber","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","individualCount","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02102788","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","P. K. H. Dusén","8262","1909","03","18","South America","Brazil","Paraná","Morretes.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2248138' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102788","NY02102788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02102787","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","G. G. Hatschbach","41947","1979","01","24","South America","Brazil","Paraná","Rio Bromado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2248137' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102787","NY02102787_01","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2102786","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","G. G. Hatschbach","50359","1986","03","07","South America","Brazil","Paraná","América de Baixo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2248136' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102786","NY02102786_01","Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:00:01-03","NBC","NL-BOTANY","U.1364378","PreservedSpecimen","Plantae",NA,"Malvales","Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach GG",NA,"1979","01","24","Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1364378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1364378","NL-U1364378",NA,NA,NA,NA,NA,"Magnoliopsidae","Cristóbal CL","U 0082347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:34:20-03","IAP","PACA-AGP","69152","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G.","1986","1986","03","07",NA,"Brasil","PR","América de Baixo",NA,"trepadeira apoiante; flores alvescentes; ápice vinoso; orla da mata pluvial. Fenofase: flor Hábito: trepadeira","PACA069152",NA,"Morretes","-48.834400177002","-25.476900100708","30514","auto","Magnoliopsida","G. Hatschbach",NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:41:58-03","UNICAMP","UEC","14859","S","Plantae","Magnoliopsida",NA,"Sterculiaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G","20628","1968","12","19",NA,"Brazil","Paraná","Serra de Araraquara",NA,"Trepadeira, clareiras da mata pluvial, encosta de morro, flor vinosa, ápice das pétalas creme.","UEC085113","UEC085113","Guaratuba","-48.5746994018555","-25.8827991485596","41937","auto",NA,"Cristóbal, CL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:33:05-03","MBM","MBM","108647","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G.; et al.; et al.","50359","1986","03","07","Southern America","Brazil","Paraná","América de Baixo",NA,NA,"MBM108647","MBM108647","Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,"Hatschbach, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:33:05-03","MBM","MBM","205950","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Athayde, S.F.; et al.; et al.","165",NA,NA,NA,"Southern America","Brazil","Paraná","Morro do Qitumbé",NA,NA,"MBM205950","MBM205950","Guaraqueçaba","-48.3288993835449","-25.3066997528076","37295","auto",NA,"Guimarães, O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:33:05-03","MBM","MBM","179865","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G.; Hatschbach, M.; Motta, J.T.; Hatschbach, M.; Motta, J.T.","62880",NA,NA,NA,"Southern America","Brazil","Paraná","Rodovia Antonina - Guaraqueçaba. km 72",NA,NA,"MBM179865","MBM179865","Guaraqueçaba","-48.3288993835449","-25.3066997528076","37295","auto",NA,"Cristóbal, C.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:33:05-03","MBM","MBM","44055","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G.","3479","1956","12","23","Southern America","Brazil","Paraná","Garuva",NA,NA,"MBM044055","MBM044055","Guaratuba","-48.5746994018555","-25.8827991485596","41937","auto",NA,"Cristóbal, C.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:33:05-03","MBM","MBM","44058","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Byttneria","implacabilis","Byttneria implacabilis","Cristóbal","Hatschbach, G.","9771","1963","03","10","Southern America","Brazil","Paraná","Pedra Branca de Araraquara",NA,NA,"MBM044058","MBM044058","Guaratuba","-48.5746994018555","-25.8827991485596","41937","auto",NA,"Cristóbal, C.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
