"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","493257","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore","S. A. Mori","S. A. Mori","25163","2000","09","14","South America","French Guiana","Pic Matécho, ca. 22.5 km NE of Les Eaux Claires. Waterfall by north faciing precipice.","-53.03","3.75","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493257","NY00493257_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2010644","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore",NA,"Collector unspecified","352",NA,NA,NA,"South America","Trinidad and Tobago","Trinidad.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2159256' target='other'> <mi>dwc_moreinfo</mi></a>","NY02010644","NY02010644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2010645","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore",NA,"J. H. Hart","5348","1895",NA,NA,"South America","Trinidad and Tobago","Trinidad. Hort Toin Alexander",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2159257' target='other'> <mi>dwc_moreinfo</mi></a>","NY02010645","NY02010645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3823803","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore",NA,"L. M. Underwood","15",NA,NA,NA,"South America","Guyana","British Guiana",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103867' target='other'> <mi>dwc_moreinfo</mi></a>","NY03823803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3823791","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore",NA,"H. H. van der Werff","12981","1993","08","11","South America","French Guiana","Eau Claire, near Saul.",NA,NA,"200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103855' target='other'> <mi>dwc_moreinfo</mi></a>","NY03823791","NY03823791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","809681","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore",NA,"A. C. Brade","6282","1926","08",NA,"South America","Brazil","Ternapara, Serrinhas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809681","NY00809681_01","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03823788","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore",NA,"J.-J. de Granville","13285","1997","03","11","South America","French Guiana","Montagnes de la Trinité - Bassin de la Mana.","-53.35","4.6","400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103852' target='other'> <mi>dwc_moreinfo</mi></a>","NY03823788","NY03823788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","809679","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore","J. T. Mickel","J. A. Steyermark","87682","1960","11","20","South America","Venezuela","Between Pa Paloma and Moron, forest Rio Cuyubini",NA,NA,"90","90","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809679","NY00809679_01","Delta Amacuro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3823797","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore",NA,"P. J. Edwards","1453","1979","04","21","South America","Guyana","Kako River",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103861' target='other'> <mi>dwc_moreinfo</mi></a>","NY03823797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3823798","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","herminieri","Elaphoglossum herminieri","(Bory ex Fée) T.Moore",NA,"D. Clarke","3741","1997","02","20","South America","Guyana","Rewa River; 0-5 km S of camp.","-58.5922","2.985","150",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4103862' target='other'> <mi>dwc_moreinfo</mi></a>","NY03823798",NA,"Upper Takutu-Upper Essequibo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
