"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","scientificNameAuthorship","typeStatus","recordNumber","continentOcean","coordinatePrecision","barcode","geoFlag","class","order","occurrenceRemarks","imagecode","year","month","day","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","monthIdentified","relationshipType","relatedCatalogItem","dayIdentified"
"11","2020-10-01 14:25:07-03","JBB","HEPH","36124","S","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Faria, JEQ","Faria, JEQ; Otoni, TJO","Brasil","Minas Gerais","Diamantina","Margem da estrada logo após o distrito de Sopa em direção ao distrito de São João da Chapada","-43.703056","-18.199167","-43.703056","-18.199167","Dicotyledon","Dammer",NA,"9352","Southern America",NA,NA,NA,NA,"Solanales",NA,NA,"2019","06","22","2019","1290","1290",NA,NA,"06",NA,NA,NA
"12","2018-04-26 14:53:44-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Silva, CV da","Vasconcelos, LV","Brazil","Bahia","Palmeiras","Vale do Capão, Serra da fumaça","-41.501667","-12.609722","-41.501667","-12.609722",NA,"Dammer",NA,"434","Southern America",NA,"CONV016423",NA,NA,NA,"Erva ca. 50 cm de altura. Folhas cartáceas; concolores verde - acinzentadas, pubescentes. Corola azul com anteras e gineceu brancos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"voucher","187053",NA
"13","2018-04-26 14:53:44-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Silva, CV da","Conceição, AA","Brazil","Bahia","Mucugê","Cerrado em baixo da Serra do Esbarr","-41.5","-12.75","-41.5","-12.75",NA,"Dammer",NA,"1332","Southern America",NA,"CONV016449",NA,NA,NA,"Subarbusto ca. 45cm alt. Folhas papiráceas, cinéreos com tricomas alvo-prateados. Corola azul. Estames estilete alvos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"voucher","94594",NA
"14","2019-11-13 11:18:07-03","USP","SPF","18115","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Silva, CV","Giulietti, AM","Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,"Dammer",NA,"CFCR1252",NA,NA,"SPF00018115",NA,NA,NA,NA,"SPF00018115","1981","07","18","2012",NA,NA,NA,NA,"05",NA,NA,NA
"15","2019-11-13 11:18:07-03","USP","SPF","18164","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Silva, CV","Giulietti, AM","Brasil","Bahia",NA,"Morro do Ouro",NA,NA,NA,NA,NA,"Dammer",NA,"CFCR1255",NA,NA,"SPF00018164",NA,NA,NA,NA,"SPF00018164","1981","07","19","2012",NA,NA,NA,NA,"05",NA,NA,NA
"16","2019-11-13 11:18:07-03","USP","SPF","21855","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Simão-Bianchini, R","Giulietti, AM","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Dammer",NA,"CFCR2399",NA,NA,"SPF00021855",NA,NA,NA,NA,"SPF00021855","1981","10","30","2003","1402","1402",NA,NA,"12",NA,NA,NA
"17","2019-11-13 11:18:07-03","USP","SPF","77523","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Simão-Bianchini, R","Arbo, MM","Brasil","Minas Gerais","Diamantina",NA,"-43.816667","-18.283333","-43.816667","-18.283333",NA,"Dammer",NA,"4399",NA,NA,"SPF00077523",NA,NA,NA,NA,"SPF00077523","1990","05","18","2003","1270","1300",NA,NA,"12",NA,NA,NA
"18","2019-11-13 11:18:07-03","USP","SPF","81080","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Silva, CV","Harley, RM","Brasil","Bahia","Barra da Estiva",NA,"-41.266667","-13.5","-41.266667","-13.5",NA,"Dammer",NA,"26901",NA,NA,"SPF00081080",NA,NA,NA,NA,"SPF00081080","1988","11","17","2012","870","870",NA,NA,"05",NA,NA,NA
"19","2019-11-13 11:18:07-03","USP","SPF","35781","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Simão-Bianchini, R","Stannard, BL","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"Dammer",NA,"CFCR6181",NA,"101169","SPF00035781","auto",NA,NA,NA,"SPF00035781","1984","11","19","2003",NA,NA,NA,NA,"12",NA,NA,NA
"20","2019-11-13 11:18:07-03","USP","SPF","189334","PreservedSpecimen","Plantae","Convolvulaceae","Evolvulus","glaziovii","Evolvulus glaziovii","Simão-Bianchini, R","Duarte, AP","Brasil","Minas Gerais","Diamantina","Planalto de Minas","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Dammer",NA,"14005",NA,"101169","SPF00189334","auto",NA,NA,NA,"SPF00189334","1978","10","06","2007",NA,NA,NA,NA,"11",NA,NA,NA
