"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2016-11-02 16:11:00-02","NY","NYBG","01058624","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium","A. M. G. de Azevedo-Tozzi","Z. A. Trinta","847","1964","09","19","South America","Brazil","Rio de Janeiro","Estr. Rio-Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142743' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058624","NY01058624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 12:02:00-02","NY","NYBG","602972","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium","G. P. Lewis","Z. A. Trinta","847","1964","09","19","South America","Brazil","Rio de Janeiro","Estr. Rio S. Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602972","NY00602972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01058623","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium","M. Lavin","G. T. Prance","19303","1973","10","22","South America","Brazil","Mato Grosso","Main square of Chapada dos Guimarães","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142740' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058623","NY01058623_01","(Jacq.) Kunth ex Walp.","Chapada dos Guimarães","-55.7494","-15.4608","780","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","602975","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium",NA,"S. A. Mori","10302","1978","07","24","South America","Brazil","Bahia","Area do CEPEC (Centro de Pesq. do Cacau), km 22 rodovia Ilhéus/Itabuna - BR 415. Cultivada junto ao prédio da Administraçâo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602975","NY00602975_01","(Jacq.) Kunth ex Walp.","Ilhéus","-39.223423","-14.784053","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","602976","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium","M. Lavin","F. C. Hoehne","sn",NA,NA,NA,"South America","Brazil","São Paulo","Cultivado em Sâo Paulo, no Jardim Botânico. (Mudas recebidas da Escola Agricola Luiz de Queiroz, Piracicaba, Est. de Sâo Paulo, sob o nome Madre del Cacao)","sheet","fl. 9-IX-1940 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602976","NY00602976_01","(Jacq.) Kunth ex Walp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-02 13:18:00-02","NY","NYBG","1039367","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium",NA,"R. D. Ribeiro","324","2004","08","29","South America","Brazil","Rio de Janeiro","Búzios. Área urbana em Maguihos.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485621' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039367","NY01039367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 14:38:00-03","NY","NYBG","602977","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium","D. A. Neill","D. Rubio","608","1990","09","07","South America","Ecuador","Imbabura","Ibarra Canton. Carretera de Ibarra a Lita, 40-50 km de Ibarra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602977",NA,NA,NA,"-78.25","0.67","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1619575","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium",NA,"N. A. Harriman","17668","1982","01","18","South America","Trinidad and Tobago",NA,"Trinidad: At edge of abandoned Waller Air Force Base (from World War II).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1870186' target='other'> <mi>dwc_moreinfo</mi></a>","NY01619575","NY01619575_01","(Jacq.) Kunth ex Walp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","196842","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium","R. L. Liesner","M. N. Alexiades","435","1989","03","13","South America","Peru","Madre de Dios","Comunidad Nativa Infierno. Hermosa Chica. Study plot 1","sheet","See later collection 995 for fruits <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=298519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196842",NA,"(Jacq.) Kunth ex Walp.","Tambopata","-69.28","-12.83","260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","602974","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gliricidia","sepium","Gliricidia sepium","M. Lavin","G. F. J. Pabst","5412","1960","08","28","South America","Brazil","Rio de Janeiro","Est. da Guanabara, Ilha do Governador, Aeroporto do Galeâo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602974","NY00602974_01","(Jacq.) Kunth ex Walp.",NA,"-43.239084","-22.811821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
