"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","previousCatalogNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1146530","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.","R. de Mello-Silva","R. de Mello-Silva","2943","2007","11","14","South America","Brazil","Minas Gerais","Alvorada de Minas","Itapanhoacanga. Estrada Itapanhoacanga - cachoeira Campinas, 3 km de Itapanhoacanga.","-43.4431","-18.7975","846","846","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1343954' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146530","NY01146530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00837605","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.","R. de Mello-Silva","L. R. Lima","17","1997","12","08","South America","Brazil","Minas Gerais","Diamantina","Estrada para Milho Verde. Margem esquerda da estrada","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837605","NY00837605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02699089","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.",NA,"G. T. Prance","8548","1968","11","17","South America","Brazil","Rondônia",NA,"Basin of Rio Madeira, N. bank of rio Abunã 10 km. above Fortaleza. Forest on terra firme.","-65.55319","-9.838301",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982940' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699089","NY02699089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00837606","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.",NA,"G. L. Esteves","CFCR15479","1990","06","20","South America","Brazil","Minas Gerais",NA,"Serra do Espinaço, Serra do Cipó: along the main road in the surroundings of the Córrego Alto do Cupim and Córrego Duas Pontes, ca. 3,5-4,5 km NE Pensâo Chapeu-de-Sol (NNE Cardeal Mota), 41-42 km E Baldim","-43.57","-19.28","1180","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837606","NY00837606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00837602","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.","R. de Mello-Silva","G. G. Hatschbach","69659","1999","10","24","South America","Brazil","Minas Gerais","Diamantina","Barao de Guaçuí","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837602","NY00837602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02699092","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.",NA,"G. G. Hatschbach","69659","1999","10","24","South America","Brazil","Minas Gerais","Diamantina","Barao de Guaçuí","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982943' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699092","NY02699092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00837630","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.","J. R. Pirani","J. Coffani Nunes","s.n.","1993","02","17","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipo- estrada que leva á sede do IBAMA","-43.7142","-19.1692","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837630","NY00837630_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00837631","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.",NA,"G. L. Esteves","CFCR15449","1990","09","19","South America","Brazil","Minas Gerais",NA,"Serra do Espinaço, Serra do Cipó: (south of the main road) on the Córrego Vitalino near Fazenda Serra do Cipó, 3 km NNE-NE Pensâo Chapeu-de-Sol (NNE Cardeal Mota), 39 km E Baldim","-43.58","-19.28","1100","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837631","NY00837631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","88233","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.","P. J. M. Maas","R. Callejas Posada","8100","1989","07","04","South America","Colombia","Antioquia","Remedios","Vereda Santa Lucia, 9-18km SO de Remedios en la via a Puerto Berrio","-74.75","7.02","530","640","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00088233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00837632","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.","M. C. Dias","A. Macedo","1042","1948","02","23","South America","Brazil","Minas Gerais","Campina Verde","Fazenda de Zeca Felisberto","-49.4864","-19.5358",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837632","NY00837632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
