"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","910650","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Trimezia","fistulosa","fistulosa","Trimezia fistulosa fistulosa","Foster","N. S. Chukr","N. S. Chukr","CFSC9386","1985","11","01","South America","Brazil","Minas Gerais","Santana do Riacho","Km 119 ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910650","NY00910650_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","910651","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Trimezia","fistulosa","fistulosa","Trimezia fistulosa fistulosa","Foster",NA,"N. S. Chukr","CFSC9817","1986","07","24","South America","Brazil","Minas Gerais","Santana do Riacho","Km [?] ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro. Alto do Palacio.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910651","NY00910651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","910650","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Trimezia","fistulosa","fistulosa","Trimezia fistulosa fistulosa","Foster","N. S. Chukr","N. S. Chukr","CFSC9386","1985","11","01","South America","Brazil","Minas Gerais","Santana do Riacho","Km 119 ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910650","NY00910650_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910651","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Trimezia","fistulosa","fistulosa","Trimezia fistulosa fistulosa","Foster",NA,"N. S. Chukr","CFSC9817","1986","07","24","South America","Brazil","Minas Gerais","Santana do Riacho","Km [?] ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro. Alto do Palacio.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910651","NY00910651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:01-03","UFRJ","RFA","12707","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Trimezia","fistulosa",NA,"Trimezia fistulosa","Foster","A. Gil","P. Occhioni","4956","1972","08","26",NA,"Brasil","Minas Gerais","Minas Gerais","Serra do Cipó. Estrada da Conceição do Cerro Km 110-130",NA,NA,NA,"Bulbosa. Pequeno porte. Flor amarela rajada de roxo","RFA31474",NA,"2006","12","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:19:58-03","UNICAMP","UEC","136017","S","Plantae","Liliopsida",NA,"Iridaceae","Trimezia","fistulosa",NA,"Trimezia fistulosa","R.C.Foster","Gil, ASB","Simões, AO; Belinello, R; Matsumoto, K; Singer, RB","381","1998","11","10",NA,"Brazil","Minas Gerais","Carrancas","Serra de Carrancas, Cruz das almas. Caminho para a propriedade do Sr. João Galdêncio.","-44.6425018310547","-21.4874992370605",NA,"Erva ereta, 25cm. Flores amarelo-alaranjadas com detalhes em roxo. Anteras pretas.; Em campo.","UEC083141","UEC083141","2008","10",NA,"21143","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:29:55-03","MBM","MBM","151481","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Trimezia","fistulosa","longifolia","Trimezia fistulosa longifolia","Chukr",NA,"Chukr, N.S.; Semir, J.; Menezes, N.L.; Cavalcanti, T.B.; Semir, J.; Menezes, N.L.; Cavalcanti, T.B.","CFSC9629","1986","02","22","Southern America","Brazil","Minas Gerais","Santana do Riacho","Km 128 da Rodovia Belo Horizonte-Conceição do Mato Dentro. Alto do Palácio","-43.7144012451172","-19.1688995361328",NA,"Flores amarelas rajadas de castanho-avermelhado. Tépalas com faixa longitudinal amarela. Tecas azul-escuras, estilete amarelo.; Flores amarelas rajadas de castanho-avermelhado. Tépalas com faixa longitudinal amarela. tecas azul-escur","MBM151481","MBM151481",NA,NA,NA,"26557","auto","ISOTYPE",NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:44:14-03","UFMG","BHCB","11966","PreservedSpecimen","Plantae","Monocotyledon",NA,"Iridaceae","Trimezia","fistulosa",NA,"Trimezia fistulosa","Foster",NA,"Andrade, PM de; Coeli, R; Grandi, TSM","1407","1983","05","18","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:44:14-03","UFMG","BHCB","20376","PreservedSpecimen","Plantae","Monocotyledon",NA,"Iridaceae","Trimezia","fistulosa",NA,"Trimezia fistulosa","Foster",NA,"Pereira, M","972","1991","07","15","Southern America","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,"Interior do bulbo amarelo-ouro.; Campo rupestre","BHCB004237",NA,"2008","09",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:44:14-03","UFMG","BHCB","62658","PreservedSpecimen","Plantae","Monocotyledon",NA,"Iridaceae","Trimezia","fistulosa",NA,"Trimezia fistulosa","Foster",NA,"Barreto, HLM","3040","1933","08","23","Southern America","Brasil","Minas Gerais","Santa Luzia","Serra do Cipó, Km 118","-43.8513984680176","-19.7696990966797",NA,"Muito frequente, herbacia 0.20m; Campo umido","BHCB004276","BHCB004276","2008","09",NA,"19939","auto",NA,NA,NA,NA,NA,NA,NA
