"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","class","order","coordinatePrecision","geoFlag","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","relatedCatalogItem"
"1","2019-10-09 11:28:36-03","UFBA","ALCB","039289","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cattleya","grandis","Cattleya grandis","(Lindl.) A.A.Chadwick","Carvalho, DN","2014","09","10","Mattos Silva, LA; Araújo, M; Miranda, AS de; Moreira, RC; Santos, BR dos","3866","1998","10","29","Southern America","Brasil","Bahia","Una","Litoral Sul, Fazenda São Rafael (antiga fazenda Dendhevea). Ramal a esquerda da rodovia N£cleo Colonial/São José da Vitória, com entrada junto a cabeceira da ponte sobre o Rio Aliança, aprox. a 2 km a oeste da entrada principal da fazzenda. Coletas","-39.066667","-15.283333","-39.066667","-15.283333","epífita. Flores com sépalas amarelas, corola esbranquiçada, estrias roxas nio interior.; solo argiloso. Mata.","ALCB009017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:28:36-03","UFBA","ALCB","86739","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cattleya","grandis","Cattleya grandis","(Lindl.) A.A.Chadwick","Carvalho, DN","2014","09","11","Ramos, C.H.A.; Guedes, ML; et al.","527","2008","10","28","Southern America","Brasil","Bahia","Itacaré","Litoral Sul, Mata da Botinha","-39.7075","-14.181389","-39.7075","-14.181389","epífita. Folhas lanceoladas. Inflorescência terminal, sépalas e pétalas laterais verde-amarronzado e labelo estriado de lilás. Ocasional.","ALCB009018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1046","S","Plantae",NA,"Orchidaceae","Laelia","grandis","Laelia grandis","Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-15 09:04:37-03","UESC","UESC","2605","S","Plantae","Angiospermae","Orchidaceae","Cattleya","grandis","Cattleya grandis","(Linde.) Chadwick","Carvalho, D.N.","2014","05",NA,"L.A.Mattos Silva","3866","1998","10","29",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,"Vegetação de Mata Higrófila Sul Baiana. Solo argiloso.; Epífita.","UESC0002605","Monocotyledoneae","Florideophycidae","36070","auto",NA,NA,NA,NA,NA
"5","2019-08-15 09:04:37-03","UESC","UESC","13224","S","Plantae","Angiospermae","Orchidaceae","Cattleya","grandis","Cattleya grandis","(lindl.) Chadwick",NA,NA,NA,NA,"Paixão, J.L.,","1472","2007","08","16",NA,"Brasil","Bahia","Itororó",NA,"-39.955833","-15.140278","39W57'21''","15S8'25''","Epífitae, sobre árvore.","UESC0013224","Monocotyledoneae","Florideophycidae",NA,NA,NA,NA,NA,NA,NA
"6","2019-08-15 09:04:37-03","UESC","UESC","1438","S","Plantae","Angiospermae","Orchidaceae","Cattleya","grandis","Cattleya grandis","(Linde.) Chadwick","Carvalho, D.N.","2014","05",NA,"L.A.Mattos Silva","3587","1997","10","16",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,"Vegetação de Mata higrófila Sul Baiana. Solo argiloso.; Épifita.","UESC0001438","Monocotyledoneae","Florideophycidae","36070","auto",NA,NA,NA,NA,NA
"7","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","486",NA,"Plantae",NA,"Orchidaceae","Cattleya","grandis","Cattleya grandis","(Lindl. & Paxton) A.A.Chadwick","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,NA,"1952","10","05",NA,"Brasil","Espírito Santo","São Mateus","Linhares","-39.8588981628418","-18.716100692749",NA,NA,"tipica","MBML000486",NA,NA,"56510","auto","MBML000486",NA,NA,NA,NA
"8","2020-09-14 16:46:06-03","MBML","MBML-HERBARIO","21243",NA,"Plantae",NA,"Orchidaceae","Cattleya","grandis","Cattleya grandis","(Lindl. & Paxton) A.A.Chadwick","G.B. Bortolan/Jan.-2020",NA,NA,NA,"C. N. de Fraga; et al","635","2000","02","25",NA,"Brasil","Espírito Santo","Linhares","Vale do Suruaca, Urussuguara","-39.723056","-19.129444","39W43'23","19S7'46","Mata seca de restinga. Flor com pétalas e sépalas novas, labelo branco com ápice lilás.","MBML021243",NA,NA,NA,NA,"MBML021243_1 MBML021243_2",NA,NA,NA,NA
"9","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","40653",NA,"Plantae",NA,"Orchidaceae","Cattleya","grandis","Cattleya grandis","(Lindl. & Paxton) A.A.Chadwick","G.B. Bortolan/Jan.-2020",NA,NA,NA,"A. P. Fontana; K. A. Brahim","4100","2007","10","10",NA,"Brasil","Bahia","Itamaraju","Monte Pescoço, faz. Novo Horizonte, prop. Carlinhos Mascarenhas. Floresta Ombrófila Densa, mata Ciliar","-39.577","-16.982167","39W34'37,2","16S58'55,8","Epífita a 15m do solo, sobre Galesia integrifolia (Phytolaccaceae). . Flores com sépalas e pétalas alaranjadas. Labelo branco com estrias lilás.","MBML040653",NA,NA,NA,NA,"MBML040653","84","84",NA,NA
"10","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","491",NA,"Plantae",NA,"Orchidaceae","Cattleya","grandis","Cattleya grandis","(Lindl. & Paxton) A.A.Chadwick","G.B. Bortolan/Jan.-2020",NA,NA,NA,"W. A. Hoffmann","292","1985","11","18",NA,"Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Parque","-40.6","-19.936111","40W36'0","19S56'10","Epífita sobre mangueira, flores levemente aromáticas, pétalas e sépalas amarelas e labelo e coluna brancos com manchas arroxeadas. Ciófila. Em meio líquido e herbário.","MBML000491",NA,NA,NA,NA,"MBML000491",NA,NA,NA,NA
"11","2014-11-06 16:18:28-02","UFPB","EAN","6113","S","Plantae",NA,"Orchidaceae","Laelia","grandis","Laelia grandis","Lindl.","L. P. Felix","1990","11","25",NA,"3297","1990","01",NA,NA,"Brasil","Bahia","Buerarema",NA,"-39.2997","-14.9594",NA,NA,"Erva; flores amarelo-palha. Ocasional em mata Hilliana Bahiana..Habitat: Epífita",NA,NA,NA,"14251","auto",NA,NA,NA,NA,NA
"12","2019-10-07 09:19:53-03","UEFS","HUEFS","99749","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Cattleya","grandis","Cattleya grandis","(Lindl. & Paxton) A.A.Chadwick","D.N.Carvalho","2013","10",NA,"Morel, M.",NA,NA,NA,NA,NA,"Brasil","Bahia",NA,"s.l.",NA,NA,NA,NA,NA,"HUEFS0099749","Lilianae","Asparagales",NA,NA,NA,NA,NA,"Fotografia do Tipo",NA
"13","2020-07-23 12:17:08-03","CEPLAC","CEPEC","97677","PreservedSpecimen","Plantae",NA,"Orchidaceae","Cattleya","grandis","Cattleya grandis",NA,"D. N. Carvalho",NA,NA,NA,"P. Fiaschi","1769","1967","02","03",NA,"Brasil","Bahia","Barro Preto","Serra da Pedra Lascada. 13,7Km de Barro Preto, na estrada que passa pela Fazenda São Miguel e sobe até o acesso a Serra. Caminhada ao topo da serra.","-39.536111","-14.770278","39W32'10","14S46'13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/11/2014"
