"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","yearIdentified","recordNumber","year","month","day","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","typeStatus"
"1","2018-01-02 14:35:37-02","MNHN","RECOLNAT_MNHN_P","P00436621","PreservedSpecimen","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","(Barb.Rodr.) Barb.Rodr.","[Regnell]","III 1170","Brésil","s.d.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436621' target='other'> <mi>dwc_moreinfo</mi></a>","P00436621","P00436621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:44:24-03","UFMG","BHCB","92395","PreservedSpecimen","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","(Barb.Rodr.) Barb.Rodr.","Mota, RC da; et al.",NA,"Brasil","Parque Natural Municipal do Ribeirão do Campo",NA,"Plantas do Brasil; Epífita; sépalas brancas com ápice branco, pétalas e labelo branco; Mata de galeria","BHCB001110","BHCB001110","Plantae","Monocotyledon","2019","2516","2002","08","08","Southern America","Minas Gerais","Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344","60318","auto",NA,NA
"3","2021-02-11 17:20:54-03","UFPR","UPCB","84808","PreservedSpecimen","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","Barb. Rodr.","Toscano de Brito, A.L.V.",NA,"Brasil",NA,NA,"Obtido de um coletor em São Paulo. Florescendo em cultivo por M. Klingelfus s.n. Amostra conservada em solução de glicerina com álcool..",NA,NA,"Plantae",NA,"2015","3408","2015","06","22",NA,NA,NA,NA,NA,NA,NA,"Toscano de Brito, A.L.V.",NA
"4","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","(Barb.Rodr.) Barb.Rodr.","Barbosa Rodrigues, J",NA,"Brazil","ad Poços de Caldas",NA,"Floret Martio - Aprili",NA,"P03P6N0096","Plantae",NA,NA,"s.n.",NA,NA,NA,"Southern America","Minas Gerais","Poços de Caldas","-46.5614","-21.7878","23696","auto",NA,NA
"5","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","(Barb.Rodr.) Barb.Rodr.","Barbosa Rodrigues, J",NA,"Brazil","ad Poços de Caldas",NA,"Floret Martio - Aprili",NA,"P03P6N0096","Plantae",NA,NA,"s.n.",NA,NA,NA,"Southern America","Minas Gerais","Poços de Caldas","-46.5614","-21.7878","23696","auto",NA,NA
"6","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","(Barb.Rodr.) Barb.Rodr.","Regnell, AF",NA,"Brazil","Habitat in sylvis humidis supra arbores prope Caldas",NA,NA,NA,"P03P6N0096","Plantae",NA,NA,"1171",NA,NA,NA,"Southern America","Minas Gerais","Caldas","-46.3861","-21.9236","25710","auto",NA,NA
"7","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","(Barb.Rodr.) Barb.Rodr.","Regnell, AF",NA,"Brazil","Habitat in sylvis humidis supra arbores prope Caldas",NA,NA,NA,"P03P6N0096","Plantae",NA,NA,"1171?",NA,NA,NA,"Southern America","Minas Gerais","Caldas","-46.3861","-21.9236","25710","auto",NA,NA
"8","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","(Barb.Rodr.) Barb.Rodr.","Regnell, AF",NA,"Brazil","Habitat in sylvis humidis supra arbores prope Caldas",NA,NA,NA,"P03P6N0096","Plantae",NA,NA,"1170?",NA,NA,NA,"Southern America","Minas Gerais","Caldas","-46.3861","-21.9236","25710","auto",NA,NA
"9","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Centroglossa","tripollinica","Centroglossa tripollinica","(Barb.Rodr.) Barb.Rodr.","Regnell, AF",NA,"Brazil","Habitat in sylvis humidis supra arbores prope Caldas",NA,NA,NA,"P03P6N0096","Plantae",NA,NA,"1170",NA,NA,NA,"Southern America","Minas Gerais","Caldas","-46.3861","-21.9236","25710","auto",NA,NA
"10","2019-11-21 10:13:40-03","IBt","SP","27281","S","Orchidaceae","Ornithocephalus","tripollinicus","Ornithocephalus tripollinicus","Barb.Rodr.","Regnell, AF",NA,"Brasil",NA,NA,"Sin. Centroglossa tripollinica","SP002310","SP002310","Plantae",NA,NA,"III-1170","1857","08",NA,NA,"Minas Gerais","Caldas","-46.386100769043","-21.9235992431641","25710","auto","Catharino, ELM","Isotype"
