"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","scientificNameAuthorship","recordNumber","year","month","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","sex"
"1","2016-12-15 14:59:00-02","NY","NYBG","688009","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis","photo of type","G. H. E. W. Hieronymus","South America","Argentina","Córdoba","Sierra Achala de Córdoba, Cuesta del Gaucho.","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688009","NY00688009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-12-15 14:59:00-02","NY","NYBG","688008","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis angustifolia","photo of type","E. L. Ekman","South America","Argentina","Misiones","Posadas.","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688008","NY00688008_01","angustifolia","Kraenzl.","433","1907","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-12-15 14:59:00-02","NY","NYBG","688010","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis","photo of type","O. Buchtien","South America","Bolivia",NA,"San Carlos (Mapiri-region).","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688010","NY00688010_01",NA,NA,"465","1927","01","30","-68.183381","-15.400373","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547589","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"E. P. Heringer","South America","Brazil","Distrito Federal","na area do Zoobotanico","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=486759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547589","NY00547589_01",NA,"Kraenzl.","9296","1963","12","07","-47.9294","-15.7797",NA,NA,"G. F. J. Pabst","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-12-15 15:29:00-02","NY","NYBG","688012","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis angustifolia","isotype","E. L. Ekman","South America","Argentina","Misiones","Posadas, prope La Granja praedium.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688012","NY00688012_01","angustifolia","Kraenzl.","433","1907","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-12-15 14:59:00-02","NY","NYBG","688008","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis angustifolia","photo of type","E. L. Ekman","South America","Argentina","Misiones","Posadas.","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688008","NY00688008_01","angustifolia","Kraenzl.","433","1907","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-12-15 15:29:00-02","NY","NYBG","688012","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis angustifolia","isotype","E. L. Ekman","South America","Argentina","Misiones","Posadas, prope La Granja praedium.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688012","NY00688012_01","angustifolia","Kraenzl.","433","1907","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:40:59-03","MN","R","140819","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Smith, L.B.; Reitz, R.",NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,"Kraenzl.","10481","1957","01","26","-49.489200592041","-27.7971992492676","1821","1821","Batista, J.A.N.","Bom Retiro","2013","08","11","35974","auto",NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:35-03","IAP","PACA-AGP","8709.1","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Rambo, B.",NA,"Brasil","RS","Serra da Rocinha",NA,"Confirmado por J.A.N. Batista em Junho/2000. Habitat: In humidis graminosis Fenofase: flor","PACA008709-1",NA,NA,"Kraenzlin",NA,"1942","01","14","-50.4166984558105","-28.6678009033203",NA,NA,"G. Pabst","Bom Jesus","1954","09","04","55856","auto","Liliatae",NA,NA,NA,NA,NA
"10","2019-08-27 13:26:35-03","IAP","PACA-AGP","53747","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Rambo, B.",NA,"Brasil","RS","Serra da Rocinha",NA,"Confirmado por J.A.N. Batista em Junho/2000. Habitat: In campestribus humidis graminosis Fenofase: flor","PACA053747",NA,NA,"Kraenzlin",NA,"1953","02","03","-50.4166984558105","-28.6678009033203",NA,NA,"Emrich-Rambo","Bom Jesus","1954","09","04","55856","auto","Liliatae",NA,NA,NA,NA,NA
"11","2019-08-27 13:26:35-03","IAP","PACA-AGP","45472","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Rambo, B.",NA,"Brasil","RS","Serra da Rocinha",NA,"SEM MATERIAL Habitat: In paludosis turfosis Fenofase: flor","PACA045472",NA,NA,"Kraenzlin",NA,"1950","01","18","-50.4166984558105","-28.6678009033203",NA,NA,"G. Pabst","Bom Jesus","1954","09","04","55856","auto","Liliatae",NA,NA,NA,NA,NA
"12","2019-08-27 13:26:35-03","IAP","PACA-AGP","60019","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Rambo, B.",NA,"Brasil","SC","Campo dos Padres",NA,"Confirmado por J.A.N. Batista em Junho/2000. Habitat: In paludosis graminosis Fenofase: flor e fruto","PACA060019",NA,NA,"Kraenzlin",NA,"1957","01","24","-49.489200592041","-27.7971992492676",NA,NA,"Emrich-Rambo","Bom retiro","1957","05","02","35974","auto","Liliatae",NA,NA,NA,NA,NA
"13","2019-08-27 13:26:35-03","IAP","PACA-AGP","27796","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"E. Friderichs",NA,"Brasil","SP",NA,NA,"Habitat: In paludosis Fenofase: flor","PACA027796",NA,NA,"Kraenzlin",NA,"1944","01",NA,"-45.5900001525879","-22.7299995422363",NA,NA,"J.A.N. Batista","Campos do Jordão","2000","11",NA,"21048","auto","Liliatae",NA,NA,NA,NA,NA
"14","2019-08-27 13:26:35-03","IAP","PACA-AGP","53740","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Rambo, B.",NA,"Brasil","RS","Serra da Rocinha",NA,"Habitat: In humidis graminosis Fenofase: flor","PACA053740",NA,NA,"Kraenzlin",NA,"1953","02","03","-50.4166984558105","-28.6678009033203",NA,NA,"J.A.N. Batista","Bom Jesus","2000","11",NA,"55856","auto","Liliatae",NA,NA,NA,NA,NA
"15","2019-08-27 13:26:35-03","IAP","PACA-AGP","45404","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Rambo, B.",NA,"Brasil","RS","Serra da Rocinha",NA,"Confirmado por J.A.N. Batista em Junho/2000. Habitat: In graminosis turfosis Fenofase: flor","PACA045404",NA,NA,"Kraenzlin",NA,"1950","01","18","-50.4166984558105","-28.6678009033203",NA,NA,"G. Pabst","Bom Jesus","1954","09","04","55856","auto","Liliatae",NA,NA,NA,NA,NA
"16","2019-08-27 13:26:35-03","IAP","PACA-AGP","36581","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Rambo, B.",NA,"Brasil","RS","Cambará",NA,"Confirmado por J.A.N. Batista em Junho/2000. Habitat: In subpaludosis Fenofase: flor","PACA036581",NA,NA,"Kraenzlin",NA,"1948","02",NA,"-50.5835990905762","-29.4480991363525",NA,NA,"G. Pabst","São Francisco de Paula","1954","09","04","76715","auto","Liliatae",NA,NA,NA,NA,NA
"17","2019-08-27 13:26:35-03","IAP","PACA-AGP","36578","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Rambo, B.",NA,"Brasil","RS","Cambará",NA,"Confirmado por J.A.N. Batista em Junho/2000. Habitat: In paludosis alte dumetosis Fenofase: flor","PACA036578",NA,NA,"Kraenzlin",NA,"1948","02",NA,"-50.5835990905762","-29.4480991363525",NA,NA,"G. Pabst","São Francisco de Paula","1954","09","04","76715","auto","Liliatae",NA,NA,NA,NA,NA
"18","2021-04-07 11:46:53-03","UFMS","CGMS","68626","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"V.J. Pott; E. Scremin-Dias; A. Pott",NA,"Brasil","Mato Grosso do Sul","Fazenda Princezinha, cerca de 6 Km da sede, no vale do Banhado Rio Perdido, entorno do Parque Nacional da Serra da Bodoquena.",NA,"Flor branca. Habitat: Banhado, bebedouro de gado ao longo do capim navalha. Solo argiloso de origem calcária. Relevo plano. Habito: Erva ereta aquática anfíbia, 50 cm de altura. Rara.","CGMS1101584",NA,NA,"Kraenzl.","8513","2005","12","10","-56.8416666","-21.0486111","555","555","L. Bianchetti","Bonito",NA,NA,NA,NA,NA,NA,"-56,8416666","-21,0486111",NA,NA,NA
"19","2019-08-16 08:40:23-03","UTFPR","HCF","8724","S","Plantae",NA,NA,"Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"J.M. Silva",NA,"Brasil","SC","Serra Quiriri",NA,"ereta, 30 cm, flor creme esverdeada. Beira do rio encachoeirado.",NA,NA,NA,"Kraenzl.","2804","1998","12","29","-49.2655982971191","-26.1924991607666",NA,NA,"J.A.N. Batista","Campo Alegre","2001",NA,NA,"37493","auto",NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:38:30-03","MBM","MBM","27628","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Hatschbach, G.; Koczicki, C.; Koczicki, C.","Southern America","Brazil","Mato Grosso","Rod. BR-364",NA,NA,"MBM027628","MBM027628",NA,"Kraenzl.","33236","1973","11","15","-53.2153015136719","-17.3146991729736",NA,NA,"Pabst, G.","Alto Araguaia",NA,NA,NA,"100273","auto",NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:38:30-03","MBM","MBM","56449","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Pedersen, T.M.","Southern America","Argentina",NA,"Estancia La Pastoril, Dep. Lavalle, Prov. Corrientes",NA,NA,"MBM056449","MBM056449",NA,"Kraenzl.","10009","1971","11","24",NA,NA,NA,NA,"Batista, J.A.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:38:30-03","MBM","MBM","108901","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"Anderson, W.R.","Southern America","Brazil","Rio de Janeiro","Pedra Dubois, Rio de Janeiro",NA,NA,"MBM108901","MBM108901",NA,"Kraenzl.","11721","1976","02","27","-43.2075004577637","-22.9027996063232",NA,NA,"Batista, J.A.N.","Rio de Janeiro",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"23","2019-11-01 15:28:29-03","PUC-RIO","FCAB","2066","PreservedSpecimen","Plantae",NA,"Angiospermae","Orchidaceae","Habenaria","achalensis","Habenaria achalensis",NA,"P.E. Leite S.J.",NA,"Brasil","São Paulo","São Bento de Sapucaí",NA,NA,"002066",NA,NA,"Kraenzl.","s.n.","1946","01","18","-45.5900001525879","-22.7299995422363",NA,NA,"I.G.C.M. Costa","Campos do Jordão","2016","09","02","21048","auto",NA,NA,NA,NA,NA,NA
