"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01451026","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","J. M. Pires","2676","1950","12","14","South America","Brazil","Pará","Belém","I.A.N.","-48.4447503","-1.4380977","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1376456' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451026","NY01451026_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01451023","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","W. A. Ducke","255","1936","01","04","South America","Brazil","Amazonas",NA,"Parintins, silva non inundabili circa lacum Macarany",NA,NA,"sheet","[Maybe duplicate of Ducke 120] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701402' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451023","NY01451023_01","W. A. Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01451021","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","W. A. Ducke","1680","1944","10","26","South America","Brazil","Pará","Belém","Utinga","-48.42052","-1.415684","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701296' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451021","NY01451021_01","W. A. Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01451022","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","W. A. Ducke","255","1936","01","04","South America","Brazil","Amazonas",NA,"Parintins, silva non inundabili circa lacum Macarany",NA,NA,"sheet","[Maybe duplicate of Ducke 120] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701399' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451022","NY01451022_01","W. A. Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01451025","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","E. de Oliveira","4568","1968","06","18","South America","Brazil","Pará",NA,"Rio Jarí, Monte Dourado, ao lado do campo de aviação.","-52.539719","-0.8678545","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701408' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451025","NY01451025_01","M. T. K. Arroyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","201175","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","H. T. Beck","1785","1993","01","25","South America","Ecuador","Esmeraldas",NA,"Awá Reserve. Community of Mataje","-78.67","1.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00201175",NA,"M. Montesdeoca; H. T. Beck","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01451020","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","W. A. Ducke","120","1936","01","04","South America","Brazil","Amazonas",NA,"Parintins, silva non inundabili circa lacum Macarany",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701272' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451020","NY01451020_01","W. A. Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01451019","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","J. M. Pires","2651","1950","10","14","South America","Brazil","Pará","Belém","I.A.N.","-48.4447503","-1.4380977","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1376457' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451019","NY01451019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01451024","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","M. N. F. da Silva","110","1983","04","26","South America","Brazil","Pará","Itaituba","Serra do Cachimbo, arredores da Base Aérea do Cachimbo, próximo do lago azul.","-54","-9.366667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1381345' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451024","NY01451024_01","J. W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:42-03","EAO","IAN","23472","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","elatum","Hymenolobium elatum","Ducke","Ducke, A","15652",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN023472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-08 17:41:42-03","EAO","IAN","5780X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","sc","s.n.","1991","03","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN05780X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:41:42-03","EAO","IAN","105224","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Oliveira, E","484","1960","02","09","Southern America","Brasil","Pará",NA,"Rodovia Belém-Brasília, Km 129. Mata de terra firme, quadra de contagem.",NA,NA,NA,"Árvore de 30 metros.","IAN105224",NA,"Lima, HC de",NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-08 17:41:42-03","EAO","IAN","5480X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","sc","s.n.","1991","03","26","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN05480X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-08 17:41:42-03","EAO","IAN","128962","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Pires, JM; Belém, RP","12861","1970","08",NA,"Southern America","Brasil","Pará",NA,"Rio Itacaiunas, afluente do rio Tocantins, serra Buritirama (B5), região com minério de Manganês.","-50.25","-5.5",NA,"Árvore 0-12-7, com 13m e 15cm de diâmetro. Estéril","IAN128962",NA,"Melchor-Castro, B",NA,NA,"2018","08","21","-50.25","-5.5",NA,NA,NA,NA,NA,NA,NA
"15","2021-04-08 17:41:42-03","EAO","IAN","134771","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Silva, NT da","2906","1970","01","23","Southern America","Brasil","Pará",NA,"Região do Jarí. Estrada entre Tinguelim e Braço, Km 22. Mata de terra firme.",NA,NA,NA,"Árvore de 28m. Flor alaranjada.","IAN134771",NA,"Lima, HC de",NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 17:41:42-03","EAO","IAN","173490","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Ferreira, GC; Procópio, LC","663","2001","02","13","Southern America","Brasil","Pará","Moju","Área de manejo. Mata de terra firme, solo areno-argiloso.","-49.23275","-3.038583",NA,"Árvore de 40m alt. e 90,1 DAP; tronco reto, circular; base do tronco com pequenas sapopemas (até 70cm do solo) dando aspecto de pata de elefante, concâvas; ritidoma acinzentado com manchas vermelhas deixadas pela queda da casca morta,","IAN173490",NA,NA,NA,NA,NA,NA,NA,"-49.23275","-3.038583",NA,NA,NA,NA,NA,NA,NA
"17","2021-04-08 17:41:42-03","EAO","IAN","173491","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Ferreira, GC; Procópio, LC","664","2001","02","13","Southern America","Brasil","Pará","Moju","Área de manejo. Mata de terra firme; solo areno-argiloso.","-49.23475","-3.038056",NA,"Árvore de 43m alt. e 149,5 DAP; tronco reto, circular; base do tronco com pequenas sapopemas (até 1,5m do solo); ritidoma marrom-acinzentado com manchas vermelhas deixadas pela queda da casca morta, rugoso, estriado, com desprendimento","IAN173491",NA,NA,NA,NA,NA,NA,NA,"-49.23475","-3.038056",NA,NA,NA,NA,NA,NA,NA
"18","2021-04-08 17:41:42-03","EAO","IAN","176482","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Cordeiro, MR","MC-20-06100482","2002","01","24","Southern America","Brasil","Pará","Belém","Parque Ambiental do Utinga. Solo argiloso, mata secundária de terra firme, luminosidade média, freqüência comum.","-48.438889","-1.428056",NA,"Árvore aprox. 10 m de altura por 40 cm de CAP. Flor lilás.","IAN176482",NA,"Melchor-Castro, B",NA,NA,"2018","08","21","-48.438889","-1.428056",NA,NA,NA,NA,NA,NA,NA
"19","2021-04-08 17:41:42-03","EAO","IAN","5222X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Silva, NT da","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN05222X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-08 17:41:42-03","EAO","IAN","5222X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Silva, NT da","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN05222X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-08 17:41:42-03","EAO","IAN","5480X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","sc","s.n.","1991","03","26","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN05480X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-08 17:41:42-03","EAO","IAN","5780X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","sc","s.n.","1991","03","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN05780X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-08 17:41:42-03","EAO","IAN","63654","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Hymenolobium","excelsum","Hymenolobium excelsum","Ducke","Pires, JM","3103","1951","02","23","Southern America","Brasil","Pará",NA,"Perto de Belém. IAN.",NA,NA,NA,"Árvore muito grande; quando tem flor ou fruto não tem folhas; tronco grosso e cilindrico.","IAN063654","IAN063654 IAN063654_e","Lima, HC de",NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
