"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01318281","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato","M. K. Caddah","M. K. Caddah","631","2009","08","03","South America","Brazil","São Paulo","Lavrinhas","Serra da Mantiqueira, Fábrica da Suall","-44.8817","-22.4636","1339","1339","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305582' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318281","NY01318281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01318284","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato","M. K. Caddah","M. K. Caddah","644","2009","08","04","South America","Brazil","Rio de Janeiro","Resende","Serra da Mantiqueira, estrada para Pico das Agulhas Negras (BR 354, km 1)","-44.7528","-22.3814","1605","1605","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305594' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318284","NY01318284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","521849","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato","R. Goldenberg","B. M. J. Lutz","749","1932","01",NA,"South America","Brazil","São Paulo",NA,"Serra da Bocaina","-44.684548","-23.029725",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521849","NY00521849_01","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","522426","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato","R. Goldenberg","A. P. Duarte","812","1947","01","08","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia; Do km 7 ao 10","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522426","NY00522426_01","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","885025","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato","R. Goldenberg","H. S. Irwin","28713","1971","01","19","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Lower slopes of Serra da Piedade, road between BR-31 and Caeté","-43.676328","-19.820266","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885025","NY00885025_01","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02514754","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato",NA,"R. Goldenberg","2189","2015","05","28","South America","Brazil","Espírito Santo",NA,"Mun. Dores do Rio Preto, Parque Nacional do Caparaó, estrada acima de portaria.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2745637' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514754","NY02514754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01318294","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato","M. K. Caddah","M. K. Caddah","630","2009","08","03","South America","Brazil","São Paulo","Lavrinhas","Serra da Mantiqueira, Fábrica da Suall","-44.8817","-22.4636","1346","1346","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305581' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318294","NY01318294_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","522450","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato","F. A. Michelangeli","R. de Lemos Fróes","20146","1943","02","08","South America","Brazil","Bahia","Ibicoara","Campos Gerais, Ibyquara, regiao Serra Sincorá","-41.28","-13.41",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522450","NY00522450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1738500","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato",NA,"R. Goldenberg","1504","2011","02","03","South America","Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Pico do Itacolomi; Estrada da Torre, na entrada da trilha da Serra do Baú.","-43.49711","-20.42939","1470",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568128' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738500","NY01738500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-20 14:40:39-03","UPM","MACK","865","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","shepherdii","Miconia shepherdii","R.Goldenb. & Reginato","R. Goldenberg","M. J. Robim","605","1988","04","27",NA,"Brasil","SP","Campos do Jordão","Parque Estadual, região do Sítio Velho.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,"2009","21048","auto",NA,NA,NA,NA,NA,NA
