"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","typeStatus","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","1695","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart. & Zucc.","Marcos Sobral","V. Citadini-Zanette; A. J. de Aguiar","1633","1993","05","26","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","137","137","CRI000442","CRI000442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:13-03","UNESC","CRI","4624","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart. & Zucc.","Marcos Sobral","V. Citadini-Zanette","2023","1993","02","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","CRI000443","CRI000443","1994","02","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:13-03","UNESC","CRI","1740","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart. & Zucc.","Marcos Sobral","V. Citadini-Zanette; A. J. de Aguiar",NA,"1992","11","19","Brasil","Santa Catarina","Orleans","Rionovo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","137","137","CRI000440","CRI000440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:13-03","UNESC","CRI","1732","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart. & Zucc.","Marcos Sobral","V. Citadini-Zanette; A. J. de Aguiar","1711","1992","11","19","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","137","137","CRI000441","CRI000441","1993","08","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:13-03","UNESC","CRI","3271","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart. & Zucc.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1891","1993","03","26","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI000444","CRI000444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:11-03","E","E","156659","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,"Marquete, R.","1171","1993","08","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00156659",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:165840","<a href=http://data.rbge.org.uk/herb/E00156659 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:11-03","E","E","205560","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,"Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1804","1997","11","11","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00205560",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:218563","<a href=http://data.rbge.org.uk/herb/E00205560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:36:11-03","E","E","259703","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,"Martius","262",NA,NA,NA,"BR","Mato Grosso",NA,"In provincia Cuyaba Brasiliae interioris. Cuyaba, Mato Grosso",NA,NA,NA,NA,NA,NA,"E00259703",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:273252","<a href=http://data.rbge.org.uk/herb/E00259703 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:36:11-03","E","E","207018","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,"Farias, R.; De Carvalho, A.M.; De Carvalho, J.A.; De Carvalho, V.M.; Milhomens Fonseca, L.C.; Proença, C.; Potzernheim, M.L.; Rosa Cardosa, O.G.","111","1998","09","07","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00207018",NA,NA,NA,NA,"E. Tropical South America","fruit collection/cone collecti","BGBASE:217693","<a href=http://data.rbge.org.uk/herb/E00207018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:36:11-03","E","E","259702","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,"Gardner, George","835","1905","01","10","BR","Rio de Janeiro",NA,"Organ Mountains",NA,NA,NA,NA,NA,NA,"E00259702",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:273196","<a href=http://data.rbge.org.uk/herb/E00259702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:36:11-03","E","E","206984","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,"Munhoz, C., Farais, R., Cardoso Rosa, L.O., de Carvalho, V.M., Potzernheim, M.L. & Milhomens Fonseca, L.","111","1998","09","07","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00206984",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217752","<a href=http://data.rbge.org.uk/herb/E00206984 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","73928","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","nemorale","Aspidosperma nemorale","Handro",NA,"M. Kuhlmann","2607","1950","12","01","Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"NY00073928","NY00073928_01",NA,NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224621' target='other'> <mi>dwc_moreinfo</mi></a>","isotype","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","297992","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","rojasii","Aspidosperma rojasii","Hassl.",NA,"E. Hassler","10629",NA,NA,NA,"Paraguay",NA,NA,"Sierra de Amambay (Esperanza)",NA,NA,NA,NA,NA,NA,"NY00297992","NY00297992_01",NA,NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=520823' target='other'> <mi>dwc_moreinfo</mi></a>","isotype","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","970735","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart.",NA,"J. A. Ratter","R.2322","1972","08","30","Brazil","Mato Grosso",NA,"Vale de Sonhos (80 km N of Barra do Garças on the road to Xavantina).","-52.33","-15.67",NA,NA,NA,NA,"NY00970735","NY00970735_01",NA,NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1052016' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","970788","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart.","W. Marcondes-Ferreira","H. S. Irwin","13221","1966","03","01","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 10 km S. of Cristalina","-47.6","-16.84036",NA,NA,"1200","1200","NY00970788","NY00970788_01",NA,NA,NA,"South America","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1055392' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1921300","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart.","W. Marcondes-Ferreira","H. S. Irwin","12741","1966","02","13","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 1 km W. of Veadeiros","-47.52596","-14.1167",NA,NA,"900","900","NY01921300","NY01921300_01",NA,NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194551' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","970749","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart.","F. Markgraf","H. S. Irwin","6663","1964","10","04","Brazil","Mato Grosso",NA,"Ca. 15 km. S. of Garapú.","-52.57","-13.33",NA,NA,"300","400","NY00970749","NY00970749_01",NA,NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1053147' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","970750","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart.","W. Marcondes-Ferreira","H. S. Irwin","16191","1966","05","28","Brazil","Mato Grosso",NA,"Rio Turvo, ca. 210 km. N. of Xavantina. Serra do Roncador.","-51.83","-12.82",NA,NA,"500","500","NY00970750","NY00970750_01",NA,NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1053244' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","970730","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum","Mart.",NA,"R. M. Harley","10158","1968","09","20","Brazil","Mato Grosso",NA,"R 10, c. 12 km SW of base camp. Expedition Base Camp.","-51.77","-12.82",NA,NA,NA,NA,"NY00970730","NY00970730_01",NA,NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051989' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
