"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-04-05 14:25:44-03","UNESC","CRI","11258","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.","A. Kassner-Filho","2011","11","04","M. Verdi; E.M. Martins & O.N. Veiga","5496","2010","08","24","Brasil","Paraná","Morretes","Olimpo/ Parque Estadual Pico Marumbi.","-48.923333","-25.442222","48º55'24''W","25º26'32''S","600","600","Floresta Ombrófila Densa","CRI005637","CRI005637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:09-03","E","E","315755","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense",NA,NA,NA,NA,NA,"Laessoe, T. & Silva, T.","53303","1992","03","22","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00315755 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315755",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:319527",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","418298","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.","E. Santiago",NA,NA,NA,"F. C. Hoehne","5265","1921","02","10","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Estaçao Biológica, Sao Paulo","-46.4097","-23.71",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=151942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418298","NY00418298_01","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","418297","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.","E. Santiago",NA,NA,NA,"P. K. H. Dusén","s.n.","1910","02","22","Brazil","Paraná","Morretes","Porta de Cima","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=151944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418297","NY00418297_01","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","418299","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.","E. Santiago",NA,NA,NA,"F. C. Hoehne","5265","1936","10","06","Brazil","São Paulo","Ribeirao Pires","Estaçao Biológica, A. Serra, Sao Paulo","-46.4097","-23.71",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=151943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418299","NY00418299_01","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","822562","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.",NA,NA,NA,NA,"H. S. Irwin","36006","1972","02","14","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 5 km SSE of Pico do Itambé","-43.3919444","-18.43185",NA,NA,"1140","1140","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=913122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822562","NY00822562_01","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687067","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.","A. L. V. Toscano de Brito",NA,NA,NA,"R. M. Harley","53303","1992","03","22","Brazil","Bahia","Abaíra","Mata do Cigano","-41.92","-13.25",NA,NA,"1800","1850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687067","NY00687067_01","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA
"8","2019-12-04 15:26:36-03","PUCPR","HUCP","22505","S","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.",NA,NA,NA,NA,"Keller, H","028","2008","11","02","Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"HUCP00002546","HUCP00002546",NA,NA,NA,"Monocotiledonea",NA,"30514","auto",NA,NA,NA
"9","2020-11-26 18:09:06-03","CPAN-UFMS","COR","7392","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.","G. Hatschbach",NA,NA,NA,"G. Hatschbach & J.M. Silva","58531","1993","01","25","Brasil","Paraná","Antonina","Usina Hidrelétrica Parigot de Souza, cota 800. Mata pluvial da encosta de morro; ;.","-48.7118988037109","-25.4286003112793",NA,NA,"700","700","Com Flor: alvacente",NA,NA,NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA
"10","2020-02-08 08:46:13-03","NBC","NL-BOTANY","L.1504097","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.",NA,NA,NA,NA,"Hatschbach GG",NA,"1964","01","12","Brazil",NA,NA,"Est. Parana. Mun. Morretes. Estr. de Graciosa, Vista Cavalcanti.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1504097 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1504097","NL-L1504097","Southern America",NA,NA,NA,"Asparagales",NA,NA,"Magnoliopsidae",NA,NA
"11","2020-11-04 12:17:30-03","ESALQ","ESA","114209","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense",NA,"Breier, T.B.","2004",NA,NA,"Breier, T.B.","1073.0","2003","05","14","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA114209","ESA114209",NA,NA,NA,"Magnoliophyta",NA,"34059","auto",NA,NA,NA
"12","2021-03-31 13:40:58-03","MN","R","220840","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","Menini Neto, L.","2004","03",NA,"Menini Neto, L.; Forzza, R.C.; Zappi, D.; Assis, L.C.S, Silva, B.R.; Lucas, E.; Edwards, S. & Jardim, J.G.","131","2004","03","09","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Universidade Federal de Juiz de Fora/ Herbário CESJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:40:58-03","MN","R","209831","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","Stancik, J.F.","2003","08","19","Segadas-Vianna, F.","712","1945","03","02","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"1000","1000","Herbario Fernando Segadas Vianna",NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA
"14","2021-03-31 13:40:58-03","MN","R","209830","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","Stancik, J.F.","2003","08","19","Emmerich, M.","43","1958","02","15","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA
"15","2021-03-31 13:40:58-03","MN","R","43987","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","Stancik, J.F.","2003","08","19","Velloso, H.P.","495","1943","04","15","Brasil","Rio de Janeiro","Teresópolis","Comary","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA
"16","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0014766","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb.Rodr.","G. Hatschbach",NA,NA,NA,"G. Hatschbach; J. M. Silva","58531","1993","1","25","Brazil","Parana",NA,"Usina Hidrelétrica Parigot de Souza, cota 800 (Mun. Antonina).","-48.7167","-25.45",NA,NA,"700",NA,"Epiflta, mata pluvial da encosta de morro. Flor alvescente.",NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA
"17","2019-11-21 14:40:45-03","UFJF","CESJ","47096","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","L. Menini Neto","2006","02",NA,"P.L. Viana; N.F.O. Mota","1957","2006","02","26","Brasil","Minas Gerais","Rio Preto","Serra Negra, Burro de Ouro.","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Epífita em mata nebular, próximo a caverna. Botões florais cremes.","CESJ047096",NA,"América do Sul",NA,NA,"Angiosperma",NA,"20815","auto",NA,NA,NA
"18","2019-11-21 14:40:45-03","UFJF","CESJ","14627a","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.",NA,NA,NA,NA,"L. Krieger","CESJ14627a","1977","02","26","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,NA,NA,"CESJ14627A",NA,"América do Sul",NA,NA,"Angiosperma",NA,NA,NA,NA,NA,NA
"19","2019-11-21 14:40:45-03","UFJF","CESJ","14698","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.",NA,NA,NA,NA,"L. Krieger","CESJ17698","1952","05","05","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,NA,NA,"CESJ014698",NA,"América do Sul",NA,NA,"Angiosperma",NA,NA,NA,NA,NA,NA
"20","2020-11-09 19:01:10-03","UFJF","CESJ","25399","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.",NA,NA,NA,NA,"F.R.G. Salimena","s.n.","1991","06","20","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,NA,"CESJ025399",NA,"América do Sul",NA,NA,"Angiosperma",NA,"30417","auto",NA,NA,NA
"21","2020-06-30 18:32:37-03","UFJF","CESJ","66323","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","L. Menini Neto","2014","08","02","C. Nardy; L. Menini Neto; S.G. Furtado; A. Cabral","16","2014","08","02","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Escada da Gruta do Viajantes, ca. 1550 m.s.m.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Erva epífita. Folhas verdes-clara. Furto maduro.","CESJ066323",NA,"América do Sul",NA,NA,"Angiosperma",NA,"30417","auto",NA,NA,NA
"22","2020-06-30 18:32:37-03","UFJF","CESJ","66094","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","L. Menini Neto","2014","08","02","C. Nardy; L. Menini Neto; S.G. Furtado; A. Cabral","16","2014","08","02","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Escada da Gruta do Viajantes, ca. 1550 m.s.m.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Erva epífita. Folhas verdes-clara. Furto maduro.","CESJ066094",NA,"América do Sul",NA,NA,"Angiosperma",NA,"30417","auto",NA,NA,NA
"23","2020-06-30 18:32:37-03","UFJF","CESJ","66330","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","C. Nardy","2014","08","05","C. Nardy; L. Menini Neto; S.G. Furtado; A. Cabral","23","2014","08","05","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Mata ao lado da trilha do centro de visitantes, ca. 1300 m.s.m.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Erva epifíta. Folhas verdes-escura. Fruto maduro, arredondado, verde-claro com traços demarcados de verde-escuro, levemente alado.","CESJ066330",NA,"América do Sul",NA,NA,"Angiosperma",NA,"30417","auto",NA,NA,NA
"24","2020-06-30 18:32:37-03","UFJF","CESJ","66101","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Barb. Rodr.","C. Nardy","2014","08","05","C. Nardy; L. Menini Neto; S.G. Furtado; A. Cabral","23","2014","08","05","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Mata ao lado da trilha do centro de visitantes, ca. 1300 m.s.m.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Erva epifíta. Folhas verdes-escura. Fruto maduro, arredondado, verde-claro com traços demarcados de verde-escuro, levemente alado.","CESJ066101",NA,"América do Sul",NA,NA,"Angiosperma",NA,"30417","auto",NA,NA,NA
"25","2021-03-01 16:20:10-03","UNICAMP","UEC","206522","S","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Rodr.","Nunes, CEP","2018","06",NA,"Nunes, CEP","2013/18","2013","03","08","Brazil","São Paulo","São Luiz do Paraitinga","Trilha da Pirapitinga, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar","-45.133333","-23.316667","-45.133333","-23.316667","80","1200","Erva epífita.; Floresta Ombrófila Densa Sub-Montana.","UEC098977","UEC098977",NA,NA,NA,"Liliopsida",NA,NA,NA,NA,NA,NA
"26","2019-08-20 10:00:42-03","UNICAMP","UEC","140047","S","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Rodr.","Breier, TB","2004","09",NA,"Breier, TB; Singer, RB","1073","2003","05","14","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Estrada de acesso a parcela.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,NA,"UEC064124","UEC064124",NA,NA,NA,"Liliopsida",NA,NA,NA,NA,NA,NA
"27","2019-08-20 10:00:42-03","UNICAMP","UEC","85871","S","Plantae","Orchidaceae","Epidendrum","paranaense","Epidendrum paranaense","Rodr.","Pansarin, ER","2000","11",NA,"Catharino, ELM; Rossi, L","2002","1994","07","18","Brazil","São Paulo","São José do Barreiro","Parque Nacional da Bocaina, Trilha do ouro. Beira da mata.","-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"Epífita ca. 2,5-3,0 m alt. Flores creme.","UEC064121","UEC064121",NA,NA,NA,"Liliopsida",NA,"30784","auto",NA,NA,NA
