"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","phylum","order","continentOcean","preparationType","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","previousCatalogNumber"
"1","2021-04-05 14:26:11-03","UNESC","CRI","10285","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.","M. Sobral","2004","11","17","Vanilde C. Zanette; Robson dos Santos & Marcos Sobral","2004","11","17","Brasil","Santa Catarina","Criciúma","UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","48","48","CRI007901","CRI007901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:11-03","UNESC","CRI","12742","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.","Renato Colares","2017","10","04","Renato Colares","2017","10","04","Brasil","Santa Catarina","Criciúma","UNESC","-49.412222","-28.703889","49º24'44''W","28º42'14''S","40","40","CRI011006","CRI011006","Flor branca. Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:14-03","UNESC","CRI","8121","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.","M. Verdi",NA,NA,NA,"M. Verdi; G. Klemz R. P. Hasckel","2009","01","23","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.125278","-27.685556","51º7'31''W","27º41'8''S",NA,NA,"CRI007902","CRI007902",NA,"1383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02360556","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY02360556","NY02360556_01","Fragment ex herb. Berlin. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2535273' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02341843","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.",NA,NA,NA,NA,"P. Clausen",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY02341843","NY02341843_01","Fragment ex herb. Paris. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2535263' target='other'> <mi>dwc_moreinfo</mi></a>","1101","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","564151","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.","G. G. Hatschbach",NA,NA,NA,"R. Kummrow","1982","02","24","Brazil","Paraná","Toledo","Toledo, 10 km L","-53.7431","-24.7136",NA,NA,NA,NA,"NY00564151","NY00564151_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88008' target='other'> <mi>dwc_moreinfo</mi></a>","1808","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","564160","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.","S. F. Smith",NA,NA,NA,"M. Rossato","1988","11","16","Brazil","Rio Grande do Sul","Nova Prata","Nova Prata - Horto Florestal","-51.61","-28.7842",NA,NA,"750","750","NY00564160","NY00564160_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=87997' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","564148","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1999","12","11","Brazil","Rio Grande do Sul","Sao Francisco de Paula","RS 235","-50.6594","-29.36",NA,NA,"850","850","NY00564148","NY00564148_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88000' target='other'> <mi>dwc_moreinfo</mi></a>","341","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02341844","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.",NA,NA,NA,NA,"C. Gaudichaud-Beaupré",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY02341844","NY02341844_01","Fragment ex herb. Paris. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2535264' target='other'> <mi>dwc_moreinfo</mi></a>","500","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","564142","PreservedSpecimen","Plantae","Verbenaceae","Citharexylum","solanaceum","Citharexylum solanaceum","Cham.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","1908","11","18","Brazil","Paraná","Itaperuçu","Itaperussú","-49.3478","-25.22",NA,NA,NA,NA,"NY00564142","NY00564142_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=87994' target='other'> <mi>dwc_moreinfo</mi></a>","7069","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
