"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","infraspecificEpithet"
"1","2021-04-05 14:33:41-03","UNESC","CRI","8423","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Vanilde Citadini- Zanette","Mainara F. Cascaes","2008","05","19","Brasil","Santa Catarina","Maracajá","Parque Ecológico Municipal de Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12","CRI004331","CRI004331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:31-03","UNESC","CRI","14442","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Stival-Santos, A","Stival-Santos, A.; Legal, E. & Silveira, S.","2010","06","19","Brasil","Santa Catarina","Palhoça","Maciambú. Maciambú.","-48.69","-27.81","48º41'24''W","27º48'36''S","220","220","CRI013631","CRI013631","2010","06","19","3043","Florística IFFSC 256 (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arvoreta; Fruto verde;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:31-03","UNESC","CRI","11404","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","A. Stival-Santos","A. Stival-Santos; S. Silveira","2010","07","08","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'0''S","710","710","CRI004329","CRI004329","2010","07","08","3259","Floresta Ombrófila Densa Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:31-03","UNESC","CRI","14443","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Oliveira, AA de","Korte, A.; Kniess, A.","2010","02","22","Brasil","Santa Catarina","Rio do Campo","Anta Branca (Antigo Alto Rio do Oeste). Anta Branca (Antigo Alto Rio do Oeste).","-50.220278","-26.91","50º13'13''W","26º54'36''S","786","786","CRI013630","CRI013630","2010","04","22","1993","Florística IFFSC 681 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:41-03","UNESC","CRI","3409","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Daniel B. Falkenberg","R. dos Santos; et al.","1994","10",NA,"Brasil","Santa Catarina","Santa Rosa do Sul","Próx. Esc. Téc. Fed. Agrícola.","-49.700278","-29.136667","49º42'1''W","29º8'12''S","220","220","CRI004334","CRI004334",NA,NA,NA,NA,"campo aberto Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:31-03","UNESC","CRI","11185","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","A. Stival-Santos","A. Stival-Santos; E. Legal & S. Silveira","2010","02","20","Brasil","Santa Catarina","Águas Mornas","Canto do Schutch.","-48.87","-27.63","48º52'12''W","27º37'48''S",NA,NA,"CRI004330","CRI004330","2010","04","22","1824","Floresta Ombrófila Densa Habitat: beira de estrada Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:31-03","UNESC","CRI","3782","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Maria Leonor de Souza D#?#el Rey","Vanilde Citadini-Zanette","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004326","CRI004326",NA,NA,NA,"696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:31-03","UNESC","CRI","14242","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Stival-Santos, A","Stival-Santos, A.; Legal, E. & Silveira, S.","2010","04","08","Brasil","Santa Catarina","Angelina","Rio Fortuna. Rio Fortuna.","-49.05","-27.450556","49º3'W","27º27'2''S","841","841","CRI013384","CRI013384","2010","04","08","2624","Florística IFFSC 386 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:41-03","UNESC","CRI","1540","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Maria Leonor de Souza D#?#el Rey","R. Negrelle","1992","02","13","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI004328","CRI004328",NA,NA,NA,"158","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:31-03","UNESC","CRI","3286","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Maria Leonor de Souza D#?#el Rey","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1991","04","03","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004325","CRI004325",NA,NA,NA,"1791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:31-03","UNESC","CRI","12095","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Gasper, AL de","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.","2010","05","10","Brasil","Santa Catarina","São Bento do Sul","Braço esquerdo.","-49.235556","-26.365","49º14'8''W","26º21'54''S","417","417","CRI010273","CRI010273","2010","05","10","2230","Coleta Extra IFFSC (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento Habito: arvoreta; Fruto verde;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:31-03","UNESC","CRI","3406","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Daniel de Barcellos Falkenberg","Robson dos Santos","1994","09","17","Brasil","Santa Catarina","Forquilhinha","Horto Florestal de Forquilhinha.","-49.466667","-28.733333","49º28'W","28º44'S","42","42","CRI004327","CRI004327",NA,NA,NA,"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:31-03","UNESC","CRI","14954","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Stival-Santos, A","Stival-Santos, A.; Legal, E. & Silveira, S.","2010","03","17","Brasil","Santa Catarina","São José","Forquilhas. Forquilhas.","-48.689444","-27.540278","48º41'22''W","27º32'25''S","135","135","CRI014396","CRI014396","2010","03","17","2169","Florística IFFSC 352 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:31-03","UNESC","CRI","1541","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cubatanensis","Miconia cubatanensis","Hoehne","Maria Leonor del Rei Souza","R. Negrelle; C. Londero","1993","03","02","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S",NA,NA,"CRI004332","CRI004332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
