"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","coordinatePrecision","geoFlag","individualCount","imagecode","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","883750","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","L. A. Skorupa","D. C. Daly","D465","1980","10","04","South America","Brazil","Maranhão","Lago do Junco","Fazenda Bacaba, Doctor Haroldo. 5km S of MA 119 from entrance 3 km NW of Lago do Junco.","-44.97","-4.43","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","5139","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","Nascimento, M.G.P.; Bittencourt, C.B.","Bittencourt, C.B.","2","2018","08","02",NA,"Brasil","Maranhão","Barra do Corda","Baixão do Tucum","-45.164333","-5.128194",NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA005139","45°09'51,60W","05°07'41,50S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:54-03","UFRJ","RFA","Foto 8717","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","C.J. Joseph","A. Ducke",NA,"1926","10","21",NA,"Brasil","Pará","Pará","Peixe-boi, E. de F. de Bragança.",NA,NA,NA,NA,"RFA-Foto35404",NA,NA,"1967","02","02",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:48:29-03","EAO","IAN","161477","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","Skorupa, LA","Daly, DC; Campbell, DG; Silva, AS; Bahia, RP; Santos, MR dos; Bastos, NC","D465","1980","10","04","Southern America","Brasil","Maranhão",NA,"Fazenda Babaca, Doctor Haroldo, 5K S of MA 119 from entrance 3Km NW of Lago do Junco. Hillside vegetation by trail & little-disturbed hilltop forest.",NA,NA,NA,"Shrub to 3 m. Immature fruits green, mature fruits magenta.","IAN161477",NA,NA,"1996","06",NA,"paratipo",NA,NA,NA,NA,NA,NA
"5","2021-03-21 19:38:38-03","UFC","EAC","35148","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C. J. Joseph ex Skorupa","Andrade, M.","Andrade, M.; Oliveira, C.","s.n.","2005","04","20","Southern America","Brasil","Maranhão","Barra do Corda","Fazenda Chapada","-45.2433013916016","-5.50555992126465",NA,"Arbusto, flores e frutos.&nf;As plantas foram coletadas no Banco de Germoplasma da Fazenda Chapada de Propriedade da Merck S. A. Essa espécie ocorre naturalmente na localidade de Montevideu - MA e foi adaptada na Faz. Chapada. Esse mate","EAC0035148",NA,NA,NA,NA,NA,NA,"116584","auto",NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","2808415","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J. Joseph ex Skorupa","L.A. Skorupa","Douglas C. Daly","Daly 465","1980","10","4","South America","Brazil","Maranhão",NA,"Fazenda Bacaba, Doctor Haroldo. 5 km S of MA 119 from entrance 3 km NW of Lago do Junco. Hillside vegetation by trail & little-disturbed hilltop forest.","-44.96666","-4.43333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-02 16:39:17-03","Cenargen","CEN","29455","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex L.A.Skorupa",NA,"Ladislau Araújo Skorupa","1024","1995","03","20",NA,"Brasil","MA","LAGO DO JUNCO","Cerca de 6 km a NW do Lago do Junco - Fazenda Bacabal.","-44.931944","-4.4","Exsicatas","Pétalas, filetes e ovário acastanhados, disco com glândulas conspícuas.","CEN00029455","-44.931944","-4.4",NA,NA,NA,NA,NA,NA,"32","CEN00029455",NA,NA
"8","2021-03-15 18:29:51-03","USP","SPF","190786","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","Dias, P","Dias, P","247","2005","12","05",NA,"Brasil","Maranhão","Buriticupu","Buriticupuzinho, ca. de 8 km antes de chegar em Buriticupu pela Rod. BR 222, sentido Bom Jesus das Selvas-Buriticupu, margem esquerda, 2a Vila de Produção (condomínio) da Companhia Vale do Rio Doce, Reserva da CVRD, final do condomínio, trilha princi","-46.523639","-4.272722",NA,"Arbusto ca. de 1.2 m de alt. Fruto passado. Um único indivíduo.","SPF00190786","-46.523639","-4.272722","2005","12","05",NA,NA,NA,NA,NA,"191","191"
"9","2019-11-13 11:30:59-03","USP","SPF","93020","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","Skorupa, LA","Daly, DC","D465","1980","10","04",NA,"Brasil","Maranhão",NA,NA,"-44.966667","-4.433333",NA,NA,"SPF00093020","-44.966667","-4.433333","1996","06",NA,"paratype",NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:30:59-03","USP","SPF","132212","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","Skorupa, LA","Muniz, FH","B1751","1995","09","17",NA,"Brasil","Maranhão","Buriticupu","Reserva Florestal da CVRD.","-46.4011001586914","-4.34582996368408",NA,NA,"SPF00132212",NA,NA,"1999","02",NA,NA,"73814","auto",NA,NA,NA,NA
"11","2019-11-13 11:30:59-03","USP","SPF","126051","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","Skorupa, LA","Skorupa, LA","1024","1995","03","20",NA,"Brasil","Maranhão","Lago do Junco",NA,"-44.9166984558105","-4.40000009536743",NA,NA,"SPF00126051",NA,NA,NA,NA,NA,"paratype","25654","auto",NA,NA,"160","160"
"12","2019-11-21 10:18:46-03","IBt","SP","318323","S","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus","C.J.Joseph ex Skorupa","Skorupa, LA","Skorupa, LA; Pereira da Silva, G","1024","1995","03","20",NA,"Brasil","Maranhão","Lago do Junco","Ca. 6 km NW do Lago do Junco, Fazenda Bacabal. Mata de cipó de topo de serra. Solo argiloso","-44.9166984558105","-4.40000009536743",NA,"Arvoreta 3-6 m alt. x 3-5 cm diâm. Pétalas, filetes e ovário castanhos; disco com glândulas conspícuas","SP001584",NA,NA,NA,NA,NA,"Paratype","25654","auto",NA,"SP001584","160","160"
"13","2020-08-07 17:12:05-03","IEPA","HAMAB",NA,"PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","alatus","Pilocarpus alatus",NA,NA,"Daly, DC","465","1980","10","04",NA,"Brasil","Maranhão",NA,NA,"-44.966667","-4.433333",NA,NA,NA,"-44.966667","-4.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
