"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","318880","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Breweria","hassleriana","Breweria hassleriana","Chodat","isotype","E. Hassler","4541","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318880","NY00318880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 17:14:00-02","NY","NYBG","484537","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus",NA,NA,"L. B. Smith","13301","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484537","NY00484537_01","L. B. Smith","1964","11","15","Santa Catarina","Abelardo Luz","8-12 km north of Abelardo Luz","-52.33","-26.53","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:54-03","UFRJ","RFA","11226","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"P. Occhioni","4520",NA,"Brasil",NA,"Volúvel. Flor branca","RFA39643",NA,"Joaquim Falcão","1971","11","09","Paraná","Ponta Grossa","Estrada Curitiba - Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"1975","04","08","46557","auto",NA,NA,NA,NA,NA
"4","2020-02-08 10:34:02-03","NBC","NL-BOTANY","L.2735475","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Hatschbach GG; Guimarães OA",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2735475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2735475","NL-L2735475",NA,"1968","10","11",NA,NA,"Paraná (Brasil), Jaguarialva, Fda. das Almas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"5","2021-01-14 15:27:20-03","MN","R","200597","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Smith, L.B.; et al","13301",NA,"Brasil",NA,NA,NA,NA,NA,"1964","11","15","Santa Catarina","Abelardo Luz",NA,"-52.3283004760742","-26.5646991729736",NA,NA,NA,NA,NA,"35836","auto",NA,NA,NA,NA,NA
"6","2019-08-27 13:33:13-03","IAP","PACA-AGP","28108","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Rambo, B.",NA,NA,"Brasil",NA,"fl. sicher, 20.7.1954.; erecta Habitat: in campestribus siccis dumetosis","PACA028108",NA,"P.P.A. Ferreira","1945","03",NA,"RS","Nonoai","fl. Uruguai","-52.7714004516602","-27.3617000579834",NA,NA,"2010","05","03","35080","auto","Magnoliatae",NA,NA,NA,NA
"7","2019-08-27 13:33:13-03","IAP","PACA-AGP","9737","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Rambo, B.",NA,NA,"Brasil",NA,"fr. sicher, 20.7.1954 Habitat: in campestribus siccis dumetosis","PACA009737",NA,"P.P.A. Ferreira","1942","01","27","RS","Tupanciretan p. Jarí",NA,NA,NA,NA,NA,"2010","05","03",NA,NA,"Magnoliatae",NA,NA,NA,NA
"8","2019-08-27 13:33:13-03","IAP","PACA-AGP","51876","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Rambo, B.",NA,NA,"Brasil",NA,"fl. sicher, 20.7.1954 Habitat: in campestribus dumetosis","PACA051876",NA,"P.P.A. Ferreira","1952","01","14","RS","Bom Jesus","Passo da Guarda","-50.4166984558105","-28.6678009033203",NA,NA,"2010","05","03","55856","auto","Magnoliatae",NA,NA,NA,NA
"9","2019-08-27 13:33:13-03","IAP","PACA-AGP","9095.1","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Rambo, B.",NA,NA,"Brasil",NA,"sicher, 20071954; Habitat: in campestribus siccis dumetosis Fenofase: fruto","PACA009095-1",NA,"P.P.A. Ferreira","1942","01","25","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,NA,"2010","05","03","59498","auto","Magnoliatae",NA,NA,NA,NA
"10","2019-08-27 13:33:13-03","IAP","PACA-AGP","34978","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Rambo, B.",NA,NA,"Brasil",NA,"fl. fr. sicher, 20.7.1954.; erecta Habitat: in campestribus siccis dumet.","PACA034978",NA,"P.P.A. Ferreira","1947","01","08","RS","Vacaria","Faz. da Ronda","-50.9338989257812","-28.5121994018555",NA,NA,"2010","05","03","63451","auto","Magnoliatae",NA,NA,NA,NA
"11","2019-08-27 13:33:13-03","IAP","PACA-AGP","51592","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Rambo, B.",NA,NA,"Brasil",NA,"fl. Habitat: in campestribus dumetosis","PACA051592",NA,"P.P.A. Ferreira","1951","01","27","RS","Vacaria","Passo do Socorro","-50.9338989257812","-28.5121994018555",NA,NA,"2010","05","03","63451","auto","Magnoliatae",NA,NA,NA,NA
"12","2020-10-14 10:00:42-03","FURB","FURB","7104","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Grippa, C.R.","48",NA,"Brasil",NA,NA,"FURB04075","FURB04075","Ferreia, PPA","2007","11","19","Santa Catarina","Capão Alto","Encontrada na margem esquerda do rio Pelotinhas.","-50.6308334","-28.2944444","710","710","2010","05","03",NA,NA,NA,"-50.6308334","-28.2944444",NA,NA
"13","2019-08-16 08:39:00-03","UTFPR","HCF","21469","S","Plantae",NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"L.T. Dombrowski","803",NA,"Brasil",NA,"em campo, frequente.",NA,NA,"G. Hatschbach","1964","11","05","PR","Rio Tibagi (estrada do Café)","lado direito do rio.",NA,NA,NA,NA,"1965",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-21 08:41:10-03","MNHN","RECOLNAT_MNHN_P","P00622246","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Hassler, E.",NA,NA,"Paraguay","hb","Reçu le 02 octobre 1900 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00622246' target='other'> <mi>dwc_moreinfo</mi></a>","P00622246","P00622246_01","Simao-Bianchini",NA,"9",NA,NA,NA,"In regione fluminis Carimbatay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4541",NA
"15","2015-09-27 09:04:25-03","MNHN","RECOLNAT_MNHN_P","P00746320","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00746320' target='other'> <mi>dwc_moreinfo</mi></a>","P00746320","P00746320_01","Simão-Bianchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-09-28 18:47:00-03","MNHN","RECOLNAT_MNHN_P","P00758767","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00758767' target='other'> <mi>dwc_moreinfo</mi></a>","P00758767","P00758767_01","Simão-Bianchini","1816","1","1",NA,NA,"Province de Saint-Paul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 1424",NA
"17","2015-09-04 12:53:13-03","MNHN","RECOLNAT_MNHN_P","P03536086","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Hassler, E.",NA,NA,"Paraguay","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03536086' target='other'> <mi>dwc_moreinfo</mi></a>","P03536086","P03536086_01 P03536086_02","Simao-Bianchini",NA,"9",NA,NA,NA,"In regione fluminis Carimbatay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4541",NA
"18","2017-05-22 15:58:27-03","MNHN","RECOLNAT_MNHN_P","P03536445","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Gaudichaud, C.",NA,NA,"Brasil","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03536445' target='other'> <mi>dwc_moreinfo</mi></a>","P03536445","P03536445_01","Wood","1833","1","1",NA,NA,"Bréisl. Province de Rio-Grande. Brasil, América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"659",NA
"19","2015-09-04 12:54:11-03","MNHN","RECOLNAT_MNHN_P","P03536561","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Smith, L.B.|Klein, R.M.",NA,NA,"Brasil","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03536561' target='other'> <mi>dwc_moreinfo</mi></a>","P03536561","P03536561_01",NA,"1964","11","15","Santa Catarina","Abelardo Luz","8-12km north of Abelardo Luz. Abelardo Luz, Santa Catarina, Sul, Brasil, América do Sul","-52.33333","-26.53333","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,"13301",NA
"20","2015-09-04 12:38:15-03","MNHN","RECOLNAT_MNHN_P","P03879392","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Convolvulus","hasslerianus","Convolvulus hasslerianus","(Chodat) O'Donell",NA,"Balansa, B.",NA,NA,"Paraguai","hb","Pl. du Paraguay. 1874-1877. . Reçu le 12 février 1878 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03879392' target='other'> <mi>dwc_moreinfo</mi></a>","P03879392","P03879392_01","Simão-Bianchini","1874","11","11",NA,NA,"Paraguay. Caaguazu. Paraguai","-56.01535","-25.46982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1056",NA
