"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","class","typeStatus","relatedCatalogItem","relationshipType","coordinatePrecision","geoFlag","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-04-05 14:25:39-03","UNESC","CRI","13043","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Seubert, RC","2014","08","20","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","108","2014","08","20","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.2075","-27.123889","49º12'27''W","27º7'26''S","653","653","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;","CRI011635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:39-03","UNESC","CRI","14481","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Sobral, M","2010","08","15","Korte, A.; Kniess, A.","1738","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","Nova Esperança. Nova Esperança.","-49.950556","-26.730278","49º57'2''W","26º43'49''S","535","535","Florística IFFSC 797 (Arvoreta) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arvoreta;","CRI013608","CRI013608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615933","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand",NA,NA,NA,NA,"L. R. Landrum","2921","1977","12","15","Brazil","Paraná","Sao José dos Pinhais","Road to Guaricana, low area where the electricity wires come near road","-49","-25.67",NA,NA,"100","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615933","NY00615933_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615932","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand",NA,NA,NA,NA,"L. R. Landrum","2932","1977","12","15","Brazil","Paraná","Sao José dos Pinhais","Road to Guaricana, low area where the electricity wires come near road","-49","-25.67",NA,NA,"100","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615932","NY00615932_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615931","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand",NA,NA,NA,NA,"L. R. Landrum","2933","1977","12","15","Brazil","Paraná","Sao José dos Pinhais","Road to Guaricana, low area where the electricity wires come near road","-49","-25.67",NA,NA,"100","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320495' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615931","NY00615931_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.1132505","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand",NA,NA,NA,NA,"Reitz R",NA,"1953","02","04","Brazil",NA,NA,"Brazil, Serra da Boa Vista, S. Jose",NA,NA,NA,NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1132505 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1132505","NL-L1132505",NA,"Myrtales","Southern America",NA,"Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L 0009527","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand",NA,NA,NA,NA,"Reitz R",NA,"1953","02","04","Brazil",NA,NA,"Brazil, Serra da Boa Vista, S. Jose",NA,NA,NA,NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200009527 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0009527","NL-L0009527",NA,"Myrtales","Southern America",NA,"Magnoliopsidae","isotype","134646",NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.1132506","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand",NA,NA,NA,NA,"Reitz R",NA,"1953","02","04","Brazil",NA,NA,"Brazil, Serra da Boa Vista, S. Jose",NA,NA,NA,NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1132506 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1132506","NL-L1132506",NA,"Myrtales","Southern America",NA,"Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.1132507","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand",NA,NA,NA,NA,"Reitz R",NA,"1953","02","04","Brazil",NA,NA,"Brazil, Serra da Boa Vista, S. Jose",NA,NA,NA,NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1132507 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1132507","NL-L1132507",NA,"Myrtales","Southern America",NA,"Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA
"10","2020-01-02 18:31:24-03","FPS","FPS","3590","MachineObservation","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Molz, M.","2020","01","02","Schwirkowski, P.","3017","2018","08","20","Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho. Recanto do Noti.","-49.29344","-26.263205","-49.29344","-26.263205",NA,NA,NA,"FPS03590,FURB60961","FPS03590_v01 FPS03590_v02 FPS03590_v03 FPS03590_v04 FPS03590_v05 FPS03590_v06 FPS03590_v07 FPS03590_v08 FPS03590_v09 FURB60961",NA,NA,NA,NA,NA,NA,"FURB 60961","voucher",NA,NA,NA,NA,NA
"11","2020-01-02 18:31:24-03","FPS","FPS","3589","MachineObservation","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Vieira, F.C.S.","2019","12","15","Schwirkowski, P.","3016","2018","08","20","Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho. Recanto do Noti.","-49.29344","-26.263205","-49.29344","-26.263205",NA,NA,NA,"FPS03589,FURB60960","FPS03589_v01 FPS03589_v02 FPS03589_v03 FPS03589_v04 FPS03589_v05 FPS03589_v06 FPS03589_v07 FPS03589_v08 FURB60960",NA,NA,NA,NA,NA,NA,"FURB 60960, HUCS 49527","voucher",NA,NA,NA,NA,NA
"12","2019-08-27 13:31:30-03","IAP","PACA-AGP","118687","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D. Legrand","Sobral, M.","2010","08","15","Korte, A.","797","2010","02","05","Brasil","SC","Santa Terezinha","nova esperanca","-49.950556","-26.730278","49º57'2w","26º43'49s","535","535","furb 29970 Habitat: Floresta ombrófila mista e Floresta ombrófila densa; estagio medio de regeneracao; interior do fragmento","PACA118687",NA,"Magnoliophyta","Myrtales",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA
"13","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043462","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","Diego Legrand",NA,NA,NA,NA,"M.L. Kawasaki; M. Kirizawa, M. Sugiyama","696","1995","4","27","Brazil","Sao Paulo","Riberao Grande","Fazenda Intervales. Base Barra Grande. Trilha do Pano Amarelo.","-45.45","-22.8",NA,NA,NA,NA,"Coor from www.fallingrain.com/world; Arvore, ca. 4.00m alto; flores brancas.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043465","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","Diego Legrand","L. R. Landrum",NA,NA,NA,"G. Hatschbach","11342","1964","4","26","Brazil","Parana",NA,"Novo Tirol, Mun. Piraquara","-49.0667","-25.4333",NA,NA,NA,NA,"PHOTO-MICH; Arvoreta de flor alva",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043463","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","Diego Legrand",NA,NA,NA,NA,"J. Mattos; N. Mattos","15081","1967","10","18","Brazil","Sao Paulo","Santo Andre","Ca. 3km da rodovia Campo Grande-Paranapiacaba.","-46.5167","-23.6667",NA,NA,NA,NA,"Coor from www.fallingrain.com/world; Arbusto ca. 2.5m, botoes.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043464","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","Diego Legrand",NA,NA,NA,NA,"L. R. Landrum","2932","1977","12","15","Brazil","Parana",NA,"Mun. Sao Jose dos Pinhais, road to Guaricana, low area where the electricity wires come near road","-49","-25.6667",NA,NA,"900","1000","PHOTO-MICH",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-10-14 10:03:31-03","FURB","FURB","29970","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Sobral, M","2010","08","15","Korte, A.; Kniess, A.","1738","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","Nova Esperança.","-49.9505556","-26.7302778","-49.9505556","-26.7302778","535","535","Florística IFFSC 797 (Arvoreta) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arvoreta;","FURB32751","FURB32751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-10-14 10:03:31-03","FURB","FURB","34911","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Sobral, M","2010",NA,NA,"Dreveck, S.; Carneiro, F.E.","2542","2009","11","26","Brasil","Santa Catarina","Joinville","Comfloresta.","-49.1408333","-26.1872222","-49.1408333","-26.1872222","822","822","Voucher estéril IFFSC 1047 (Fitossociologia) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbórea;","FURB32755","FURB32755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-10-14 10:03:31-03","FURB","FURB","46586","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Seubert, RC","2014","08","20","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","108","2014","08","20","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.2075","-27.1238889","-49.2075000","-27.1238889","653","653","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;","FURB32753","FURB32753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-10-14 10:03:31-03","FURB","FURB","46607","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Seubert, RC","2014","02","19","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","69","2014","02","19","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.2108333","-27.1116667","-49.2108333","-27.1116667","652","652","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arbórea;","FURB32752","FURB32752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-10-14 10:03:31-03","FURB","FURB","48046","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Oliveira, AA de","2015","09","12","Oliveira, A.A. de","2821","2015","09","12","Brasil","Santa Catarina","Otacílio Costa","Vila dos Baianos, Fazenda Gugelmin.","-49.9505556","-27.6308334","-49.9505556","-27.6308334","863","863",NA,"FURB48046","FURB48046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-10-14 10:03:31-03","FURB","FURB","54279","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Vieira, F. C. S.","2020","04","17","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","655","2017","06","22","Brasil","Santa Catarina","Joinville",NA,"-49.1408333","-26.1872222","-49.1408333","-26.1872222","822","822","Habitat: interior da U.A. Habito: árvore","FURB54279","FURB54279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-10-14 10:03:31-03","FURB","FURB","58457","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Kassner-Filho, A.","2018","04","06","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.","2569","2018","04","06","Brasil","Santa Catarina","Alfredo Wagner",NA,"-49.3222223","-27.8116667","-49.3222223","-27.8116667","112","112","flor creme Habitat: interior da unidade amostral Habito: árvore","FURB58457","FURB58457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-10-14 10:03:31-03","FURB","FURB","60960","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Vieira, F. C. S.","2020","04","17","Schwirkowski, P.","3016","2018","08","20","Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho. Recanto do Noti.","-49.2933333","-26.2633333","-49.2933333","-26.2633333","950","950","Fragmento de FOM. Heliófita. Frutos de cor vinácea quando maduros Habitat: Borda de mata Habito: Árvore","FURB60960","FURB60960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-10-14 10:03:31-03","FURB","FURB","64643","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Kassner-Filho, A.","2019","03","09","Kassner-Filho, A.; Santos, D; Bollmann, G; Althoff, L.F.","4977","2019","03","09","Brasil","Santa Catarina","Palmeira","Bairro Igarra.","-50.1302778","-27.5411111","-50.1302778","-27.5411111","840","840","Botão Habitat: Interior e unidade amostral;Floresta Ombrófila Mista; Estágio médio de regeneração Habito: Arbórea","FURB64643","FURB64643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-10-14 10:03:31-03","FURB","FURB","9153","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Sobral, M","2009","07","17","Verdi, M.; Dreveck, S. & Carneiro, F.E.","505","2008","03","27","Brasil","Santa Catarina","São José do Cerrito","Ponte Canoas.","-50.8491666","-27.5391666","-50.8491666","-27.5391666","850","850","IFFSC 328/L/17.","FURB02518","FURB02518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-10-14 10:03:31-03","FURB","FURB","629","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Vieira, F. C. S.","2020","04","21","Sevegnani, L.",NA,"2002","02","09","Brasil","Santa Catarina","Guabiruba","Morro do Santo Antônio.","-48.9810981750488","-27.0858001708984",NA,NA,NA,NA,"Habitat: Floresta Ombrófila Densa;","FURB32532","FURB32532",NA,NA,NA,NA,NA,NA,NA,NA,"16046","auto",NA,NA,NA
"28","2020-10-14 10:03:31-03","FURB","FURB","385","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Sobral, M","2009","07","17","Ghoddosi, S.M.",NA,"2001","02","09","Brasil","Santa Catarina","Guabiruba","Morro do Santo Antônio.","-48.9810981750488","-27.0858001708984",NA,NA,"1000","1000","FNMA. Florística. Nº antigo 05. Habitat: Floresta Ombrófila Densa; floresta Habito: arbórea;","FURB32749","FURB32749",NA,NA,NA,NA,NA,NA,NA,NA,"16046","auto",NA,NA,NA
"29","2020-10-14 10:03:31-03","FURB","FURB","353","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Sobral, M","2009","07","17","Jeremias, O.",NA,"2002","02","09","Brasil","Santa Catarina","Guabiruba","Morro do Santo Antônio.","-48.9810981750488","-27.0858001708984",NA,NA,"1000","1000","FNMA. Florística. Nº antigo 24. Habitat: Floresta Ombrófila Densa; floresta Habito: arbórea;","FURB32754","FURB32754",NA,NA,NA,NA,NA,NA,NA,NA,"16046","auto",NA,NA,NA
"30","2020-10-14 10:03:31-03","FURB","FURB","2007","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Sobral, M","2009","07","17","Sobral, M.",NA,"2002","02","08","Brasil","Santa Catarina","Guabiruba","Morro Santo Antônio.","-48.9810981750488","-27.0858001708984",NA,NA,NA,NA,NA,"FURB32750","FURB32750",NA,NA,NA,NA,NA,NA,NA,NA,"16046","auto",NA,NA,NA
"31","2021-03-16 17:53:57-03","UCS","HUCS","28397","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D. Legrand","Ribeiro, C.L.","2019","02","01","Sartori, M.","106","2006","05","04","Brasil","Paraná","São Mateus do Sul","Dois Irmãos","-50.3828010559082","-25.8742008209229",NA,NA,"800","800","interior da mata",NA,NA,"Angiospermae","Myrtales",NA,NA,NA,NA,NA,NA,"31353","auto",NA,NA,NA
"32","2020-12-21 16:37:04-03","MBM","MBM","14421","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","venosa","Myrceugenia venosa","D.Legrand","Lindeman, J.",NA,NA,NA,"Lindeman, J.; Haas, H.; Haas, H.","242","1966","01","11","Brazil","Paraná",NA,"Serra do mar, road Curitiba - Morretes",NA,NA,NA,NA,NA,NA,NA,"MBM014421","MBM014421",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
