"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","county","locality","phylum","order","scientificNameAuthorship","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:36:45-03","E","E","44166","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","Fiebrig, K.","5263","1905","03","22","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:51569","<a href=http://data.rbge.org.uk/herb/E00044166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:45-03","E","E","44163","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","Ratter, James A.",NA,"1976","04","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:51571","<a href=http://data.rbge.org.uk/herb/E00044163 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044163","Federal District","In the area of the Corrego Cabeca de Veado c. 9.5 km SSE of the Brasilia TV Tower.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:45-03","E","E","44165","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","Sellow",NA,NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:51570","<a href=http://data.rbge.org.uk/herb/E00044165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:45-03","E","E","44167","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","Gardner, George","5212",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:51568","<a href=http://data.rbge.org.uk/herb/E00044167 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00044167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","910811","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","H. S. Irwin","21531","1968","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910811","Guaraí","Ca. 9 km S. of Guará.","Magnoliophyta","Dioscoreales","Mart.","Tocantins","-48.52","-8.92","550","550","NY00910811_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2230705","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","R. de S. Secco","410","1982","06","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2395279' target='other'> <mi>dwc_moreinfo</mi></a>","NY02230705",NA,"Marabá, arredores lago N1","Magnoliophyta","Dioscoreales","Mart.","Pará","-50.2921486","-6.0253411",NA,NA,"NY02230705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","910809","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","H. S. Irwin","17012","1966","06","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910809",NA,"Ca. 30 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","Magnoliophyta","Dioscoreales","Mart.","Mato Grosso","-52.32","-14.92","400","400","NY00910809_01","F. P. Jonker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","910819","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","J. A. Ratter","R.2968","1976","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910819","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.","Magnoliophyta","Dioscoreales","Mart.","Distrito Federal","-47.9294","-15.7797",NA,NA,"NY00910819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02230704","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","C. R. Sperling","5832","1982","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2395278' target='other'> <mi>dwc_moreinfo</mi></a>","NY02230704",NA,"Serra dos Carajás. 2 Km east of AMZA camp N-1.","Magnoliophyta","Dioscoreales","Mart.","Pará","-50.28","-6.03","700","700","NY02230704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393693","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","R. M. Harley","21955","1980","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393693",NA,"Chapadao Ocidental da bahia. 37 km N. from Correntina, on the Inhaúmas road","Magnoliophyta","Dioscoreales","Mart.","Bahia","-44.78","-13.12","580","580","NY00393693_01","P. J. M. Maas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","910816","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","W. R. Anderson","8344","1973","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910816",NA,"25 km by road NE of Diamantina, 2 km W of Rio Jequití. Serra do Espinhaço.","Magnoliophyta","Dioscoreales","Mart.","Minas Gerais","-43.43284","-18.09029","790","790","NY00910816_01","P. J. M. Maas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2230710","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","G. T. Prance","13837","1971","07","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2395284' target='other'> <mi>dwc_moreinfo</mi></a>","NY02230710",NA,"Fortaleza Savanna, Rio Puciari tributary of Rio Ituxi, 20 km above mouth.","Magnoliophyta","Dioscoreales","Mart.","Amazonas","-64.7678","-7.2808",NA,NA,"NY02230710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","910817","PreservedSpecimen","Plantae","Burmanniaceae","Burmannia","flava","Burmannia flava","W. R. Anderson","10466","1973","05","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910817","Cocalzinho de Goiás","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","Magnoliophyta","Dioscoreales","Mart.","Goiás","-48.80861","-15.7880556","1230","1230","NY00910817_01","P. J. M. Maas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
