"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","355042","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","longistyla","Cryptocarya longistyla","Mez","isotype","A. F. M. Glaziou","19801","1892","01","18","South America","Brazil","Rio de Janeiro","Alto Macaná.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355042","NY00355042_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","355044","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","longistyla","Cryptocarya longistyla","Mez","isotype","A. F. M. Glaziou","19801","1892","01","18","South America","Brazil","Rio de Janeiro","Alto Macaná de Nova Triburgo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355044","NY00355044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","355043","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","longistyla","Cryptocarya longistyla","Mez","isotype","A. F. M. Glaziou","19801","1892","01","18","South America","Brazil","Rio de Janeiro","Alto Macaná de Nova Triburgo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355043","NY00355043_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1144960","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","saligna","Cryptocarya saligna","Mez",NA,"P. L. Rodrigues de Moraes","2302","2000","10","10","South America","Brazil","São Paulo","Estação Experimental Jose Cioné (IAC), Pariquera-Açu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301702' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144960","NY01144960_01","P. L. Rodrigues de Moraes","-47.88164","-24.6131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","540905","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","saligna","Cryptocarya saligna","Mez",NA,"C. A. L. de Oliveira","8","1985","12","19","South America","Brazil","Rio de Janeiro","Floresta da Tijuca, Estr. da Cascatinha, à margem do rio, pr. Portaria","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540905","NY00540905_01","P. L. R. de Moraes","-43.2075","-22.9031","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","197686","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","saligna","Cryptocarya saligna","Mez",NA,"Pessoal do Horto Florestal","s.n.","1926","12","02","South America","Brazil","Rio de Janeiro","Matas do Sumaré e Sulvestre.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197686","NY00197686_01","I. de Vattimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","197684","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","saligna","Cryptocarya saligna","Mez",NA,"J. G. Kuhlmann","s.n.","1939","10","31","South America","Brazil","Rio de Janeiro","Estrada do Redentor, perto do Alto da Boa Vista Tijuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197684","NY00197684_01","B. Coe-Teixeira","-43.245505","-22.956326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1144961","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","saligna","Cryptocarya saligna","Mez",NA,"P. L. Rodrigues de Moraes","2303","2000","10","10","South America","Brazil","São Paulo","Sítio Sr. Antonio Povinske, Pariquera-Açu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301705' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144961","NY01144961_01","P. L. Rodrigues de Moraes","-47.86586","-24.67536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1015983","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","saligna","Cryptocarya saligna","Mez",NA,"P. L. Rodrigues de Moraes","2472","2001","08","06","South America","Brazil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Picinguaba. Árvore no. 6.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115770' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015983","NY01015983_01","P. L. Rodrigues de Moraes","-44.8325","-23.3333","Ubatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1015984","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","saligna","Cryptocarya saligna","Mez",NA,"P. L. Rodrigues de Moraes","2476","2001","08","07","South America","Brazil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Picinguaba. Árvore no. 8.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115772' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015984","NY01015984_01","P. L. Rodrigues de Moraes","-44.8306","-23.3303","Ubatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
