"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","811745","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii","Baker","M. R. Ritter","E. P. dos Santos","562","1998","10","02","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos.","-48.8","-25.87","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=804062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811745","NY00811745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02491367","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii","Baker",NA,"L. B. Damazio","1428","1909","05","26","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2720398' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491367","NY02491367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 13:57:00-03","NY","NYBG","797322","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii",NA,NA,"O. Buchtien","7557","1922","08","13","South America","Bolivia",NA,NA,"Tipuani - Valley: Hacienda Casana",NA,NA,"1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797321","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii","Baker",NA,"E. P. Killip","24897","1929","06","09","South America","Peru","Junín",NA,"San Ramón","-75.399968","-11.153572","900","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1183986","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii collina","Baker & Mart.","R. A. X. Borges","R. C. Forzza","3477","2004","07","25","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, trilha para o Monjolinho.","-43.8867","-21.7028","1460","1460","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183986","NY01183986_01","collina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1183973","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii collina","Baker & Mart.","R. A. X. Borges","M. M. Saavedra","252","2006","05","16","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca. Prainha.","-43.8833","-21.7167","1367","1367","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459461' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183973","NY01183973_01","collina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02206154","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii","Baker","H. E. Robinson","A. M. Amorim","4241","2004","07","29","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13,7 km de Barro Preto, na estrada que passa pela Faz. São Miguel em direção a serra","-39.2028","-14.7703","600","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2212977' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206154","NY02206154_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","811664","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii","Baker","H. E. Robinson","R. Kummrow","1560","1981","09","11","South America","Brazil","Paraná","Quatro Barras","Borda do Campo.","-49.0767","-25.3658",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811664","NY00811664_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","811663","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii","Baker","Á. L. Cabrera","R. Reitz","9140","1959","09","18","South America","Brazil","Santa Catarina",NA,"Morro Spitzkopf, Blumenau.","-49.131926","-27.026351","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811663","NY00811663_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","880143","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","lindbergii","Mikania lindbergii","Baker",NA,"Y. E. J. Mexia","5793","1931","05","08","South America","Brazil","Minas Gerais","Diamantina","Olaria; border of deep division ditch.","-43.571739","-17.888053","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880143","NY00880143_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
