"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","year","month","day","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1801195","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","M. Link-Pérez; R. J. Hickey","L. B. Damazio","15579","South America","Brazil","Minas Gerais","Ouro Preto","Itaculium [Itacolomi?].","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017417' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801195","NY01801195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","144370","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"A. F. M. Glaziou","20583","South America","Brazil","Minas Gerais",NA,"Serra dos Vertentes à Folho Largo.",NA,NA,"sheet","This Fragment came from B. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512322' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144370","NY00144370_01","not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","144369","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"A. F. Regnell","II320","South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","This Fragment came from B. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144369","NY00144369_01","type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1801190","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","M. Link-Pérez; R. J. Hickey","C. W. Mosén","2071","South America","Brazil","Minas Gerais","Caldas","Caldas. In ripa anuuis Rio Capivary","-46.3858","-21.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017392' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801190","NY01801190_01",NA,"1873","11","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 09:59:20-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","02262","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","RFN Camargo","L. Kriegerr","20680","América do Sul","Brasil","Minas Gerais","Rios de Minas","Pedra Branca",NA,NA,NA,"GEOGRAFIA: rupícola sobre gnaiss, em tufos de vegetação;",NA,NA,NA,"1984","07","20","Polypodiopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:58-02","BGBM","B","B 20 0038456","S","Plantae",NA,NA,"Polypodiaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"A. F. M. Glaziou","17958","Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200038456 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200038456","B200038456","isotype","1888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:38:58-02","BGBM","B","B 20 0038454","S","Plantae",NA,NA,"Polypodiaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"A. F. Regnell","II 320","Middle and South America","Brazil",NA,NA,"Prov. Minas Geraes: Caldas.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200038454 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200038454","B200038454","type","1850","02","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:38:58-02","BGBM","B","B 20 0038455","S","Plantae",NA,NA,"Polypodiaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"A. F. Regnell","II 320","Middle and South America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200038455 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200038455","B200038455","type","1850","02","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-20 14:18:04-03","UFOPA","HSTM","12557","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.","Dittrich, V.A.O.","Novelino","262",NA,"Brasil","Minas Gerais","Pedra branca","Entre Rios de Minas.","-43.801944","-20.44",NA,NA,"HSTM012557","HSTM012557",NA,"1984","07","24",NA,"2018","11","01","43º48'7''W","20º26'24''S",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:54:20-03","UFJF","CESJ","16634","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Cheilanthes","regnelliana","Cheilanthes regnelliana","Mett.",NA,"L. Krieger","CESJ16634","América do Sul","Brasil","Minas Gerais","Entre Rios de Minas","Entre pedras, sobre pedreira, em tufos,","-44.065601348877","-20.6707992553711",NA,"Frondes duras, frágeis.","CESJ016634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20620","auto",NA,NA,NA,NA
