"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","7442","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","botelhensis","Tabebuia botelhensis","A.H.Gentry","isotype","A. H. Gentry","58849","1987","09","02","South America","Brazil","São Paulo","Carlos Botelho State Park, ca. 12 km S of Park Headquarters.","-47","-24.2","760","760","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=389335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007442","NY00007442_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-12 10:02:15-03","UNICAMP","UEC","856","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Tabebuia","botelhensis","Tabebuia botelhensis","A.H.Gentry","paratypus","Prance, GT; Shepherd, GJ; Benson, WW","6918","1978","02","01",NA,"Brazil","São Paulo","Reserva Carlos Botelho, Entre São Miguel Arcanjo e Sete Barras.","-48","-24.552778","400","400",NA,"flor, Árvore 10 m x 15 cm de diâmetro, florescendo sem folhas. Flores de cor amarelada. Em mata e beira de mata.","UEC105347","UEC105347","São Miguel Arcanjo","-48","-24.552778",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-21 19:33:11-03","UFC","EAC","28521","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Handroanthus","botelhensis","Handroanthus botelhensis","(A.H.Gentry) S.Grose",NA,"Lemos, T.","s.n.","1999","10","26","Southern America","Brasil","Ceará","Mulungu, Sítio Profº Heliomar","-38.9963989257812","-4.30556011199951",NA,NA,NA,"Flor amarela.","EAC0028521","EAC0028521","Mulungu",NA,NA,"Araújo, R.S.","2018","04","11","10506","auto",NA,NA,NA
"4","2015-09-04 08:05:27-03","MNHN","RECOLNAT_MNHN_P","P03586130","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Tabebuia","botelhensis","Tabebuia botelhensis","A.H.Gentry",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03586130' target='other'> <mi>dwc_moreinfo</mi></a>","P03586130","P03586130_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12964",NA,NA
"5","2015-09-04 08:05:26-03","MNHN","RECOLNAT_MNHN_P","P03586128","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Tabebuia","botelhensis","Tabebuia botelhensis","A.H.Gentry",NA,"Glaziou, A.",NA,"1881","8","11",NA,"Brasil","Rio de Janeiro",NA,"-42.5311012268066","-22.2819004058838",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03586128' target='other'> <mi>dwc_moreinfo</mi></a>","P03586128","P03586128_01","Nova Friburgo",NA,NA,NA,NA,NA,NA,"33190","auto","12964",NA,NA
"6","2018-01-03 13:59:02-02","MNHN","RECOLNAT_MNHN_P","P03586126","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Tabebuia","botelhensis","Tabebuia botelhensis","A.H.Gentry",NA,"Glaziou, A.",NA,"1891","8","11",NA,"Brasil","Rio de Janeiro",NA,"-42.5311012268066","-22.2819004058838",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03586126' target='other'> <mi>dwc_moreinfo</mi></a>","P03586126","P03586126_01","Nova Friburgo",NA,NA,NA,NA,NA,NA,"33190","auto","12964",NA,NA
"7","2017-05-25 14:05:00-03","MO","MOBOT","1044969","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","botelhensis","Handroanthus botelhensis","(A.H. Gentry) S.O. Grose",NA,"Ghillean T. Prance|et al.","Prance 6918","1978","2","1","South America","Brazil","São Paulo","Reserva Carlos Botelho, entre Sao Miguel Arcanjo e Sete Barras.",NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"8","2017-05-25 14:06:00-03","MO","MOBOT","1048468","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","botelhensis","Handroanthus botelhensis","(A.H. Gentry) S.O. Grose",NA,"Auguste F.M. Glaziou","Glaziou 12964pp","1881","8","11","South America","Brazil","Rio de Janeiro","Nova Fribergo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"9","2017-05-25 14:06:00-03","MO","MOBOT","1051632","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","botelhensis","Handroanthus botelhensis","(A.H. Gentry) S.O. Grose",NA,"SUGIYAMA","SUGIYAMA 923","1990","11","27","South America","Brazil","São Paulo","Mpio. de Canaeia. Parque Estadual da Ilha do Cardoso. Restinga do Pereirinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"10","2017-05-25 14:11:00-03","MO","MOBOT","487806","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","botelhensis","Handroanthus botelhensis","(A.H. Gentry) S.O. Grose","Isotype","Alwyn H. Gentry|Dias, A. Cecilio|G.A. Franco","Gentry 58849","1987","9","2","South America","Brazil","São Paulo","Carlos Botelho State Park, ca. 12 km S of Park Headquarters. Edges of open swampy area.","-47","-24.2","760.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87-197","6",NA
