"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","month","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","imagecode","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","typeStatus"
"1","2016-09-29 15:07:00-03","NY","NYBG","617833","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","M. Weigend","H. Luederwaldt","s.n.","1902","South America","Brazil","Santa Catarina","Ibirama","Hammonia","-49.5178","-27.0569","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 15:07:00-03","NY","NYBG","617834","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Loasaceae","Blumenbachia","eichleri","Blumenbachia eichleri","Urb.","M. Weigend","L. B. Smith","10246","1957","South America","Brazil","Santa Catarina","Orleans","Headwalls (aparados de serra), source of Rio do Oratório","-49.2914","-28.3592","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617834","01","17","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:06-03","UFRJ","RFA","8734","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","H. Sleumer","G.G. Hatschbach",NA,"1967",NA,"Brasil","Paraná","Antonina","Cabeceira do Rio Faisqueira","-48.7118988037109","-25.4286003112793",NA,"Volúvel, flor verde, ao longo do caminho","RFA44374","10","20",NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:06-03","UFRJ","RFA","9191","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.","G.G. Hatschbach","G.G. Hatschbach","16334","1967",NA,"Brasil","Paraná","Antonina","Serra Capivari Grande","-48.7118988037109","-25.4286003112793",NA,"Encosta ocidental da serra, ao longo do caminho de acesso ao morro (local ensolarado a beira da mata). Volúvel, flor creme. Urticante","RFA44371","03","14","500","500","38300","auto","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:58:53-03","NBC","NL-BOTANY","L.2449663","PreservedSpecimen","Plantae",NA,"Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.",NA,"Hatschbach GG",NA,NA,"Southern America","Brazil",NA,NA,"Est. Parana. Mun Antonina. Cab. Rio Faisqueira.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2449663 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2449663",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L2449663",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:58:53-03","NBC","NL-BOTANY","L.2449664","PreservedSpecimen","Plantae",NA,"Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.",NA,"Hatschbach GG",NA,NA,"Southern America","Brazil",NA,NA,"Est. Parana. Mun Guaraquecaba Rio do Cedro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2449664 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2449664",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L2449664",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:58:53-03","NBC","NL-BOTANY","L.2449665","PreservedSpecimen","Plantae",NA,"Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.",NA,"Hatschbach GG",NA,"1967","Southern America","Brazil",NA,NA,"Est. Parana. Mun Antonina. Serra Capivari Grande.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2449665 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2449665","03","14",NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L2449665",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:58:53-03","NBC","NL-BOTANY","L.2449666","PreservedSpecimen","Plantae",NA,"Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.",NA,"Hatschbach GG",NA,NA,"Southern America","Brazil",NA,NA,"Est. Parana. Mun Campina Grande do Sul. Jaguatiricia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2449666 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2449666",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","NL-L2449666",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:58:53-03","NBC","NL-BOTANY","WAG.1060203","PreservedSpecimen","Plantae",NA,"Cornales","Loasaceae","Caiophora","eichleri","Caiophora eichleri","(Urb.) Urb.",NA,"Hatschbach GG",NA,"1967","Southern America","Brazil",NA,NA,"Est. Parana. Mun Antonina. Serra Capivari Grande.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1060203 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1060203","03","14",NA,NA,NA,NA,NA,"Magnoliopsidae","NL-WAG1060203",NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:31:25-03","MN","R","208895","PreservedSpecimen","Plantae",NA,NA,"Loasaceae","Caiophora","eichleri","Caiophora eichleri","Urb.","Santos, E.A.A. & Trinta, E.F.","Smith, L.B. 10246; Reitz, R.",NA,"1957",NA,"Brasil","Santa Catarina","Orleôes",NA,NA,NA,NA,NA,NA,"01","17",NA,NA,NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
