"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843304","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","J. Semir","A. F. M. Glaziou","19471","1892","04","06","South America","Brazil","Minas Gerais","Tombador pres du DIamantina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843304","NY01843304_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1144744","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","B. Loeuille","B. Loeuille","93","2007","01","22","South America","Brazil","Minas Gerais","Estrada Diamantina-Conselheiro Mata, km 190.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144744","NY01144744_01","Diamantina","-43.6942","-18.2619","1280","1280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894846","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","G. M. Barroso","B. Maguire","49084","1960","08","07","South America","Brazil","Minas Gerais","Summit of Serra do Cipó, km. 112-128 on road from Hotel Chapeu do Sol.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894846","NY00894846_01",NA,NA,NA,"1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02491362","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.",NA,"V. F. Ferreira","1006","1980","10","04","South America","Brazil","Minas Gerais","Serra do Espinhaço. 10 km NE of Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2717320' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491362","NY02491362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1843320","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","J. Semir","H. S. Irwin","22389","1969","01","21","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 20 km S.W. of Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843320","NY01843320_01",NA,"-43.6836","-18.358","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","894844","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","N. C. Coile","J. G. Stutts","919","1980","10","04","South America","Brazil","Minas Gerais","Serra do Espinhaço. About 10 km NE of Diamantina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894844","NY00894844_01",NA,NA,NA,"1350","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843328","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","J. Semir","B. Maguire","44754","1959","12","22","South America","Brazil","Minas Gerais","49 miles from Diamantina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049978' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843328","NY01843328_01",NA,NA,NA,"1158.2","1158.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843298","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","J. Semir","G. Gardner","4816","1840","08",NA,"South America","Brazil","Minas Gerais","Serro do Frio - Diamond District","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049915' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843298","NY01843298_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1843305","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","J. Semir","A. F. M. Glaziou","19474","1892",NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049924' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843305","NY01843305_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1843327","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","tomentosa","Lychnophora tomentosa","(Mart. ex DC.) Sch.Bip.","J. Semir","G. Gardner","4816","1840","08",NA,"South America","Brazil","Minas Gerais","Serro do Frio - Diamond District","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843327","NY01843327_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
