"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","class","order","year","month","day","locality","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","typeStatus","individualCount","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2021-04-08 17:44:51-03","EAO","IAN","36799","PreservedSpecimen","Plantae","Monocotiledônea","Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","Ule, EHG","4163","Southern America","Brasil","IAN036799","IAN036799_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:12:17-03","NBC","NL-BOTANY","L.1429245","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","Ule EHG",NA,"Southern America","Brazil","NL-L1429245","NL-L1429245","Magnoliopsidae","Poales","1900","03","01","Restinga de Copacabana, Estado de Rio de Janeiro.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1429245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:25:59-03","MN","R","190574","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","Mello Filho, L.E. 3212; Smith, L.B.",NA,NA,"Brasil","R010006755",NA,NA,NA,"1972","02","05","Estrada da Boa Esperança",NA,"Moura, R.","2001","11","08","Rio de Janeiro","Tinguá",NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:59-03","MN","R","193137","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","Mello Filho, L.E. 3211; Smith, L.B.",NA,NA,"Brasil","R010006877",NA,NA,NA,"1972","02","05",NA,NA,"Leme, E.M.C.","1989","02",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:37:51-02","BGBM","B","B 10 0243641","S","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","E. H. G. Ule","4163","Middle and South America","Brazil","B100243641","B100243641",NA,NA,"1897","03",NA,"Estado de Rio de Janeiro; in der Restinga bei Copacabana.","<a href=http://herbarium.bgbm.org/object/B100243641 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
"6","2020-05-30 04:37:00-03","MO","MOBOT","3012497","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Üle","Ernst Üle","Üle 4163","South America","Brazil",NA,NA,NA,NA,"1897",NA,NA,"In dlex Restingor bei Corpaccobona.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2563547","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","E. H. Ule","4163","South America - Neotropics","Brazil",NA,NA,"Monocotyledonae","Bromeliales","1897","3",NA,"Guanabara: In der Restinga de Copacabana.",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,"1",NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2500003","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","-- Ule","4164","South America","Brazil",NA,NA,"Monocotyledonae","Bromeliales",NA,NA,NA,"Copacobana.",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"9","2021-03-05 16:09:36-03","MN","R-TIPOS","46338a","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","Ule, E.H.G.","4163",NA,"Brasil","R000046338a","R000046338a_001",NA,NA,"1897","02",NA,"Horto Botânico",NA,"Smith, L.B.","1964","10","01","Rio de Janeiro","Rio de Janeiro","Isotypus",NA,"-43.2075004577637","-22.9027996063232","57442","auto"
"10","2021-03-05 16:09:36-03","MN","R-TIPOS","46338","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","Ule, E.H.G.","4163",NA,"Brasil","R000046338","R000046338_001",NA,NA,"1897","02",NA,"Horto Botânico",NA,"Smith, L.B.","1964","10","01","Rio de Janeiro","Rio de Janeiro","Isotypus",NA,"-43.2075004577637","-22.9027996063232","57442","auto"
"11","2014-10-09 13:58:14-03","UHH","HBG","514425","S","Plantae",NA,"Bromeliaceae","Nidularium","utriculosum","Nidularium utriculosum","Ule","Ule, E.","4163","South America","Brazil","HBG514425",NA,NA,NA,"1897","03","28","(Rio de Janeiro) in der Restinga de Copacabana","E. Ule: Herbarium Brasiliense (label); Herbarium E. Ule Brasilien (stamp) Herbarium Hamburgense evacuated and inaccessible 1943-1992","Ule, E.",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA
