"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1018083","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(J.R.Grant) Wawra","G. Martinelli","R. C. Forzza","4159","2006","02","10","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Morro da Torre. No perímetro urbano. Encostas do alto do morro.","-42.0175","-21.9675","1004","1004","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248648' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018083","NY01018083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 13:47:00-03","NY","NYBG","400444","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","geniculata","Vriesea geniculata",NA,"E. Pereira","A. P. Duarte","48160","1968","01","26","South America","Brazil","Rio de Janeiro",NA,"Descida da Serra de Muriaé",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400444","NY00400444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:12:34-03","NBC","NL-BOTANY","U.1174608","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Vriesea","geniculata","Vriesea geniculata","(Wawra) Wawra",NA,"Colaris WJJ",NA,"1969","05","03","Southern America","Brazil",NA,NA,"Hab.: Est. Guanabara; Barra de Tijuca, at the coast ca. 10 km W of Rio de Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174608 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174608","NL-U1174608","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:12:34-03","NBC","NL-BOTANY","U.1174609","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Vriesea","geniculata","Vriesea geniculata","(Wawra) Wawra",NA,"Duarte AP",NA,"1968","01","26","Southern America","Brazil",NA,NA,"Rio de Janeiro, descida da Serra de Muriaé escapo avermelhado, brácteus primárias avermelhadas na base.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174609 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174609","NL-U1174609","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:25:33-03","MN","R","46307","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(Wawra) J.R. Grant","Costa, A.","Ule, E.H.G.",NA,"1897","10",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010004421","R010004421",NA,"1997","07","15","57442","auto",NA,NA,NA,NA,NA
"6","2021-01-14 15:25:33-03","MN","R","173703","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(Wawra) J.R. Grant","Versieux, L.","Vidal, J.",NA,"1952","08",NA,NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"R010004420","R010004420 R010004420_1",NA,"2006","09","15","38539","auto",NA,NA,NA,NA,NA
"7","2015-09-03 21:49:51-03","MNHN","RECOLNAT_MNHN_P","P01764052","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(Wawra) J.R.Grant",NA,"Glaziou, A.",NA,"1883","1","1",NA,"Brasil",NA,NA,"Brésil, Plantes des environs de Rio-de-Janeiro et d´Ouro-Preto. Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Reçu le 6 aout 1885 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764052' target='other'> <mi>dwc_moreinfo</mi></a>","P01764052","P01764052_01",NA,NA,NA,NA,NA,NA,"15470",NA,NA,NA,NA
"8","2015-09-03 21:49:51-03","MNHN","RECOLNAT_MNHN_P","P01764053","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(Wawra) J.R.Grant",NA,"Glaziou, A.",NA,"1884","3","5",NA,"Brasil","Rio de Janeiro",NA,"Brésil, Rio. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764053' target='other'> <mi>dwc_moreinfo</mi></a>","P01764053","P01764053_01",NA,NA,NA,NA,NA,NA,"15470",NA,NA,NA,NA
"9","2015-09-03 21:49:51-03","MNHN","RECOLNAT_MNHN_P","P01764054","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(Wawra) J.R.Grant",NA,"Glaziou",NA,"1883","1","1",NA,"Brasil","Rio de Janeiro",NA,"Brésil. Rio-Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb","Plantes des environs de Rio-de-Janeiro et d'Ouro-Preto - Brésil, recueillies en 1883 et 1884. . Reçu le 6 Août 1885. Specimen in monographia Bromeliacearum citatum. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764054' target='other'> <mi>dwc_moreinfo</mi></a>","P01764054","P01764054_01",NA,NA,NA,NA,NA,NA,"15470",NA,NA,NA,NA
"10","2015-09-03 21:49:51-03","MNHN","RECOLNAT_MNHN_P","P01764056","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(Wawra) J.R.Grant",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Brésil, Province de Rio de Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Reçu le 4 octobre 1876 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764056' target='other'> <mi>dwc_moreinfo</mi></a>","P01764056","P01764056_01",NA,NA,NA,NA,NA,NA,"8016",NA,NA,NA,NA
"11","2015-09-03 21:49:51-03","MNHN","RECOLNAT_MNHN_P","P01764055","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(Wawra) J.R.Grant",NA,"Glaziou, A.",NA,"1878","4","3",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Pico da Tijuca. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232",NA,NA,"hb",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764055' target='other'> <mi>dwc_moreinfo</mi></a>","P01764055","P01764055_01",NA,NA,NA,NA,"57442","auto","8016",NA,NA,NA,NA
"12","2015-09-03 21:49:51-03","MNHN","RECOLNAT_MNHN_P","P01764057","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","(Wawra) J.R.Grant",NA,"Nascimento",NA,"1879","1","8",NA,"Brasil","Rio de Janeiro","Teresópolis",". Teresópolis, Rio de Janeiro, Sudeste, Brasil, América do Sul","-42.9655990600586","-22.4122009277344",NA,NA,"hb",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764057' target='other'> <mi>dwc_moreinfo</mi></a>","P01764057","P01764057_01",NA,NA,NA,NA,"38539","auto","11685",NA,NA,NA,NA
"13","2021-01-04 11:29:35-03","UEMA","SLUI","829","PreservedSpecimen","Plantae","Angiospermae",NA,"Bromeliaceae","Alcantarea","geniculata","Alcantarea geniculata","Linden",NA,"A. Costa","13","1991",NA,NA,NA,"Brasil","Maranhão","São Luís","Ipem - São Cristóvão","-44.213836","-2.575183",NA,NA,NA,NA,"SLUI000829",NA,NA,NA,NA,NA,NA,NA,NA,"44°12'49.81W","2°34'30.66S",NA,NA
