"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","fieldNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","521615","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","A. F. M. Glaziou","16943","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521615","NY00521615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00925403","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","pulchra","Miconia pulchra","Cogn.","A. P. Duarte","2670","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925403","NY00925403_01","R. Goldenberg","1950","04","26","Serra do Cipó, K. 132.","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:44:33-03","EAO","IAN","93663","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, AFM","13850","Southern America","Brasil",NA,NA,NA,"IAN093663",NA,NA,NA,NA,NA,NA,NA,NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:03:48-03","NBC","NL-BOTANY","L.2550301","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou AFM",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2550301 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2550301","NL-L2550301",NA,"1888","01","01","Prov. Rio de Janeiro.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:03:48-03","NBC","NL-BOTANY","L.3921152","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Pedersen TM",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3921152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3921152","NL-L3921152",NA,"1979","12","12","Paraná, mun. Antonina: Sapetanduva.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2015-11-06 17:22:46-02","MNHN","RECOLNAT_MNHN_P","P00723793","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.",NA,NA,"Brésil",NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723793' target='other'> <mi>dwc_moreinfo</mi></a>","P00723793","P00723793_01",NA,"1882","4","12","Rio de Janeiro : Nova Friburgo",NA,NA,"isotype",NA,"13850",NA,NA,NA,NA,NA,NA
"7","2015-11-06 17:22:47-02","MNHN","RECOLNAT_MNHN_P","P00723794","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.",NA,NA,"Brésil",NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723794' target='other'> <mi>dwc_moreinfo</mi></a>","P00723794","P00723794_01",NA,"1882","4","12","Rio de Janeiro : Nova Friburgo",NA,NA,"isotype",NA,"13850",NA,NA,NA,NA,NA,NA
"8","2015-11-06 17:22:48-02","MNHN","RECOLNAT_MNHN_P","P00723795","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.",NA,NA,"Brésil",NA,"hb","Reçu le 6 octobre 1882 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723795' target='other'> <mi>dwc_moreinfo</mi></a>","P00723795","P00723795_01",NA,"1882","4","12","Rio de Janeiro : Nova Friburgo",NA,NA,"isotype",NA,"13850",NA,NA,NA,NA,NA,NA
"9","2015-09-04 20:57:45-03","MNHN","RECOLNAT_MNHN_P","P05314755","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05314755' target='other'> <mi>dwc_moreinfo</mi></a>","P05314755","P05314755_01",NA,"1892","6","6","Alto Macahé.",NA,NA,NA,NA,"19328",NA,NA,NA,NA,NA,NA
"10","2015-09-04 20:57:44-03","MNHN","RECOLNAT_MNHN_P","P05314751","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Miconia","glazioviana","Miconia glazioviana","Cogn.","Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05314751' target='other'> <mi>dwc_moreinfo</mi></a>","P05314751","P05314751_01",NA,"1888","4","21","Alto Macahé.",NA,NA,NA,NA,"16943","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA
