"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","fieldNumber","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","recordNumber","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","phylum","class","year"
"1","2015-09-27 14:19:10-03","MNHN","RECOLNAT_MNHN_P","P00721123","PreservedSpecimen","Lamiaceae","Hyptis","lobata","Hyptis lobata","A.St.-Hil. ex Benth.","Bentham","isotype","Saint-Hilaire, A. de","D 664","Brésil","Province de Saint-Paul : pâturages près St. José","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00721123' target='other'> <mi>dwc_moreinfo</mi></a>","P00721123","P00721123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-27 10:54:19-03","MNHN","RECOLNAT_MNHN_P","P00721122","PreservedSpecimen","Lamiaceae","Hyptis","lobata","Hyptis lobata","A.St.-Hil. ex Benth.","Saint-Hilaire","holotype","Saint-Hilaire, A. de","D 664","Brésil","Province de Saint-Paul : pâturages près St. José","hb","Hyptis n. sp. lobata A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00721122' target='other'> <mi>dwc_moreinfo</mi></a>","P00721122","P00721122_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-27 10:44:52-03","MNHN","RECOLNAT_MNHN_P","P00721124","PreservedSpecimen","Lamiaceae","Hyptis","lobata","Hyptis lobata","A.St.-Hil. ex Benth.","Bentham","isotype","Saint-Hilaire, A. de","D 664","Brésil","Province de Saint-Paul : pâturages près St. José","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00721124' target='other'> <mi>dwc_moreinfo</mi></a>","P00721124","P00721124_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2012-08-17 09:41:00-03","MO","MOBOT","100510019","PreservedSpecimen","Lamiaceae","Hyptis","lobata","Hyptis lobata","A. St.-Hil. ex Benth.",NA,"Holotype","A. Saint-Hilaire",NA,"Brazil","[São Jozé]",NA,NA,NA,NA,"Plantae","Saint-Hilaire 664","South America","São Paulo","São José dos Campos","-45.8800010681152","-23.1700000762939","39297","1","auto",NA,NA,NA
"5","2019-09-04 19:07:15-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Lamiaceae","Hyptis","lobata","Hyptis lobata",NA,NA,"Type [status unknown]","A. Saint-Hilaire",NA,"Brazil",NA,NA,NA,NA,NA,"Plantae",NA,"South America",NA,NA,"-52.8731","-10.8339",NA,NA,NA,"Spermatophyta","Dicotyledoneae",NA
"6","2019-09-05 17:48:10-03","F","FMNH-SEEDPLANTS","V0061012F","PreservedSpecimen","Lamiaceae","Hyptis","lobata","Hyptis lobata",NA,NA,"Isotype","A. Saint-Hilaire",NA,"Brazil",NA,NA,NA,"V0061012F","V0061012F_01","Plantae","D, 664","South America","São Paulo",NA,"-49","-22",NA,NA,NA,"Spermatophyta","Dicotyledoneae","1816"
"7","2017-09-11 17:10:14-03","UnB","HBVIRTFLBRAS",NA,"O","Lamiaceae","Hyptis","lobata","Hyptis lobata","A.St.-Hil. ex Benth.",NA,NA,"St.-Hil, A",NA,"Brazil","Habitat in pascuis prope S. Joze prov. S. Pauli",NA,"teste Benth",NA,NA,"Plantae","s.n.","Southern America","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA
