"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","county","scientificNameAuthorship","imagecode","class","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:38:15-03","E","E","322885","PreservedSpecimen","Plantae","Compositae","Trixis","pallida","Trixis pallida","Pedersen, Troels Myndel","7512","1965","11","30","Temperate South America","AR","Provincia de Corrientes","Dep. General Paz; Cerrito","herbarium specimen of unspecif","BGBASE:338654","<a href=http://data.rbge.org.uk/herb/E00322885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:15-03","E","E","322884","PreservedSpecimen","Plantae","Compositae","Trixis","pallida","Trixis pallida","Tweedie, John",NA,NA,NA,NA,"Temperate South America","AR","Provincia de Buenos Aires","Entre Ríos near buenos Ayres","herbarium specimen of unspecif","BGBASE:338653","<a href=http://data.rbge.org.uk/herb/E00322884 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 19:22:00-03","NY","NYBG","02349794","PreservedSpecimen","Plantae","Asteraceae","Trixis","pallida","Trixis pallida","T. S. Ibarrola","2078","1945","01","12","South America","Argentina","Corrientes","Pueblo Paso de los Libres (al Sur)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2539796' target='other'> <mi>dwc_moreinfo</mi></a>","NY02349794","Magnoliophyta","Asterales","M. Monge Egea","Paso de los Libres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","801367","PreservedSpecimen","Plantae","Asteraceae","Trixis","pallida","Trixis pallida","L. Riedel","703","1826","11",NA,"South America","Brazil",NA,"Pr. Camapuan","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801367","Magnoliophyta","Asterales","I. M. Krascheninnikov",NA,"Less.","NY00801367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 00:56:00-03","NY","NYBG","801368","PreservedSpecimen","Plantae","Asteraceae","Trixis","pallida","Trixis pallida","S. A. Renvoize","3673","1978","11","30","South America","Argentina","Corrientes","Santa Rosa, Estancia Millán","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801368","Magnoliophyta","Asterales",NA,"Concepción",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:35:11-03","EAO","IAN","76235","PreservedSpecimen","Plantae","Asteraceae","Trixis","pallida","Trixis pallida","Sellow, F","3266",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN076235","Dicotiledônea",NA,NA,NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:51:55-03","NBC","NL-BOTANY","L.1595031","PreservedSpecimen","Plantae","Compositae","Trixis","pallida","Trixis pallida","Pedersen TM",NA,"1965","11","30","Southern America","Argentina",NA,"Cerrito. Dep. General Paz. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1595031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1595031",NA,"Asterales",NA,NA,"Less.","NL-L1595031","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:51:55-03","NBC","NL-BOTANY","U.1147565","PreservedSpecimen","Plantae","Compositae","Trixis","pallida","Trixis pallida","Pedersen TM",NA,"1951","12","11","Southern America","Argentina",NA,"Estancia Santa Teresam dep. Mburucuya, prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1147565 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1147565",NA,"Asterales",NA,NA,"Less.","NL-U1147565","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:51:55-03","NBC","NL-BOTANY","U.1147566","PreservedSpecimen","Plantae","Compositae","Trixis","pallida","Trixis pallida","Renvoize SA",NA,NA,NA,NA,"Southern America","Argentina",NA,"Santa Rosa, Estancia Millan.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1147566 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1147566",NA,"Asterales",NA,NA,"Less.","NL-U1147566","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:51:55-03","NBC","NL-BOTANY","U.1147571","PreservedSpecimen","Plantae","Compositae","Trixis","pallida","Trixis pallida","Morel I",NA,"1945","12","12","Southern America","Argentina",NA,"Gob. Formosa, dep. Pirane, Al Oeste a 7K de Pirane.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1147571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1147571",NA,"Asterales",NA,NA,"Less.","NL-U1147571","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
