"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","580057","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","mosenii","Eugenia mosenii","(Kausel) Sobral","M. Sobral","A. C. Cervi","3088","1990","04","26","South America","Brazil","Paraná","Quatro Barras","Serra da Graciosa. Beira da estrada.","-49.07","-25.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580057","NY00580057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1921346","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","mosenii","Eugenia mosenii","(Kausel) Sobral","M. Sobral","G. G. Hatschbach","13060","1965","10","29","South America","Brazil","Paraná","Campina Grande do Sul","Rio Pardinho","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921346","NY01921346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","557852","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","mosenii","Eugenia mosenii","(Kausel) Sobral","M. Sobral","G. G. Hatschbach","14477","1966","05","26","South America","Brazil","Paraná","Morretes","Rio Ipiranga","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557852","NY00557852_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","558048","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","mosenii","Eugenia mosenii","(Kausel) Sobral","F. F. Mazine","P. K. H. Dusén","7481","1909","01","04","South America","Brazil","Paraná",NA,"Ypiranga",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558048","NY00558048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1551121","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","mosenii","Eugenia mosenii","(Kausel) Sobral","M. Sobral","J. M. A. Braga","1566","1994","11","21","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Maromba, trilha para a chachoeira Véu da Noíva.","-44.65833","-22.35833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911852' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551121","NY01551121_01","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:23-03","UFRJ","RFA","8246","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","mosenii","Eugenia mosenii","(Kausel) Sobral","M. Sobral","G.G. Hatschbach","9571","1962","12","11",NA,"Brasil","Paraná","Guaratuba","Localidade de Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,"Arvoreta 5 m, flor alva Habitat: Mata pluvial","RFA27446",NA,NA,"2001","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-20 14:40:43-03","UPM","MACK","1338","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","mosenii","Eugenia mosenii","(Kasusel) Sobral","M. Sobral","T. J. Cadorin; et al.","927","2009","12","10",NA,"Brasil","SC","Joinville","Serra Dona Francisca, floresta ombrófila densa, interior do fragmento","-48.8456001281738","-26.3043994903564",NA,NA,NA,NA,NA,"2010","37150","auto","01","25","S","W",NA,NA,NA,NA
"8","2020-11-04 11:14:28-03","ESALQ","ESA","105485","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","cf. mosenii","Eugenia cf. mosenii","(Kausel) Sobral","Costa, R.F.","Aguiar, O.T.",NA,"2002","03","13",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA105485",NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:28-03","ESALQ","ESA","123806","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","cf. mosenii","Eugenia cf. mosenii","(Kausel) Sobral","Mazine, F.F.","Souza, V.C. ; Flores, T.B.","34907.0","2013","04","30",NA,"Brasil","São Paulo","Tapiraí","Área da Cia. Votorantim. Estrada entre o alojamento da Barra e a portaria para Tapiraí.","-47.5","-23.9599990844727",NA,"Árvore, ca. 5 m alt. Vegetativo","ESA123806",NA,NA,"2018","41034","auto","06","06",NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:34-03","ESALQ","ESA","20555","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","mosenii","Eugenia mosenii",NA,"Moraes, P.L.R.","Moraes, P.L.R.","1193.0","1995","03","02",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA020555","ESA020555",NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
