"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:41:40-03","E","E","68841","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","Lewis, Marko","37527","1990","09","08","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:76526","<a href=http://data.rbge.org.uk/herb/E00068841 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00068841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:40-03","E","E","135485","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","De Santos, R.R., Andrelinho, & Ratter, J.A.",NA,"1968","05","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143454","<a href=http://data.rbge.org.uk/herb/E00135485 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00135485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:40-03","E","E","85365","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","Bridgewater, S., Pennington, R.T. & Daza, A.",NA,"1998","03","11","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:94729","<a href=http://data.rbge.org.uk/herb/E00085365 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:40-03","E","E","68854","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","Lewis, Marko","37655","1990","09","14","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:76525","<a href=http://data.rbge.org.uk/herb/E00068854 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00068854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","25334","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","B. A. Krukoff","5488","1933","08","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00025334","Magnoliophyta","Rosales","L.f.","C. C. Berg","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY00025334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","472413","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","D. C. Daly","9347","1997","03","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472413","Magnoliophyta","Rosales","L.f.","C. C. Berg","Acre","Basin of Rio Purus, Rio Antimari, Floresta Estadual do Antimari, left bank, inland from river.","-68.1239","-9.4111","NY00472413_01","Bujari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2172621","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","G. T. Prance","14573","1971","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326618' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172621","Magnoliophyta","Rosales","L.f.",NA,"Amazonas","Rio Curuquetê, Cachoeira Republica.","-65.7102156","-8.8972404","NY02172621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2172636","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","N. T. da Silva","1252","1968","10","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326640' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172636","Magnoliophyta","Rosales","L.f.",NA,"Pará","Rio Jarí, Monte Dourado, Planalto B.","-52.6008224","-0.8809315","NY02172636_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2172623","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","R. de S. Secco","390","1982","05","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326620' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172623","Magnoliophyta","Rosales","L.f.",NA,"Pará","Marabá, clareira á direita da estrada para o acampamento azul","-50.256163","-6.077093","NY02172623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","869487","PreservedSpecimen","Plantae","Moraceae","Ficus","trigona","Ficus trigona","G. T. Prance","59114","1964","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869487","Magnoliophyta","Rosales","L.f.","C. C. Berg","Mato Grosso","Serra do Roncador. Vicinity of Chavantina. Margin of Rio Mortes","-52.3531","-14.6733","NY00869487_01","Nova Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
