"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:25:04-03","UNESC","CRI","5245","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","W.T. Aiton","Candida M. Savaris Frello.","C. M. S. Frello","1996","10","20","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112","CRI001779","CRI001779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","14721","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","W.T. Aiton","Daniela Marcelino & Karin Denise Margarida","Daniela Marcelino; Karin Denise Margarida","2000","10","28","Brasil","Santa Catarina","Criciúma","-49.367222","-28.68","49º22'2''W","28º40'48''S",NA,NA,"CRI014031","CRI014031","2000","10","28","Bairro Naspolini","Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:04-03","UNESC","CRI","6919","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","W.T. Aiton","Renata Texeira","Renata Texeira","1999","10","10","Brasil","Rio Grande do Sul","Torres","-49.727222","-29.335833","49º43'38''W","29º20'9''S","5","5","CRI001777","CRI001777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:24-03","E","E","96171","PreservedSpecimen","Plantae","Cruciferae","Nasturtium","officinale","Nasturtium officinale",NA,NA,"Gardner, Martin F. & Knees, Sabina G.","1999","12","12","CL","Región I [Tarapacá]","Prov. de Arica","-69.836667","-18.5925","-69.836667","-18.592500","1100","1100","E00096171",NA,NA,NA,NA,"Head of valley at Ausipar (Kilometre 58)","<a href=http://data.rbge.org.uk/herb/E00096171 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","6224","Temperate South America","herbarium specimen of unspecif","BGBASE:107877",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 13:19:00-03","NY","NYBG","01347286","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale",NA,"J. D. Boeke","J. D. Boeke","1976","10","26","Colombia","Antioquia",NA,NA,NA,NA,NA,"3450",NA,"NY01347286","NY01347286_01",NA,NA,NA,"Páramo Frontino. Near Llano Grande. Espeletia Páramo.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568495' target='other'> <mi>dwc_moreinfo</mi></a>","260","South America","sheet",NA,"Magnoliophyta","Brassicales",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","885081","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","R.Br.","L. B. Smith","L. B. Smith","1964","10","24","Brazil","Santa Catarina","Ipumerim","-52.18","-26.97",NA,NA,"600","600","NY00885081","NY00885081_01",NA,NA,NA,"Linha Bonita.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971626' target='other'> <mi>dwc_moreinfo</mi></a>","12912","South America","sheet",NA,"Magnoliophyta","Brassicales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","822886","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","R.Br.",NA,"J. C. Lindeman","1966","10","12","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"900","900","NY00822886","NY00822886_01",NA,NA,NA,"Curitiba, ruderal hill at Avenida Paraná","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929302' target='other'> <mi>dwc_moreinfo</mi></a>","2662","South America","sheet",NA,"Magnoliophyta","Brassicales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02450294","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","R.Br.",NA,"S. Tsugaru","1987","09","27","Brazil","Minas Gerais","Uberlândia","-48.2769","-18.9186",NA,NA,"840","840","NY02450294","NY02450294_01",NA,NA,NA,"Babilônia, Uberlândia.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2637534' target='other'> <mi>dwc_moreinfo</mi></a>","B-1595","South America","sheet",NA,"Magnoliophyta","Brassicales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","885083","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","R.Br.",NA,"P. K. H. Dusén","1909","08",NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"NY00885083","NY00885083_01",NA,NA,NA,"Roca Nova.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971629' target='other'> <mi>dwc_moreinfo</mi></a>","8443","South America","sheet",NA,"Magnoliophyta","Brassicales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02450295","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","R.Br.",NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY02450295","NY02450295_01",NA,NA,NA,"Montenegro, S. Salvador","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2637538' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Brassicales",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","885082","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","R.Br.","R. C. Rollins","J. E. Leite","1940","10",NA,"Brazil","Rio Grande do Sul",NA,"-51.143791","-29.75136",NA,NA,NA,NA,"NY00885082","NY00885082_01",NA,NA,NA,"Vicinity of Sao Leopoldo.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971628' target='other'> <mi>dwc_moreinfo</mi></a>","164","South America","sheet",NA,"Magnoliophyta","Brassicales",NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","1056","PreservedSpecimen","Plantae","Brassicaceae","Nasturtium","officinale","Nasturtium officinale","W.T. Aiton Hort. Kew.","Petrechen, E.H.","Petrechen, E.H.","1971","10","06","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU001056",NA,"1971","10",NA,NA,"Fruto semelhante a um legume, planta comestível","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
