"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2020-09-23 10:40:41-03","E","E","148125","PreservedSpecimen","Plantae","Leguminosae","Leucochloron","incuriale","Leucochloron incuriale","Durigan, Giselda","950","1999","10","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:156034","<a href=http://data.rbge.org.uk/herb/E00148125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00148125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:41-03","E","E","148126","PreservedSpecimen","Plantae","Leguminosae","Leucochloron","incuriale","Leucochloron incuriale","Durigan, Giselda","950","1999","10","12","E. Tropical South America","BR","photograph of unspecified type","BGBASE:156035","<a href=http://data.rbge.org.uk/herb/E00148126 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00148126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00459683","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","W. Hoehne",NA,"1944","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=389139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459683","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","J. A. Kallunki","São Paulo","Sao Paulo","Parque do Estado de Sao Paulo","-46.621883","-23.654505","NY00459683_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777591","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","H. de F. Leitão Filho","1515","1975","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777591","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","São Paulo","Valinhos",NA,"-46.99","-22.97","NY00777591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","777592","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","W. Hoehne","s.n.","1944","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777592","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","São Paulo","Sao Paulo","Sao Paulo: Parque do Estado de Sao Paulo","-46.621883","-23.654505","NY00777592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00932744","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","J. R. Stehmann","I060","1987","09",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932744","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes",NA,"Minas Gerais","Nova Lima","Nova Lima","-43.8467","-19.9858","NY00932744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00932745","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","J. A. Oliveira","740","1978","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932745","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes",NA,"Minas Gerais",NA,"Campus- Veterinária",NA,NA,"NY00932745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","777380","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","S. M. de Campos","240","1960","08","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777380","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","São Paulo","Tatuí","Estrada Tatuí-Araçoiaba da Serra","-47.8497","-23.3503","NY00777380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00932718","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","A. F. Regnell","II:96",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932718","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236","NY00932718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","777586","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","M. Goes","87-A","1977","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777586","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby","São Paulo","Sao Paulo","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botâncio. Area 9","-46.618358","-23.646109","NY00777586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","777587","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","W. Hoehne","s.n.","1949","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777587","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","São Paulo","Sao Paulo","Sao Paulo: Via Anhanguera Km. 30","-46.63","-23.5403","NY00777587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","777581","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","J. B. E. Pohl","201",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777581","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes",NA,NA,"Ad Barbacena",NA,NA,"NY00777581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","777590","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","H. C. de Lima","2018","1983","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777590","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Rio de Janeiro","Petrópolis","Vale das Videiras Morro do Cuca","-43.1783","-22.505","NY00777590_01","1000","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","777582","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","A. P. Duarte","3016","1950","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777582","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","Minas Gerais",NA,"Fazenda da Prata, Colônia de Patos",NA,NA,"NY00777582_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","777575","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","M. R. C. Paiva","s.n.","1998","07","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777575","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","M. C. Dias","Paraná","Curiúva","Curiúva, Patrimônio Alecrim","-50.4581","-24.0325","NY00777575_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","777589","PreservedSpecimen","Plantae","Fabaceae","Leucochloron","incuriale","Leucochloron incuriale","F. C. Hoehne","30998","1933","08","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777589","Magnoliophyta","Fabales","(Vell.) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","São Paulo",NA,"Pirapora; Da Serra do Japi",NA,NA,"NY00777589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
