"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","decimalLongitude","decimalLatitude","identifiedBy","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","infraspecificEpithet","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","3985485","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana","(Desv.) A.R.Sm. & R.C.Moran","H. H. Rusby","372","1885","South America","Bolivia","La Paz","Yungas","1829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283868' target='other'> <mi>dwc_moreinfo</mi></a>","NY03985485","NY03985485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3985504","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana","(Desv.) A.R.Sm. & R.C.Moran","I. G. Vargas Caballero","3053","1993","South America","Bolivia","Santa Cruz","Comunidad El Palmar y las cumbres de Lampazar; 10 km al E de la ciudad de Vallegrande, siguiendo el camino Vallegrande - Tierras Nuevas.","2600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283888' target='other'> <mi>dwc_moreinfo</mi></a>","NY03985504",NA,"11","05","Vallegrande","-63.92","-18.5417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 10:12:00-03","NY","NYBG","1801262","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana",NA,"F. B. Matos","2027","2012","South America","Brazil","Santa Catarina","Serra do Corvo Branco, na rodovia que liga Urubici a Grão-Pará (SC 370, antiga 439).","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017831' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801262","NY01801262_01","01","20","Grão Pará","-49.35","-28.05","A. R. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1017019","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana","(Desv.) A.R.Sm. & R.C.Moran","D. M. Vital","11763","1984","South America","Brazil","Espírito Santo","Parque Nacional do Caparão, along trail from Terreirão to the summit of Pico da Bandeira.","2350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017019","NY01017019_01","09","16","Iúna","-41.72","-20.42","M. Lehnert","2890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","806872","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana","(Desv.) A.R.Sm. & R.C.Moran","G. W. Prescott","987","1953","South America","Ecuador",NA,"Napo/Pastaza border. Rocky slopes near paramo of Vol. Antisana.","3200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806872","NY00806872_01","03","16",NA,NA,NA,"P. H. Labiak E.","3353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","806873","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana","(Desv.) A.R.Sm. & R.C.Moran","H. H. Rusby","372","1885","South America","Bolivia",NA,"Yungas.","1829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806873","NY00806873_01",NA,NA,NA,NA,NA,"P. H. Labiak E.","1829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","806870","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana","(Desv.) A.R.Sm. & R.C.Moran","H. Luederwaldt","24181","1906","South America","Brazil","Rio de Janeiro","Campo do Itatiaya, R.Janeiro.",NA,"sheet","Ex.Herv.do Museu Paulista s/no. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806870","NY00806870_01","06",NA,NA,NA,NA,"P. H. Labiak E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3985493","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana","(Desv.) A.R.Sm. & R.C.Moran","W. M. A. Brooke","5316","1949","South America","Bolivia","La Paz","Viloco.","4511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283877' target='other'> <mi>dwc_moreinfo</mi></a>","NY03985493","NY03985493_01","03","03","Loayza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 10:12:00-03","NY","NYBG","1801263","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana",NA,"F. B. Matos","2028","2012","South America","Brazil","Santa Catarina","Serra do Corvo Branco, na rodovia que liga Urubici a Grão-Pará (SC 370, antiga 439).","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017835' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801263","NY01801263_01","01","20","Grão Pará","-49.35","-28.05","F. B. Matos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3985497","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Melpomene","peruviana","Melpomene peruviana","(Desv.) A.R.Sm. & R.C.Moran","J. Steinbach","8256","1928","South America","Bolivia","Santa Cruz","El Fuerte. Samaipata Prov.","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4283881' target='other'> <mi>dwc_moreinfo</mi></a>","NY03985497",NA,"10","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
