"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:36-03","UNESC","CRI","3180","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valmir Machado","1773","1993","08","25","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004759","CRI004759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:36-03","UNESC","CRI","3190","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","Vanilde Citadini- Zanette","Robson dos Santos; Aurélio José de Aguiar","1630","1993","07","21","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004758","CRI004758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:36-03","UNESC","CRI","3185","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1833","1993","07","21","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004757","CRI004757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:36-03","UNESC","CRI","3226","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdecir","1798","1993","08","25","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004760","CRI004760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:40-03","E","E","296107","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens",NA,NA,"Moore, Spencer Le Marchant","677","1905","03","05","BR","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,"E00296107",NA,"isolectotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:308693","Presented 1894<a href=http://data.rbge.org.uk/herb/E00296107 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:40-03","E","E","274289","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens",NA,NA,"Pott, Arnildo","5137","1989","10","08","BR",NA,NA,"Retiro Sao Francisco; Faz. Porto Jofre; Sub-regiao de Pocone - Pantanal. Lat: 1846S, Lon: 5650W",NA,NA,NA,NA,"90","90","E00274289",NA,"isolectotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:284947","Corixo: curso fluvial estacional.<a href=http://data.rbge.org.uk/herb/E00274289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","25210","PreservedSpecimen","Plantae","Moraceae","Brosimopsis","lactescens","Brosimopsis lactescens","S.Moore",NA,"S. L. M. Moore","677","1891",NA,NA,"Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,"NY00025210","NY00025210_01","type","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648109' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02171942","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg",NA,"G. T. Prance","25153","1977","10","10","Brazil","Pará",NA,"BR-163, km 880, Cuiabá-Santarém Highway.","-54.9691594","-8.7640623",NA,NA,"300","300","NY02171942","NY02171942_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317256' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565868","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","R. Reitz","8293","1959","01","25","Brazil","Santa Catarina","Rio do Sul","Serra do Matador, Rio do Sul","-49.6431","-27.2144",NA,NA,"550","550","NY00565868","NY00565868_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491322' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","565866","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","R. Reitz","2077","1954","09","23","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081",NA,NA,"50","50","NY00565866","NY00565866_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491320' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2171936","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg",NA,"J. A. Ratter","R.6336","1988","02","20","Brazil","Roraima","Alto Alegre","Igarapé Grande.","-61.35","3.3",NA,NA,NA,NA,"NY02171936","NY02171936_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317197' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","869124","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","M. G. da Silva","M. G. da Silva","4862","1979","06","10","Brazil","Mato Grosso",NA,"Km-330 da Rod. BR-174; margem da fazenda da Vale do Tucanã.",NA,NA,NA,NA,NA,NA,"NY00869124","NY00869124_01 NY00869124_02",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029843' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00869132","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","J. M. Pires","16648","1978","08","22","Brazil","Mato Grosso",NA,"Sararé, RADAMBRASIL; folha SD 21-VC, ponto 28.","-58.92","-13.83",NA,NA,NA,NA,"NY00869132","NY00869132_01 NY00869132_02",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029865' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2171920","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg",NA,"B. Maguire","56619","1963","09","12","Brazil","Rondônia",NA,"Bananeiras, along Madeira-Mamore Railway.","-65.3503624","-10.6557605",NA,NA,NA,NA,"NY02171920","NY02171920_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317155' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","869128","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","R. de Lemos Fróes","11965","1940","09",NA,"Brazil","Maranhão","Monção","Basin of Rio Pindaré.","-45.2508","-3.4919",NA,NA,NA,NA,"NY00869128","NY00869128_01 NY00869128_02",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029856' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","865284","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","K. A. Kainer","35","1989","09","11","Brazil","Acre","Xapuri","Ser. Cachoeira, Col. Retiro, Sucam 34C1.","-68.5044","-10.6517",NA,NA,NA,NA,"NY00865284","NY00865284_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937710' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2171923","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg",NA,"B. A. Krukoff","6133","1934","09","14","Brazil","Amazonas","Humaitá","Basin of Rio Madeira; near Tres Casas.","-62.6839542","-6.9876421",NA,NA,NA,NA,"NY02171923","NY02171923_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2317158' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","565867","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","R. M. Klein","1528","1955","08","12","Brazil","Santa Catarina","Itajaí","Morro da Ressacada, Itajaí","-48.6617","-26.9081",NA,NA,"150","150","NY00565867","NY00565867_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491319' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","869113","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg",NA,"M. G. da Silva","3292","1977","07","07","Brazil","Mato Grosso",NA,"Rio Juruena, estrada para Aripuanã, km 10.","-58.3062619","-9.8596213",NA,NA,NA,NA,"NY00869113","NY00869113_01 NY00869113_02",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029807' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1413879","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","H. Medeiros","434","2010","04","11","Brazil","Acre","Porto Acre","Reserva Florestal Humaíta, estrada AC 40, Km 27.","-67.67083","-9.751",NA,NA,"152","152","NY01413879","NY01413879_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412421' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","869114","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","G. T. Prance","59265","1964","10","03","Brazil","Mato Grosso","Canarana","Banks of Rio Sete Septembro, 3 km from Garapu. Serra do Roncador","-52.2681","-13.5522",NA,NA,NA,NA,"NY00869114","NY00869114_01 NY00869114_02",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029811' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","448861","PreservedSpecimen","Plantae","Moraceae","Brosimum","lactescens","Brosimum lactescens","(S.Moore) C.C.Berg","C. C. Berg","M. Silveira","1157","1995","11","25","Brazil","Acre","Tarauacá","Bacia do Alto Juruá, Rio Tarauacá, margem esquerda. Reserva Indígena Praia do Carapana, colocaçao Morada Nova.","-71.1992","-8.3453",NA,NA,NA,NA,"NY00448861","NY00448861_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491317' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
