"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","infraspecificEpithet","continentOcean","preparationType","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","relatedCatalogItem","sex"
"1","2021-04-05 14:33:47-03","UNESC","CRI","14647","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","Marcelo R. Pasetto","2008","07","28","Marcelo R. Pasetto","2008","07","28","Brasil","Santa Catarina","Maracajá","-49.454444","-28.848056","49º27'16''W","28º50'53''S","Habito: Arbóreo","CRI013955","CRI013955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","394","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","L. R. M. Bapstista",NA,NA,NA,"Vanilde Citadini-Zanette; F. M. Bastos, Marcos Sobral e Vanilde Citadini-Zanette","1987","12","21","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,"CRI005008","CRI005008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","9056","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","A. L. de Gasper","2012","02","02","A. Korte","2012","01","26","Brasil","Santa Catarina","Taió","-50.105278","-27.053611","50º6'19''W","27º3'13''S","Floresta Ombrófila Densa Habitat: mata ciliar Habito: arvoreta","CRI005141","CRI005141","7109","Passo Manso.","379","379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:47-03","UNESC","CRI","8919","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","M. Verdi","2010","04","24","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","2010","04","12","Brasil","Santa Catarina","São Bonifácio","-48.960833","-28.080556","48º57'39''W","28º4'50''S","Habitat: Floresta Ombrófila Densa Habito: arbusto","CRI005140","CRI005140","4404","Rio Sete.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","11755","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.",NA,NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,"CRI005143","CRI005143",NA,NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","904","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette; F. M. Bastos","1987","12","21","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI005255","CRI005255","795",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","14471","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","Korte, A","2010","12","07","Korte, A.; Rigon-Junior, M.J.","2010","12","07","Brasil","Santa Catarina","Araranguá","-49.320833","-28.890278","49º19'15''W","28º53'25''S","Florística IFFSC 27 (Arbusto) Habitat: Floresta Ombrófila Densa de Terras Baixas; Estágio Avançado Habito: arbustiva;","CRI013540","CRI013540","5447",NA,"8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:47-03","UNESC","CRI","11957","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","Aline Votri Guislon","2013",NA,NA,"Aline Votri Guislon; Altamir Rocha Antunes; Jhoni Caetano; Robson dos Santos & Peterson Teodoro Padilha","2013",NA,NA,"Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S",NA,"CRI010103","CRI010103",NA,NA,"450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:47-03","UNESC","CRI","9029","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","A. Stival-Santos","2010","03","23","A. Stival-Santos; E. Legal & S. Silveira","2010","02","19","Brasil","Pernambuco","Angelim","-36.285833","-8.890833","36º17'9''W","8º53'27''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI005134","CRI005134","1846","Arroio Fagundes.","434","434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:39-03","UNESC","CRI","415","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","eugenioides","Myrcia eugenioides","Cambess.","Vanilde Citadini-Zanette; L.R.M. Bastista & Marcos Sobral","1990","03","20","Vanilde Citadini-Zanette; Alberto Ávila","1990","03","20","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","Habito: Arvoreta","CRI012895","CRI012895","832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
