"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039517","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.O.Grose","A. R. Zuntini","A. R. Zuntini","114","2007","09","18","South America","Brazil","Espírito Santo","Sooretama","Reserva Natural da Comhania Vale do Rio Doce (Reserva de Linhares). Estrada do Refúgio Cupido, lado direito.","-39.961174","-19.138199","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487858' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039517","NY01039517_01 NY01039517_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886416","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.O.Grose",NA,"A. L. Peixoto","3066","1985","02","01","South America","Brazil","Espírito Santo",NA,"Córrego do Rancho Alto, Estrada 351.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886416","NY00886416_01","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","402775","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.O.Grose",NA,"D. A. Folli","455","1983","07","21","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. LOURO, ant. 351, lado direito Km 4.880.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402775","NY00402775_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:03:15-03","ESALQ","ESA","130017","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.Grose","Siqueira, G.","Colletta, G.D.; Flores, T.B.; Duarte, M.M.; Ferrari, A.C.","1772.0","2011","04","14",NA,"Brasil","Espírito Santo","Linhares","Reserva Vale, área do projeto de restauração, projeto 156","-40.0722007751465","-19.3910999298096",NA,"Regenerante estéril","ESA130017",NA,NA,"2011","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:01:11-03","JBP","HPL","13504","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A. Gentry) S. Grose","V.C. Souza","L.S Leoni","1648","1993","09","20",NA,"Brasil","MG","Carangola","Rio Carangola, próximo a fazenda General em área perbubada ao lado da estrada. GFJP.","-42.0294","-20.7331",NA,NA,NA,NA,NA,"2015","21913","auto","05","27","400","400",NA,NA,NA,NA,NA
"6","2015-07-02 14:01:11-03","JBP","HPL","4661","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H. Gentry) S.O. Grose","H. Lorenzi","J.A. Lombardi, H. Lorenzi, R. Tsuji et al.","7123","2008","01","23",NA,"Brasil","ES","Linhares","Coletado na Reserva Natural da Companhia Vale do Rio Doce (CVRD), margem da BR-101; em área de Mata Atlântica degradada, ca. 19° 08-15'S, 39° 58' -40°05'W","-40.0722","-19.3911",NA,NA,NA,NA,NA,"2008","48094","auto","01","23",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:15-03","UFV","VIC","18095","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry",NA,"Luiza, A.","s.n.","1995","10","04",NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,"Altura de 17 metros, P36 nº 16.","VIC018095","VIC018095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:26:34-03","UNICAMP","UEC","158098","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.Grose","Zuntini, AR","Zuntini, AR; Souza, M; Siqueira, GS","114","2007","09","18",NA,"Brazil","Espírito Santo","Linhares","Reserva Natural da CVDR (Reserva de Linhares), Estrada do Refúgio cupido, lado direito.","-40.0722007751465","-19.3910999298096",NA,"Árvore, 15m. Frutos imaturos verdeds. Ramos jovens com botões muito imaturos. Possível segunda florada.","UEC015171","UEC015171",NA,"2007","48094","auto","10",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 09:29:48-03","UFRRJ","RBR","2999","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.Grose","T.A. Amorim","A. Peixoto; E. Zardini, C. Proença, O. Peixoto","3066","1985","02","01",NA,"Brasil","Espírito Santo","Espírito Santo","Espírito Santo, Córrego do Rancho Alto, Estrada 351,",NA,NA,NA,NA,"RBR00002999","RBR00002999","Isotipo","2018",NA,NA,"08","14",NA,NA,NA,NA,NA,NA,NA
"10","2013-04-01 09:20:00-03","IPT","BCTW","19769","S","Plantae","Magnoliophyta",NA,NA,"Tabebuia","arianeae","Tabebuia arianeae","A.H. Gentry","Instituto Plantarum","Lorenzi, H.","474",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
