"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","phylum","order","scientificNameAuthorship","recordNumber","locality","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:18-03","E","E","35750","PreservedSpecimen","Plantae","Lauraceae","Ocotea","minarum","Ocotea minarum","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Garcia, Alicia Ibañez & Dos Santos, Gilmar B.","1996","11","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:46199","<a href=http://data.rbge.org.uk/herb/E00035750 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00035750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","259541","PreservedSpecimen","Plantae","Lauraceae","Ocotea","minarum","Ocotea minarum","Sellow, Friedrich",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:271763","<a href=http://data.rbge.org.uk/herb/E00259541 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259541","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:18-03","E","E","35740","PreservedSpecimen","Plantae","Lauraceae","Ocotea","minarum","Ocotea minarum","Ratter, J.A.; Filho, Fonsêca J.; Gomes, Sueli M. & de Lima Jacques, Elaine","1996","11","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:46244","<a href=http://data.rbge.org.uk/herb/E00035740 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00035740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355154","PreservedSpecimen","Plantae","Lauraceae","Gymnobalanus","minarum","Gymnobalanus minarum","L. Riedel","1834","05",NA,"South America","Brazil","sheet",NA,"Comm. ex Herb. Horti Imp. Petropolit. 1859 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355154","syntype","Magnoliophyta","Laurales","Nees & Mart.","2207","In sylvilis Capao dictis Araracoara.","NY00355154_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","886974","PreservedSpecimen","Plantae","Lauraceae","Ocotea","domatiata","Ocotea domatiata","H. Q. B. Fernandes","1986","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886974",NA,"Magnoliophyta","Laurales","Mez","2068","Rio Nove.","NY00886974_01","H. H. van der Werff","Espírito Santo","Santa Leopoldina","-40.5294","-20.1008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 19:18:00-03","NY","NYBG","880180","PreservedSpecimen","Plantae","Lauraceae","Ocotea","minarum","Ocotea minarum","E. M. Saddi","2010","05","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880180",NA,"Magnoliophyta","Laurales",NA,"388","Parcela de Monitoramento P3 do empreendimento da Linha de Transmissão LT 500 KV Cuiabá - Ribeirãozinho - Rio Verde.","NY00880180_01",NA,"Goiás","Caiapônia","-51.8114","-17.0331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00538029","PreservedSpecimen","Plantae","Lauraceae","Ocotea","minarum","Ocotea minarum","H. S. Irwin","1969","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538029",NA,"Magnoliophyta","Laurales","(Nees & Mart.) Mez","22105","Serra do Espinhaço. Ca. 24 km S.W. of Diamantina on road to Gouveia","NY00538029_01","H. H. van der Werff","Minas Gerais",NA,NA,NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","538031","PreservedSpecimen","Plantae","Lauraceae","Ocotea","minarum","Ocotea minarum","M. H. Nee","1985","09","28","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538031",NA,"Magnoliophyta","Laurales","(Nees & Mart.) Mez","31977","4.5 km. by road W of Huancane","NY00538031_01","H. H. van der Werff","La Paz","Sud Yungas","-67.57","-16.37","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00538030","PreservedSpecimen","Plantae","Lauraceae","Ocotea","minarum","Ocotea minarum","G. G. Hatschbach","1970","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538030",NA,"Magnoliophyta","Laurales","(Nees & Mart.) Mez","25109","Rio Anhanqui","NY00538030_01","H. H. van der Werff","Mato Grosso do Sul","Rio Brilhante","-54.5464","-21.8019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00918450","PreservedSpecimen","Plantae","Lauraceae","Ocotea","minarum","Ocotea minarum","E. P. Heringer","1963","07","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918450",NA,"Magnoliophyta","Laurales","(Nees & Mart.) Mez","9170","Parque do Guará","NY00918450_01","J. G. Rohwer","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
