"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","428567","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","santosii","Licania santosii","Prance","isotype","J. Almeida","150","1968","10","15","South America","Brazil","Bahia","Itacaré","Beira-mar","-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428567","NY00428567_01 NY00428567_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378641","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","santosii","Licania santosii","Prance",NA,"L. A. Mattos Silva","1211","1980","10","06","South America","Brazil","Bahia","Ilhéus","Fazenda Cururupitanga. Km 3 do ramal que liga Olivença ao Povoado de Vila Brasil, lado esquerdo. Capoeirao com piaçaveiras no limite ao N com a Faz. Berkau","-39.0333","-14.9583","sheet","Coletas trestemunhas para o projeto Piaçava <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378641","NY00378641_01","G. T. Prance","70","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378642","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","santosii","Licania santosii","Prance",NA,"A. M. V. de Carvalho","353","1998","12","07","South America","Brazil","Bahia","Ilhéus","Estrada Olivença/Una, a 7 km NE de Olivença","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378642","NY00378642_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:46:14-03","NBC","NL-BOTANY","U 0001169","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Licania","santosii","Licania santosii","Prance","isotype","Almeida J; Santos TS dos",NA,"1968","10","15","Southern America","Brazil","Bahia",NA,"Regiao Cacaueíra da BahiaItacaré. Beira - mar.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001169 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001169","NL-U0001169",NA,NA,NA,"Magnoliopsidae","365803 B",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:46:14-03","NBC","NL-BOTANY","WAG.1391072","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Licania","santosii","Licania santosii","Prance",NA,"Irwin HS; Harley RM; Smith GL",NA,"1971","02","24","Southern America","Brazil","Bahía",NA,"cerrado and occasional tree islands, c. 23 km N of Seabram road to Agua de Rega.","-41.783333","-12.233333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1391072 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1391072","NL-WAG1391072","Maas PJM",NA,NA,"Magnoliopsidae","WAG0248239","2010","02","05","-41.783333","-12.233333",NA,NA,NA
"6","2019-02-15 11:36:22-02","IPA","IPA","44348","S","Plantae","Plantae",NA,"Chrysobalanaceae","Licania","santosii","Licania santosii","Prance",NA,"Mattos-Silva, L.A.; Brito, H.S.; Santos, E.B. dos; Brito, H.S.; Santos, E.B. dos","s.n.","1980","10","06","Southern America","Brasil","Bahia","Ilhéus","Fazenda Cururupitanga, Km 3 do ramal que liga Olivença ao Povoado d Vila Brasil, lado esquerdo.","-39.0494003295898","-14.7889003753662",NA,"Árvore 12m x 18cm. Estéril.; Capoeirão com piaçaveiras no limite ao N com a Fazenda Berkau. Solo sílico-argiloso.","IPA0044348",NA,"Prance, G.T.",NA,NA,NA,NA,"1984",NA,NA,NA,NA,"61245","auto",NA
"7","2020-12-21 16:20:48-03","MBM","MBM","90529","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","santosii","Licania santosii","Prance",NA,"Carvalho, A.M. de; et al.; et al.","353","1984","12","07","Southern America","Brazil","Bahia","Ilhéus","Estrada Olivença - Una","-39.0494003295898","-14.7889003753662",NA,NA,"MBM090529","MBM090529","Prance, G.T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA
"8","2012-10-17 05:07:00-03","MO","MOBOT","100299208","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","santosii","Licania santosii","Prance","Isotype","J. Almeida|Talmon S. dos Santos","Almeida 150","1968","10","15","South America","Brazil","Bahia",NA,"Itacare. Beira-mar.",NA,NA,NA,NA,NA,NA,"G.T. Prance, ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","2020-07-10 09:45:02-03","MBML","MBML-HERBARIO","44401",NA,"Plantae",NA,NA,"Chrysobalanaceae","Licania","santosii","Licania santosii","Prance",NA,"L. Daneu; L.C. Gomes, M.P. Morim & M.J.F. Barros","468","2010","11","25",NA,"Brasil","Bahia","Ilhéus","Estrada Ilhéus - Una, entrada à direita sentido a Vila Brasil. Restinga arbórea","-39.083333","-15.15",NA,"Árvore ca 7m alt., folhas verde escura com a face inferior esbranquiçada. Inflorescência com flores creme. Frutos imaturos amarronzado","MBML044401","MBML044401","R.G. Barbosa-Silva/10-05-2018",NA,NA,NA,NA,NA,NA,NA,"39W5'","15S9'",NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2927543","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Licania","santosii","Licania santosii","Prance","Isotype","J. Almeida & T. S. Santos","150","1968","10","15","South America - Neotropics","Brazil","Bahia",NA,"Itacare, Beira-Mar.",NA,NA,NA,NA,"US00170063","US00170063_01",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
