"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","identifiedBy","yearIdentified","monthIdentified","recordNumber","continentOcean","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber"
"1","2021-02-18 09:29:27-03","UNESP-IBB","BOTU","18026","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Fernandes, A.","1979","03","24","Brasil","Ceará","Tianguá","9999","9999","Subarbusto","BOTU018026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-22 16:19:11-03","UFPB","JPB","29958","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Moura, ACA","2002","03","03","Brasil","Piauí","São Raimundo Nonato",NA,NA,"; DESC: Arvoreta ca. 2m de altura.",NA,"Angiosperma","Dicotyledon","Costa-Lima, J.L.","2012","01","290","Southern America","Parque Nacional da Serra da Capivara","-42.6994018554688","-9.01527976989746","45407","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-21 19:34:09-03","UFC","EAC","3200","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Fernandes, A.; Matos, F.J.A.","1977","02","18","Brasil","Ceará","Tianguá",NA,NA,"Carrasco","EAC0003200","Dicotyledon",NA,"Loiola, M.I.B.","1999","03","EAC3200","Southern America",NA,"-40.99169921875","-3.7322199344635","36695","auto","01","EAC0003200",NA,NA,NA,NA,NA,NA
"4","2021-03-21 19:34:09-03","UFC","EAC","5746","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Fernandes, A.; Matos, F.J.A.","1979","03","24","Brasil","Ceará","Tianguá",NA,NA,"Subarbusto&nf;Com foto; Carrasco","EAC0005746","Dicotyledon",NA,"Plowman, T.","1983",NA,"EAC5746","Southern America",NA,"-40.99169921875","-3.7322199344635","36695","auto",NA,"EAC0005746_1 EAC0005746_2","holotype",NA,NA,NA,NA,NA
"5","2021-03-21 19:34:09-03","UFC","EAC","54581","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Melo, E.; Silva, B.M.; Damascena, L.; Lopes, O.P.","2010","11","23","Brasil","Piauí","Caracol","-43.384444","-9.164444","Arbusto, 3-4m; folhas cartáceas; frutos verdes.; Caatinga/Carrasco.","EAC0054581","Dicotyledon",NA,"Loiola, M.I.B.","2012","06","8833","Southern America","Toca do Enoc, sítio com pinturas rupestres caverna","-43.384444","-9.164444",NA,NA,NA,"EAC0054581",NA,"680","680",NA,NA,NA
"6","2021-03-21 19:34:09-03","UFC","EAC","13333","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Fernandes, A.; Matos, F.J.A.","1985","08","10","Brasil","Ceará","São Benedito",NA,NA,"Arbusto; Cerrado","EAC0013333","Dicotyledon",NA,"Loiola, M.I.B.","1999","03","EAC13333","Southern America","Ch. Ibiapaba, Xique-xique.","-40.8650016784668","-4.0486102104187","27894","auto","09","EAC0013333",NA,NA,NA,NA,NA,NA
"7","2021-03-21 19:34:09-03","UFC","EAC","15058","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Fernandes, A.; Matos, F.J.A.","1987","04","29","Brasil","Ceará","Tianguá",NA,NA,"Arbusto; Carrasco","EAC0015058","Dicotyledon",NA,"Loiola, M.I.B.","1999","03","EAC15058","Southern America","Ch. Ibiapaba","-40.99169921875","-3.7322199344635","36695","auto","01","EAC0015058",NA,NA,NA,NA,NA,NA
"8","2021-03-21 19:34:09-03","UFC","EAC","23591","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Araújo, F.S.","1996","01","27","Brasil","Ceará","Ubajara",NA,NA,"Arbusto","EAC0023591","Dicotyledon",NA,"Loiola, M.I.B.; Cordeiro, L.S.","2009","11","1180","Southern America","Planalto da Ibiapaba, Jaburuna Sul","-40.9211006164551","-3.85443997383118","27385","auto","13","EAC0023591",NA,NA,NA,NA,NA,NA
"9","2021-03-21 19:34:09-03","UFC","EAC","22382","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Araújo, F.S.","1994","05","19","Brasil","Ceará","Ubajara",NA,NA,"Arbusto; Carrasco","EAC0022382","Dicotyledon",NA,"Loiola, M.I.B.; Cordeiro, L.S.","2000","07","733","Southern America","Planalto da Ibiapaba, Jaburuna Sul","-40.9211006164551","-3.85443997383118","27385","auto","10","EAC0022382",NA,"830","830",NA,NA,NA
"10","2021-03-21 19:34:09-03","UFC","EAC","22381","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tianguanum","Erythroxylum tianguanum","Plowman","Araújo, F.S.","1994","05","19","Brasil","Ceará","Ubajara",NA,NA,"Arbusto; Carrasco","EAC0022381","Dicotyledon",NA,"Loiola, M.I.B.; Cordeiro, L.S.","2000","07","735","Southern America","Planalto da Ibiapaba, Jaburuna Sul","-40.9211006164551","-3.85443997383118","27385","auto","10","EAC0022381",NA,"830","830",NA,NA,NA
