"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","day","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","sex"
"1","2020-09-17 10:45:34-03","UEPA","MFS-FLORES","MFSFL000045","S","Plantae","Proteaceae","Panopsis","rubescens","Panopsis rubescens","(Pohl) Rusby.","Lucas, F.C.A.","654","2012","08","Brasil","Pará","Santarém","Arapiun, Nova Canaã.","-54.700922","-2.450628","-54.700922","-2.450628","MFS002791","Árvore de 6 m de altura com inflorescência creme.","MFSFL000045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:48-03","E","E","165399","PreservedSpecimen","Plantae","Proteaceae","Panopsis","rubescens","Panopsis rubescens",NA,"Carvalho, A.M.","2127","1986","01","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00165399 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165399","16","E. Tropical South America","fruit collection/cone collecti","BGBASE:207195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:48-03","E","E","134680","PreservedSpecimen","Plantae","Proteaceae","Panopsis","rubescens","Panopsis rubescens",NA,"B.Dubs & E.L.Egewarth","2424","1998","05","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00134680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134680","22","E. Tropical South America","herbarium specimen of unspecif","BGBASE:143096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:48-03","E","E","196387","PreservedSpecimen","Plantae","Proteaceae","Panopsis","rubescens","Panopsis rubescens",NA,"Carvalho, A.M.","2127","1986","01","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00196387 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196387","16","E. Tropical South America","herbarium specimen of unspecif","BGBASE:207753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:48-03","E","E","176403","PreservedSpecimen","Plantae","Proteaceae","Panopsis","sprucei","Panopsis sprucei",NA,"Bang, Miguel","1686",NA,NA,"BO",NA,NA,"Tipuani-Guanani",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00176403 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00176403",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:185047","unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:48-03","E","E","176408","PreservedSpecimen","Plantae","Proteaceae","Panopsis","sprucei","Panopsis sprucei",NA,"Spruce, Richard","1817",NA,NA,"BR","Rio Negro",NA,"Prope Barra",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00176408 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00176408",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:185053","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","579290","PreservedSpecimen","Plantae","Proteaceae","Andriapetalum","rubescens","Andriapetalum rubescens acuminatum","Meisn.","R. Spruce","2574","1852","10","Brazil",NA,NA,"[Brazil ?]: Prope Panurè ad Rio Uaupès","-68.5121369","0.2251762",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579290",NA,"South America","sheet",NA,"isotype","Magnoliophyta","Proteales","acuminatum","NY00579290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579300","PreservedSpecimen","Plantae","Proteaceae","Andriapetalum","rubescens","Andriapetalum rubescens acuminatum","Meisn.","R. Spruce","2574.","1852","10","Brazil",NA,NA,"[Brazil ?:] prope Rio Panurè ad Rio Uaupès","-68.5121369","0.2251762",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579300",NA,"South America","sheet",NA,"type fragment","Magnoliophyta","Proteales","acuminatum","NY00579300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579299","PreservedSpecimen","Plantae","Proteaceae","Andriapetalum","rubescens","Andriapetalum rubescens","Pohl","J. B. E. Pohl","s.n.",NA,NA,"Brazil",NA,NA,"Ad Rio das Areas",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579299",NA,"South America","sheet",NA,"isotype","Magnoliophyta","Proteales",NA,"NY00579299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01021694","PreservedSpecimen","Plantae","Proteaceae","Panopsis","rubescens","Panopsis rubescens","(Pohl) Rusby","R. de Lemos Fróes","1934","1932","10","Brazil","Maranhão",NA,"Maracassumé River Region","-45.8917809","-1.8926301",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116042' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021694","08","South America","sheet",NA,NA,"Magnoliophyta","Proteales",NA,"NY01021694_01","H. O. Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
