"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","infraspecificEpithet","individualCount"
"1","2021-04-05 14:33:44-03","UNESC","CRI","1296","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Vanilde Citadini- Zanette","Jairo José Zocche","1992","08","20","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI004977","CRI004977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:38-03","UNESC","CRI","5261","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","V. C. Zanette","V. Citadini-Zanette; V. Boff & A. Gozçe.","1996","09","19","Brasil","Santa Catarina","Lauro Muller","Rio Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"CRI004978","CRI004978","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","8043","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Rafal Martins","Beatriz Wessler; Bruna Alberton","2008","06","25","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"CRI004983","CRI004983",NA,"2008","06","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:38-03","UNESC","CRI","14470","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Verdi, M","Verdi, M.; Tomazi, A.L. & Klemz, G.","2009","11","07","Brasil","Santa Catarina","Nova Veneza","São Bonifácio. São Bonifácio.","-49.588611","-28.708056","49º35'19''W","28º42'29''S","124","124","CRI013614","CRI013614","Fito IFFSC 39 /O/84 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea; Fruto laranja;","2009","11","07","3065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:38-03","UNESC","CRI","15115","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Aline Votri Guislon & Renato Colares","Aline V. Guislon; Iara Z. Zanoni; Renato Colares & Felipe Seron","2018","09","25","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves (Área L5). Bairro Dagostim","-49.35","-28.749444","49º21'0''W","28º44'58''S","170","170","CRI014528","CRI014528","Habito: Arbóreo","2018","09","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:38-03","UNESC","CRI","15173","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Aline Votri Guislon & Felipe Seron","Aline V. Guislon; Renato Colares & Iara Z. Zanoni","2018","06","14","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. (L1) Bairro Dagostim","-49.377778","-28.765556","49º22'40''W","28º45'56''S","50","50","CRI014588","CRI014588","Com botões florais. Habito: Arbóreo","2018","06","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 15:16:32-03","UNESC","CRI","14468","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Korte, A","Korte, A.; Kniess, A.","2009","10","19","Brasil","Santa Catarina","Ituporanga","Rio do Norte. Rio do Norte.","-49.503056","-27.360833","49º30'11''W","27º21'39''S","708","708","CRI013616","CRI013616","Fito IFFSC 421 /N/35 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea; Fruto laranja;","2010","10","12","543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:38-03","UNESC","CRI","797","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004976","CRI004976",NA,NA,NA,NA,"1147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:38-03","UNESC","CRI","12801","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Renato Colares","Renato Colares; Jader Lima Pereira","2017","10","28","Brasil","Santa Catarina","Criciúma","Área de APP.","-49.400833","-28.707222","49º24'3''W","28º42'26''S",NA,NA,"CRI011065",NA,"Habito: Arbóreo","2017","11","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:38-03","UNESC","CRI","3400","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stigmatosa","Eugenia stigmatosa","DC.","Daniel de Barcellos Falkenberg","Robson dos Santos","1994","09","17","Brasil","Santa Catarina","Forquilhinha","Horto Florestal de Forquilhinha.","-49.466667","-28.733333","49º28'W","28º44'S","42","42","CRI004982","CRI004982",NA,NA,NA,NA,"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
