"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2423049","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense","(Meisn.) Rohwer","A. P. Duarte","5790","1961","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada do Redentor","-43.245505","-22.956326","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2680000' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423049","NY02423049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","880192","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense","(Meisn.) Rohwer","A. P. Duarte","5822","1961","05","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Antigo Estado da Guanabara, Sacopan, Lagoa Rodrigo de Freitas.","-43.207919","-22.973835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880192","NY00880192_01","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 19:18:00-03","NY","NYBG","880188","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense",NA,"A. P. Duarte","4826","1959","06","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Antigo Estado da Guanabara. Sumaré, descida para Lagoinha.","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880188","NY00880188_01","16","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:31:04-03","UFRJ","RFA","39783","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense","(Meisn.) Rohwer","Finotti R.; Caruzo J.","330",NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim",NA,"-42.9818992614746","-22.5372009277344",NA,"Árvore de 8 metros de altura e PAP de 18,5cm.","RFA24813",NA,NA,"21463","auto","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:36:59-03","NBC","NL-BOTANY","L 0036900","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense","(Meisn.) Rohwer","Riedel L",NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200036900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0036900","NL-L0036900",NA,NA,NA,NA,NA,"Magnoliopsidae","Werff HH van der","isotype","905234437",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:36:59-03","NBC","NL-BOTANY","L 0036899","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense","(Meisn.) Rohwer","Riedel L",NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200036899 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0036899","NL-L0036899",NA,NA,NA,NA,NA,"Magnoliopsidae","Werff HH van der","isotype","905234436",NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:38:23-02","BGBM","B","B 10 0185282","S","Plantae",NA,NA,"Lauraceae","Ocotea","bahiensis","Ocotea bahiensis","Mez","L. Riedel",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185282 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185282","B100185282 B100185282_1",NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:38:25-02","BGBM","B","B 10 0185021","S","Plantae",NA,NA,"Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense","Rohwer","?",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185021 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185021","B100185021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:32:49-03","UNICAMP","UEC","170051","S","Plantae","Magnoliopsida",NA,"Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense","(Meisn.) Rohwer","Rochelle, ALC","J1030",NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio - Bairro Taquaral.","-45.050278","-23.216111",NA,"Floresta Ombrófila Densa Submontana.","UEC041822","UEC041822",NA,NA,NA,"450","450",NA,"Baitello, JB",NA,NA,"2008","02","-45.050278","-23.216111",NA,NA
"10","2021-03-01 16:32:49-03","UNICAMP","UEC","161023","S","Plantae","Magnoliopsida",NA,"Lauraceae","Urbanodendron","bahiense","Urbanodendron bahiense","(Meisn.) Rohwer","Stefani, EJF; Belinello, R; Galvão, JC","127","2010","06",NA,"Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Mata Altântica, 50-90 msm","-45.5125","-23.620833",NA,"Árvore de 10 m.","UEC066961","UEC066961","01",NA,NA,NA,NA,NA,"Barbosa, TDM",NA,NA,"2010","12","-45.5125","-23.620833",NA,NA
