"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","typeStatus","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","402704","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","A.H.Gentry","A. H. Gentry","R. M. Harley","26491","1988","11","17","South America","Brazil","Bahia","Barra da Estiva","13 km ao leste da cidade na estrada para Triunfo do Sincorá","-41.22","-13.58","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402704","NY00402704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:43:31-03","UNEB","HUNEB","14058","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","A.H.Gentry",NA,NA,"84","2012","01","24",NA,"Brasil","Pernambuco","Buíque","parque Nacional do Catimbau, Vale do Catimbau.","-37.249722","-8.540278",NA,NA,NA,"Fitofisionomia Savana Estépica. Solo Neossolo Quartzarênico Órtico.","HUNEB0014058",NA,"Dicotyledoneae","37W14'59''","8S32'25''",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:35:04-02","IPA","IPA","25879","S","Plantae","Plantae",NA,"Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","Gentry","Gentry, A.","Andrade-Lima","71-6556","1971","10","08","Southern America","Brasil","Pernambuco","Buíque","a 4 km de Catimbau.","-37.1557998657227","-8.62306022644043",NA,NA,NA,"Arbusto até 4m; flor roxo-claro.; Solo arenoso.","IPA0025879","IPA0025879",NA,NA,NA,"1987","TYPUS","38964","auto",NA,NA,NA,NA
"4","2019-02-15 11:35:04-02","IPA","IPA","83211","S","Plantae","Plantae",NA,"Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","Gentry","Miranda, A.M.","Alcântara, G.D.; Miranda, A.M.; Silva, D.N.; Oliveira, M.B.; Silva, J.S.; Miranda, A.M.; Silva, D.N.; Oliveira, M.B.; Silva, J.S.","16","2008","02","12","Southern America","Brasil","Pernambuco","Buíque","Vale do Catimbau, Estrada do Furtuoso.","-37.1557998657227","-8.62306022644043",NA,NA,NA,"Arbusto ca. 2,0m de altura; caule marrom acinzentado; folhas membranáceas, levemente aveludadas; flores magentas.; Caatinga.","IPA0083211",NA,NA,NA,NA,"2008",NA,"38964","auto",NA,NA,NA,NA
"5","2019-02-15 11:35:04-02","IPA","IPA","43070","S","Plantae","Plantae",NA,"Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","Gentry","Miranda, A.M.","Andrade-Lima","75-8129","1975","06","21","Southern America","Brasil","Pernambuco","Buíque","Chapada de São José","-37.1557998657227","-8.62306022644043",NA,NA,NA,NA,"IPA0043070",NA,NA,NA,NA,"1998",NA,"38964","auto","11","05",NA,NA
"6","2019-02-15 11:35:04-02","IPA","IPA","70133","S","Plantae","Plantae",NA,"Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","Gentry","Costa e Silva, M.B.; Marques, J.S.","Bocage, A.; Rita Pereira; Costa e Silva, M.B.; Marques, J.S.; Ferreira, C.; Rita Pereira; Costa e Silva, M.B.; Marques, J.S.; Ferreira, C.","1058","2005","11","22","Southern America","Brasil","Pernambuco","Buíque","Vale do Catimbau, Trilha da Pedra da Concha.","-37.1557998657227","-8.62306022644043",NA,NA,NA,NA,"IPA0070133",NA,NA,NA,NA,"2006",NA,"38964","auto","01","14",NA,NA
"7","2019-02-15 11:35:04-02","IPA","IPA","84881","S","Plantae","Plantae",NA,"Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","Gentry","Gomes-Silva, A.","Silva, A.G.; Barbosa, J.I.S.; Alves, J.; Silva, M.V.; Barbosa, J.I.S.; Alves, J.; Silva, M.V.","1655","2010","06","10","Southern America","Brasil","Pernambuco","Buíque","Parque Nacional do Catimbau","-37.158333","-8.4",NA,NA,NA,"Arbusto com 2m.Frutos Verdes.","IPA0084881",NA,NA,"-37.158333","-8.4","2010",NA,NA,NA,"06","10",NA,NA
"8","2019-02-15 11:35:04-02","IPA","IPA","87940","S","Plantae","Plantae",NA,"Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","Gentry","Siqueira Filho, J.A.","Siqueira Filho, J.A.; et al.; et al.","2717","2012","01","12","Southern America","Brasil","Pernambuco","Buíque","Serra de Jerusalém, PARNA do Vale do Catimbau.","-37.248056","-8.532222","906","906",NA,"Arbusto ca. 4m de altura. Frutos solitários com baixa produções de frutos em condições naturais.; Bioma Caatinga. Fitofisionomia Savana Estépica. Solo Neossolo Quartzarênico Órtico. Área prioritária para conservação: CA-408 - Buíque /","IPA0087940",NA,NA,"-37.248056","-8.532222","2012",NA,NA,NA,"01","12",NA,NA
"9","2019-02-15 11:35:04-02","IPA","IPA","85384","S","Plantae","Plantae",NA,"Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","Gentry","Cano, O.","Costa, A.C.G.; Nadia, T.C.L.; Barral, E.C.; Ferreira, S.M.; Nadia, T.C.L.; Barral, E.C.; Ferreira, S.M.","13","2011","01","13","Southern America","Brasil","Pernambuco","Buíque","Parque Nacional do Catimbau, Serrinha.","-37.1557998657227","-8.62306022644043",NA,NA,NA,"Arbusto ca. 1m de altura. Flor roxa com cheiro doce.","IPA0085384",NA,NA,NA,NA,"2011",NA,"38964","auto","02","07",NA,NA
"10","2019-02-15 11:35:04-02","IPA","IPA","82648","S","Plantae","Plantae",NA,"Bignoniaceae","Jacaranda","rugosa","Jacaranda rugosa","Gentry","Rita Pereira; Cano, O.","Rita Pereira; et al.; et al.","2113","2001","03",NA,"Southern America","Brasil","Pernambuco","Buíque","Reserva Ecologica do Catimbau. Serra de Jerusalem.","-37.1557998657227","-8.62306022644043",NA,NA,NA,NA,"IPA0082648",NA,NA,NA,NA,"2003",NA,"38964","auto","12",NA,NA,NA
