"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","individualCount","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","00940588","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.","S. A. T. Graham","L. Riedel","s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940588","NY00940588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:01:41-03","NBC","NL-BOTANY","L.2478190","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Delessert A",NA,"Southern America","Brazil","Brasilia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2478190 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2478190","NL-L2478190","Magnoliopsidae","1837","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:17:07-03","UNICAMP","UEC","114074","S","Plantae","Magnoliopsida",NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Ferreira, MCC; Pansarin, ER; Faria, AD; Belinello, R; Gonçalves, RS","200",NA,"Brazil","Estrada de terra Angatuba - Itatinga, Cerca de 30 Km de Angatuba.",NA,NA,"UEC060895","UEC060895",NA,"2000","07","18","São Paulo","Angatuba","-48.506722","-23.38525","-48.506722","-23.38525",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-11-07 03:33:12-02","MNHN","RECOLNAT_MNHN_P","P01901561","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","en septembre dans le lit desséché d'un ruisseau prés la rivière d'uberava partie occidentale de la Prov. de Minas Geraes.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901561' target='other'> <mi>dwc_moreinfo</mi></a>","P01901561","P01901561_01",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,"holotype","C1 950",NA,NA,NA,NA,NA,NA,NA
"5","2018-01-09 11:56:28-02","MNHN","RECOLNAT_MNHN_P","P01901562","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","en septembre dans le lit desséché d'un ruisseau prés la rivière d'uberava partie occidentale de la Prov. de Minas Geraes.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901562' target='other'> <mi>dwc_moreinfo</mi></a>","P01901562","P01901562_01",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,"isotype","C1 950",NA,NA,NA,NA,NA,NA,NA
"6","2015-09-05 00:34:33-03","MNHN","RECOLNAT_MNHN_P","P05167625","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"De Haas, Sr.|De Haas, H.|Bélém, R.P.",NA,NA,"Brésil","Goias, rio Tocantinzinho, entre São João da Aliança e Veadeiros, na beira da Lagoa Velha (curva velha do rio).","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05167625' target='other'> <mi>dwc_moreinfo</mi></a>","P05167625","P05167625_01 P05167625_02",NA,"1967","9","22",NA,NA,NA,NA,NA,NA,NA,"138",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-05 00:35:51-03","MNHN","RECOLNAT_MNHN_P","P05167627","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides","A.St.-Hil.",NA,"Gaudichaud, C.",NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05167627' target='other'> <mi>dwc_moreinfo</mi></a>","P05167627","P05167627_01",NA,"1831","1","1","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"825",NA,NA,NA,NA,NA,NA,NA
"8","2015-11-07 03:33:28-02","MNHN","RECOLNAT_MNHN_P","P01901565","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides muscosa","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","En juillet dans les marais désséché près l'habitation de Pe do Morro, Sertao de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901565' target='other'> <mi>dwc_moreinfo</mi></a>","P01901565","P01901565_01",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"holotype","B1 1725","muscosa",NA,NA,NA,NA,NA,NA
"9","2015-01-21 17:52:33-02","MNHN","RECOLNAT_MNHN_P","P01901566","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides muscosa","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","En juillet dans les marais désséché près l'habitation de Pe do Morro, Sertao de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901566' target='other'> <mi>dwc_moreinfo</mi></a>","P01901566","P01901566_01",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"isotype","B1 1725","muscosa",NA,NA,NA,NA,NA,NA
"10","2015-11-07 03:33:22-02","MNHN","RECOLNAT_MNHN_P","P01901563","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","arenarioides","Cuphea arenarioides myriophylloides","A.St.-Hil.",NA,"Saint-Hilaire, A. de",NA,NA,"Brésil","En avril dans les marais près la ville de Thaubaté Prov. de Saint-Paul","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901563' target='other'> <mi>dwc_moreinfo</mi></a>","P01901563","P01901563_01",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"holotype","D 669","myriophylloides",NA,NA,NA,NA,NA,NA
