"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","county","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1085700","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali","isotype","B. D. Sucre","8310","1972","01","30","South America","Brazil","Espírito Santo","Reserva de Linhares, DOCEMADE","-39.961174","-19.138199","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250416' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085700","NY01085700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:21:35-03","MN","R","216453","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali",NA,"Lima, H.C.","2208","1984","10","16",NA,"Brasil","Rio de Janeiro","Paraiso","-43.040599822998","-22.6527996063232",NA,NA,NA,NA,"Rapini, A.","2010","Magé","20531","200","200","auto",NA,NA,NA,NA,NA
"3","2019-11-21 14:30:41-03","UFJF","CESJ","19655","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali",NA,"L. Krieger","CESJ19655","1980","10","16","América do Sul","Brasil","Espírito Santo","pedras perto do mar","-40.5110015869141","-20.6580009460449",NA,"arbusto baixo, esgalhado, leitoso, ,flores cor de vinho","CESJ019655","CESJ019655",NA,NA,"Guarapari","28401",NA,NA,"auto",NA,NA,NA,NA,NA
"4","2020-04-27 16:08:36-03","UFES","VIES","23174","S","Plantae",NA,NA,"Apocynaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali",NA,"Giaretta, A.O.; Monteiro, M.M. & Oliveira, I.R.","750","2010","02","04",NA,"Brasil","Espírito Santo","Itaúnas.","-39.7322006225586","-18.5932998657227",NA,NA,"VIES023174","VIES023174","A.P.B. Santos","2018","Conceição da Barra","41644",NA,NA,"auto","06","08",NA,NA,NA
"5","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","33777",NA,"Plantae",NA,NA,"Asclepiadaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali",NA,"A. M. Amorim; et al","7189","2008","02","19",NA,"Brasil","Espírito Santo","Área de Proteção Ambiental da Pedra do Elefante","-40.443889","-18.776944",NA,"Liana sob afloramentos na orla da mata. Frutos imaturos verdes. Material prensado em álcool.","MBML033777","MBML033777","M.B. Goes/18-02-2009",NA,"Nova Venécia",NA,NA,NA,NA,NA,NA,"40W26'38","18S46'37",NA
"6","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","42039",NA,"Plantae",NA,NA,"Asclepiadaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali",NA,"A. M. Assis; Valdir G. Demuner; Karla Fabiola O. Faria","1223","2007","12","28",NA,"Brasil","Espírito Santo","Fazenda do Ouvidor - Usina Paineiras. Fragmento 125 ha (altitude 20-100 m). Acesso pela Rodovia ES-490, entrada à esquerda, 2,5 km após o trevo da SAFRA, em direção à Marataízes","-41.055","-20.932778",NA,"Liana; látex incolor; flor amarela. Borda da Mata. Floresta Estacional Semidecidual em Estágio Médio/Avançado de Regeneração.","MBML042039","MBML042039","F.S. Espírito Santo/15-04-2017",NA,"Itapemirim",NA,NA,NA,NA,NA,NA,"41W3'18","20S55'58",NA
"7","2020-07-10 09:43:41-03","MBML","MBML-HERBARIO","39828",NA,"Plantae",NA,NA,"Asclepiadaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali",NA,"L. Kollmann; & C. Esguario","11948","2010","04","20",NA,"Brasil","Espírito Santo","estrada Agua Limpa para Jaguaré","-40.076099395752","-18.9055995941162",NA,"Liana ao sol, flores amarelas.","MBML039828","MBML039828",NA,NA,"Jaguaré","43085",NA,NA,"auto",NA,NA,NA,NA,NA
"8","2021-03-15 18:24:47-03","USP","SPF","187430","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali","isotype","Sucre, D","8310","1972","01","30",NA,"Brasil","Espírito Santo","DOCEMADE",NA,NA,NA,"Volúvel, heliófila, crescendo em formação alagadiça. Cálice verde albacento com os sépalos castanho-róseo. Corola alba com a face interna das pétalas róseo.","SPF00187430",NA,"Fontella Pereira, J","1996",NA,NA,NA,NA,NA,"10","04",NA,NA,NA
"9","2019-11-13 11:15:10-03","USP","SPF","178879","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Marsdenia","fontellana","Marsdenia fontellana","Morillo & Carnevali",NA,"Hatschbach, G","48711","1984","12","07",NA,"Brasil","Espírito Santo","Orla da mata pluvial.","-40.0722007751465","-19.3910999298096",NA,"Volúvel, látex alvo, flor violeta, exterior do tubo alvo.","SPF00178879",NA,"Espírito-Santo, FS","2017","Linhares","48094",NA,NA,"auto","05",NA,NA,NA,NA
"10","2020-07-23 11:58:26-03","CEPLAC","CEPEC","118855","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Marsdenia","fontellana","Marsdenia fontellana",NA,NA,"G. Hatschbach","48711","1988","12","09",NA,"Brasil","Espírito Santo","Rancho alto.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"J. Fontella",NA,"LINHARES","48094",NA,NA,"auto",NA,NA,NA,NA,"30/12/2005"
