"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","eventTime","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","687506","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","V. C. Souza","F. C. Hoehne","s.n.","1918","02","19","South America","Brazil","São Paulo","Capital, Butantan.","-46.724373","-23.565521","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=876716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687506","NY00687506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:40-03","ESALQ","ESA","68969","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza, V.C.","Brade, A.C.",NA,"1914","02","24",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA068969",NA,"São Caetano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:40-03","ESALQ","ESA","85183","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Rando, J.G. & Souza, V.C.","Dombrowski, L.T.","6195.0","1975","12","15",NA,"Brasil","Paraná",NA,"-49.2731018066406","-25.4277992248535",NA,NA,"ESA085183","ESA085183","Curitiba","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:40-03","ESALQ","ESA","96264","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza, V.C.","Ribas, O.S. et al.","5891.0","2004","02","14",NA,"Brasil","Paraná",NA,"-49.0633010864258","-25.4416999816895",NA,NA,"ESA096264","ESA096264","Piraquara","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0046782","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","V. C. Souza","O. S. Ribas; C. B. Poliquesi, E. Barbosa, J. Bordin, P. Steiner","5891","2004","2","14",NA,"Brazil","Parana","Sítio Santa Bárbara (Mun. Piraquara).","-49.0667","-25.4333",NA,"Ereta, 60 cm, flor rosada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:37:26-03","UNICAMP","UEC","23607","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Souza, VC","Shepherd, GJ; Martins, FR; Tamashiro, JY","12193","1980","12","21",NA,"Brazil","Minas Gerais","Estrada de Andradas/Caldas e Pocinhos.","-46.516861","-22.034528",NA,"Erva de 40cm., flores roxas, em brejo.","UEC002089","UEC002089","Andradas",NA,NA,"1993","09","24","-46.516861","-22.034528",NA,NA,NA,NA,NA
"7","2021-03-01 16:37:26-03","UNICAMP","UEC","124766","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer","Meireles, LD","Meireles, LD; Mansanares, ME; Verola, CF; Azevedo, MT","907","2002","03","02",NA,"Brazil","Minas Gerais","Cadeia do Espinhaço, Estrada para Guinda e Sopa","-43.6002998352051","-18.2493991851807",NA,"arbusto, 1m, flores magenta, na borda de afloramento","UEC002090","UEC002090","Diamantina","101169","auto","2005","02",NA,NA,NA,NA,NA,NA,NA,NA
"8","2014-10-14 15:56:40-03","BS","M","M-0188650","S","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer",NA,"Regnell, A.F.",NA,"1847","03","11",NA,"Brasil",NA,"Prov. Minas Geraes.",NA,NA,NA,NA,"M0188650",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","ISOTYPE","21:00",NA,NA
"9","2014-10-14 15:56:40-03","BS","M","M-0188651","S","Plantae","Magnoliophyta","Lamiales","Orobanchaceae","Agalinis","ramulifera","Agalinis ramulifera","Barringer",NA,"Regnell, A.F.",NA,"1846","12","31",NA,"Brasil",NA,"Prov. Minas Geraes.",NA,NA,NA,NA,"M0188651",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","ISOTYPE","21:00",NA,NA
"10","2020-12-21 16:44:58-03","MBM","MBM","70083","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Agalinis","ramulifera","Agalinis ramulifera","K. Barringer","Elias, S.I.","Shepherd, G.J.; et al.; et al.","12193",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Estrada para Caldas e Pocinhos","-46.5691986083984","-22.0680999755859",NA,NA,"MBM070083","MBM070083","Andradas","16593","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
