"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00863589","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.","G. Davidse","T. C. Plowman","8282","1980","02","02","South America","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","400","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863589","NY00863589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:32-03","EAO","IAN","148922","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Ischaemum","rugosum","Ischaemum rugosum","J.Presl & C.Presl",NA,"Bona, MS do","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN148922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:32-03","EAO","IAN","170579","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Ischaemum","rugosum","Ischaemum rugosum","J.Presl & C.Presl",NA,"Valls, JFM","11686","1988","05","06","Southern America","Brasil","Amapá","Macapá","Ao longo do muro de contençao do rio Amazonas entre o Trapiche a frente do Novotel e o igarapé das Mulheres. Local muito pertubado, em área urbana. Solo areno-argiloso muito compactado e mal drenado.","-51.0663986206055","-0.366667002439499",NA,NA,NA,"Erva ruderal com colmos erectos e pouco afilhos. Inflorescências com dois ramos firmemente encostados. Um ao outro parecendo uma espiga cilindrica. Os ramos afastam-se na maturação dos frutos ou pela secagem das plantas.","IAN170579",NA,"225229","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:28:58-03","UFBA","ALCB","005384","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Ischaemum","rugosum","Ischaemum rugosum","(H.Rob.) H.Rob.",NA,"Costa, SG","7172","1943","05",NA,"Southern America","Brasil","São Paulo","Pindamonhagaba",NA,"-45.45","-22.916667",NA,NA,NA,NA,"ALCB018957","ALCB018957",NA,NA,"1947","10","-45.45","-22.916667",NA,NA,NA,NA,NA
"5","2020-02-08 10:18:01-03","NBC","NL-BOTANY","U.1500640","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.",NA,"Schnell RAA",NA,"1961","08","01","Southern America","French Guiana","Bassin du Maroni",NA,"Saint Laurent.","-54.036","5.486833",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1500640 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1500640","NL-U1500640",NA,NA,NA,NA,"-54.036","5.486833","Magnoliopsidae","U 0229835",NA,NA,NA
"6","2020-02-08 10:18:01-03","NBC","NL-BOTANY","U.1500637","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.",NA,"Everaarts AP",NA,"1983","03","01","Southern America","Surinam","Saramacca",NA,"Experimental farm Coebiti.","-55.5","5.333333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1500637 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1500637","NL-U1500637",NA,NA,NA,NA,"-55.5","5.333333","Magnoliopsidae","U 0229832",NA,NA,NA
"7","2020-02-08 10:18:01-03","NBC","NL-BOTANY","U.1500636","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.",NA,"Everaarts AP",NA,"1982","10","28","Southern America","Surinam","Saramacca",NA,"Experimental farm Kabo.","-55.716667","5.266667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1500636 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1500636","NL-U1500636",NA,NA,NA,NA,"-55.716667","5.266667","Magnoliopsidae","U 0229831",NA,NA,NA
"8","2020-02-08 10:18:01-03","NBC","NL-BOTANY","U.1500625","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.",NA,"Hekking WHAM",NA,"1961","08","19","Southern America","Surinam","Nickerie",NA,"Prins Bernhard polder.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1500625 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1500625","NL-U1500625",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0229823",NA,NA,NA
"9","2020-02-08 10:18:01-03","NBC","NL-BOTANY","U.1500626","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.",NA,"Wessels Boer JG",NA,"1963","03","15","Southern America","Surinam",NA,NA,"Oelemari Airstrip.","-54.55","3.1",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1500626 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1500626","NL-U1500626",NA,NA,NA,NA,"-54.55","3.1","Magnoliopsidae","U 0229824",NA,NA,NA
"10","2020-02-08 10:18:01-03","NBC","NL-BOTANY","U.1500627","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.",NA,"Relyveld JE",NA,"1950","10","04","Southern America","Surinam","Nickerie",NA,"Nickerie R., Clarapolder.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1500627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1500627","NL-U1500627",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0229825",NA,NA,NA
