"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","locality","occurrenceRemarks","county","recordNumber","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","continentOcean","barcode","imagecode","typeStatus","class","order"
"1","2020-10-01 08:08:28-03","UFPI","TEPB","6239","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","A.J. Castro","1981","06","25","Brasil","Piauí","2ª parcela do Inventário Florestal dos Cerrados","Árvore Ambiente: Cerrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-12 12:04:31-03","UFPI","TEPB","4479","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Teixeira, G. A.","1985","12","18","Brasil","Piauí","Campo Agrícola","Flor branca, forrageira, frutos comestíveis <ll>dwc_commonname:</ll> Mororó-de-cabra","Valença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-23 17:08:48-03","UFPI","TEPB","32442","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","S.R.SOUSA","2008","02","24","Brasil","Piauí","Serra do Bugarim","arbusto; fruto imaturo; frequente; solo rochoso. Geo-8 Ambiente: Cerrado Rupestre","Campo Maior","14","-42.193611","-4.9575","42°11'37W","04°57'27S","273","273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-02 02:00:29-03","UFPI","TEPB","6239","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","A. J. CASTRO","1981","06","25","Brasil","Piauí",NA,"Arvore Ambiente: Cerrado <ll>dwc_commonname:</ll> Mussarenga","2ª Parcela do inventário florestal dos cerrados do Piauí",NA,NA,NA,NA,NA,NA,NA,"I. Loiola","2005","03","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-06 14:38:34-03","UFPI","TEPB","3705","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman",NA,"1984","10","30","Brasil","Piauí","Fazenda Experimental da Universidade-Piaçaba","Arbusto Ambiente: Caatinga Arbórea <ll>dwc_commonname:</ll> N. V. Fedegôso","Valença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-12 12:04:31-03","UFPI","TEPB","26105","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","T. Plowman","M. P. Silva","2008","11","30","Brasil","Piauí","Pau Arrastado","Arbusto, flor branca, fruto preto, frequencia razoável, substrato pedregoso Ambiente: Cerrado <ll>dwc_commonname:</ll> Pereiro","Campo Maior","176","-42.1685981750488","-4.82777976989746",NA,NA,"23","23",NA,NA,NA,NA,"41673","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 10:26:22-03","UFPI","TEPB","2877","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Fatima","1981","10","28","Brasil","Piauí","Genipapo","Arbusto de 4m de altura, flor branca Ambiente: Cerrado <ll>dwc_commonname:</ll> Jurema-de-caboclo","Francinopólis",NA,"-42.2619018554688","-6.39583015441895",NA,NA,NA,NA,"ALENCAR, M. E.","1995","11","01","15522","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-04-02 02:00:29-03","UFPI","TEPB","11084","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","A. J. CASTRO","1999","11","27","Brasil","Piauí","Fazenda Saquinho, próximo a lageiros","arbusto; frutos jovens verdes; substrato pedregoso Ambiente: Cerrado <ll>dwc_commonname:</ll> muçarenga","Monsenhor Gil",NA,"-42.6077995300293","-5.56416988372803",NA,NA,NA,NA,"Bezerra-Loiola, M. I.",NA,NA,NA,"20710","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-21 19:34:02-03","UFC","EAC","25670","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Figueiredo, M.A.; Augusto, J.","1997","05","20","Brasil","Ceará","Ibiapaba Sul - Alagadiço, Tucuns, sertão, Substrato areia-quartzosa","Arbusto, ca.2m; Carrasco","Crateús","906","-40.6775016784668","-5.1783299446106",NA,NA,"680","680","Loiola, M.I.B.","1999","03","01","43216","auto","Dicotyledon","Southern America","EAC0025670","EAC0025670",NA,NA,NA
"10","2021-03-21 19:34:02-03","UFC","EAC","33924","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","bezerrae","Erythroxylum bezerrae","Plowman","Araújo, F.S.; Girão, L.C.","2002","02","26","Brasil","Ceará","RPPN Serra das Almas","Arbusto, fanerófito, zoocórico, com fruto; Carrasco","Crateús","1322","-40.6775016784668","-5.1783299446106",NA,NA,"650","700","Loiola, M.I.B.","2005","09","30","43216","auto","Dicotyledon","Southern America","EAC0033924","EAC0033924",NA,NA,NA
