"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","county","imagecode","maximumElevationInMeters","typeStatus","class","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:27-03","E","E","119816","PreservedSpecimen","Plantae","Sinopteridaceae","Doryopteris","crenulans","Doryopteris crenulans","Rodrigues, C.E.;","888","1996","02","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:176620","<a href=http://data.rbge.org.uk/herb/E00119816 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00119816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:27-03","E","E","119797","PreservedSpecimen","Plantae","Sinopteridaceae","Doryopteris","crenulans","Doryopteris crenulans","Rodrigues, C.E.;","802","1995","10","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:176592","<a href=http://data.rbge.org.uk/herb/E00119797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00119797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:27-03","E","E","171388","PreservedSpecimen","Plantae","Sinopteridaceae","Doryopteris","crenulans","Doryopteris crenulans","Rodrigues, C.E.; Coral, D.J.;","1312","1996","10","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:179079","<a href=http://data.rbge.org.uk/herb/E00171388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00171388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3903044","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","crenulans","Lytoneuron crenulans","H. H. van der Werff","14870","1998","03","13","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189797' target='other'> <mi>dwc_moreinfo</mi></a>","NY03903044","Pteridophyta","Polypodiales","(Fée) Yesilyurt","Amazonas","a few km from Molinapampa.","-77.6831","-6.0458","2380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","807659","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","crenulans","Lytoneuron crenulans","P. C. Porto","3063","1937","05","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807659","Pteridophyta","Polypodiales","(Fée) Yesilyurt","São Paulo",NA,"-45.59","-22.73",NA,"Campos do Jordao","NY00807659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1016441","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","crenulans","Lytoneuron crenulans","K. Kubitzki","84-22","1984","02","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178079' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016441","Pteridophyta","Polypodiales","(Fée) Yesilyurt",NA,"Serra da Mantiqueira, nahe Serra das Agulhas Negras. Felsspalte, Alsene.","-44.658333","-22.384444","2300",NA,"NY01016441_01","2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","807658","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","crenulans","Lytoneuron crenulans","A. C. Brade","12894","1933","12",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807658","Pteridophyta","Polypodiales","(Fée) Yesilyurt","São Paulo","Capital - Vila Ema.","-46.543068","-23.587347",NA,"Sao Paulo","NY00807658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3903042","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","crenulans","Lytoneuron crenulans","O. Buchtien","7038","1922","12","02","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189795' target='other'> <mi>dwc_moreinfo</mi></a>","NY03903042","Pteridophyta","Polypodiales","(Fée) Yesilyurt","La Paz","Tipuani Valley: Hacienda Casana",NA,NA,"1400","Larecaja","NY03903042_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","908792","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","crenulans","Lytoneuron crenulans","C. M. Mynssen","577","2004","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908792","Pteridophyta","Polypodiales","(Fée) Yesilyurt","Minas Gerais","Parque Estadual do Itacolomi, estrada para o Cibrão.","-43.42","-20.4097",NA,"Ouro Preto","NY00908792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1039726","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","crenulans","Lytoneuron crenulans","J. Prado","2135","2010","03","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1490569' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039726","Pteridophyta","Polypodiales","(Fée) Yesilyurt","Santa Catarina","Estrada para São Joaquim, entrada a esquerda para o Hotel Fazenda Pedra Branca, estrada à direita.","-50.2","-27.83","949","Lages","NY01039726_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
