"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00916178","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","M. C. H. Mamede","A. M. Giulietti","7406","1981","07","01","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. Km [blank] ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Estrada da Usina.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916178","NY00916178_01 NY00916178_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:31:11-03","UFRJ","RFA","12654","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","C. Anderson","P. Occhioni","5054","1972","06","27",NA,"Brasil","Minas Gerais","Minas Gerais","Serra do Cipó, Estrada da Represa",NA,NA,NA,"Arbusto escandente; flor amarela","RFA34400",NA,"Paratipo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:31:11-03","UFRJ","RFA","12659","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","C. Anderson","P. Occhioni","5009","1972","06","26",NA,"Brasil","Minas Gerais","Minas Gerais","Est. da Conceição do Cerro - km 110 - 130. Serra do Cipó",NA,NA,NA,"Arbusto lenhoso, flor amarela","RFA34404",NA,"Holotipo","1100","1100",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:09-03","UFRJ","RFA","Foto 43288","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson","C. Anderson","P. Occhioni","5009","1972","06","26",NA,"Brasil","Minas Gerais","Minas Gerais","Est. da Conceição do Cerro - km 110 - 130. Serra do Cipó",NA,NA,NA,"Arbusto lenhoso, flor amarela","RFA-Foto45291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-15 11:14:46-03","FUNED","FUNED-POL","1764","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana",NA,NA,NA,NA,"1996","07","09",NA,"Brasil","MG",NA,"Santana do Riacho","-43.714167","-19.168889",NA,NA,"POL001764",NA,NA,NA,NA,"43W 42' 51","19S 10' 08",NA,NA,NA,NA,NA
"6","2020-12-15 11:14:46-03","FUNED","FUNED-POL","1763","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana",NA,NA,NA,NA,"1996","07","09",NA,"Brasil","MG",NA,"Santana do Riacho","-43.714167","-19.168889",NA,NA,"POL001763","POL001763_p01 POL001763_p02",NA,NA,NA,"43W 42' 51","19S 10' 08",NA,NA,NA,NA,NA
"7","2020-12-15 11:14:46-03","FUNED","FUNED-POL","1762","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana",NA,NA,NA,NA,"1996","07","09",NA,"Brasil","MG",NA,"Santana do Riacho","-43.714167","-19.168889",NA,NA,"POL001762",NA,NA,NA,NA,"43W 42' 51","19S 10' 08",NA,NA,NA,NA,NA
"8","2020-12-15 11:14:46-03","FUNED","FUNED-POL","1765","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana",NA,NA,NA,NA,"1996","07","09",NA,"Brasil","MG",NA,"Santana do Riacho","-43.714167","-19.168889",NA,NA,"POL001765",NA,NA,NA,NA,"43W 42' 51","19S 10' 08",NA,NA,NA,NA,NA
"9","2020-11-04 11:12:43-03","ESALQ","ESA","7868","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C. Anders.","Souza, V.C. & Souza, J.P.","Sakuragui, C.M. ; Souza, V.C.","54.0","1990","08","02",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA007868","ESA007868",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA
"10","2020-12-21 16:32:51-03","MBM","MBM","214464","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","B. Gates","Mamede, M.C. .H.","Pereira, M.; et al.; et al.","778",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santana do Riacho","Parque Nacional Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"MBM214464","MBM214464",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA
"11","2020-12-11 11:37:40-03","UFMG","BHCB","169568","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Sarmento, CD","s.n.","2013","07",NA,"Southern America","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó","-43.615","-19.365",NA,"Arbusto, 1,4 m.; Cerrado Rupestre","BHCB014722",NA,NA,"961","961","-43.615","-19.365",NA,NA,NA,NA,NA
"12","2020-12-11 11:37:40-03","UFMG","BHCB","153529","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Pena, FSR","s.n.","2011","07","27","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Mina do Sapo","-43.433056","-18.904444",NA,"Campo Rupestre Laterítico; Capão de Canga",NA,NA,NA,"1500","1500","-43.433056","-18.904444",NA,NA,NA,NA,NA
"13","2020-12-11 11:37:40-03","UFMG","BHCB","156283","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Carvalho, LB","s.n.","2012","02",NA,"Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Cava do Sapo","-43.432778","-18.905833",NA,NA,NA,NA,NA,"900","900","-43.432778","-18.905833",NA,NA,NA,NA,NA
"14","2020-12-11 11:37:40-03","UFMG","BHCB","156284","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Carvalho, LB","s.n.","2012","02",NA,"Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Cava do Sapo","-43.432778","-18.905833",NA,NA,NA,NA,NA,"900","900","-43.432778","-18.905833",NA,NA,NA,NA,NA
"15","2020-12-11 11:37:40-03","UFMG","BHCB","163244","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Tameirão Neto, E; Vidal, CV","5148","2012","08","16","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.396944","-19.013056",NA,"Campo rupestre sobre formação ferrífera; Arbustivo",NA,NA,NA,NA,NA,"-43.396944","-19.013056",NA,NA,"2013","02",NA
"16","2020-12-11 11:37:40-03","UFMG","BHCB","181304","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Siriani-Oliveira, S","55","2012","06","23","Southern America","Brasil","Minas Gerais","Jaboticatubas","Parque Nacional da Serra do Cipó, Trilha do Capão","-43.616806","-19.349167",NA,NA,"BHCB036365",NA,NA,NA,NA,"-43.616806","-19.349167",NA,NA,"2012","08","02"
"17","2020-12-11 11:37:40-03","UFMG","BHCB","182257","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","cipoana","Peixotoa cipoana","C.E.Anderson",NA,"Moreira, SN; França, M; Toledo, F; Farias, AP; Knegt, R","1774","2015","07","08","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Estadual da Serra do Intendente","-43.419722","-18.920556",NA,"Arbusto até 2m de altura. Flor amarela. Fruto verde na base e avermelhado no ápice. Campo ferruginoso.","BHCB037545",NA,NA,NA,NA,"-43.419722","-18.920556",NA,NA,"2015","07",NA
