"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","685321","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","mynsseniae","Adiantum mynsseniae","J.Prado","J. Prado","A. C. Brade","8503","1927","08","South America","Brazil","São Paulo","Morro das Pedras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=890948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685321","NY00685321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685322","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","mynsseniae","Adiantum mynsseniae","J.Prado","J. Prado","A. C. Brade","8504","1927","08","South America","Brazil","São Paulo","Morro das Pedras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=890951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685322","NY00685322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1801129","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","mynsseniae","Adiantum mynsseniae","J.Prado",NA,"C. M. Mynssen","1141","2009","02","South America","Brazil","Rio de Janeiro","Reserva Rio das Pedras, trilha do Cambucá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2016877' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801129","NY01801129_01","10","Mangaratiba","-44.040599822998","-22.9596996307373","17272","auto",NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:43:57-03","UNICAMP","UEC","78582","S","Plantae","Pteridophyta",NA,"Pteridaceae","Adiantum","mynsseniae","Adiantum mynsseniae","J.Prado","Prado, J","Salino, A","1645","1993","01",NA,"Brazil","São Paulo","Parque estadual da Ilha Anchieta",NA,"Terrestre. Herbáceo.; Floresta Atlântica de Encosta.","UEC052874","UEC052874","04","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto","2009",NA,NA,NA,NA,NA
"5","2020-12-21 16:42:14-03","MBM","MBM","288151","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","mynsseniae","Adiantum mynsseniae","J. Prado","Prado, J.","Mynssen, C.; Santiago, A.; Cerqueira, A.; Santiago, A.; Cerqueira, A.","356","2001","08","Southern America","Brazil","Rio de Janeiro","Reserva Rio das Pedras, RPPN-IBAMA, trilha do Cambucá",NA,"Planta terrícola, semi-ciófila, formando densas populações às margens da trilha; Planta terrícola, semi ciófila, formando densas populações.; Margens de trilha.","MBM288151","MBM288151","16","Mangaratiba","-44.040599822998","-22.9596996307373","17272","auto","2009","ISOTYPE",NA,NA,NA,NA
"6","2015-09-03 16:56:25-03","MNHN","RECOLNAT_MNHN_P","P01319594","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","mynsseniae","Adiantum mynsseniae","J.Prado","Prado","s.c.",NA,"1852",NA,NA,"Brasil",NA,"Cult. in hort. bot.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01319594' target='other'> <mi>dwc_moreinfo</mi></a>","P01319594","P01319594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 16:54:24-03","MNHN","RECOLNAT_MNHN_P","P01319595","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","mynsseniae","Adiantum mynsseniae","J.Prado","Prado","Edwall, G.",NA,"1900",NA,NA,"Brasilia",NA,"Prov. Bahia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01319595' target='other'> <mi>dwc_moreinfo</mi></a>","P01319595","P01319595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-03 16:56:25-03","MNHN","RECOLNAT_MNHN_P","P01319596","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","mynsseniae","Adiantum mynsseniae","J.Prado","Prado","s.c.",NA,NA,NA,NA,"Brasilia",NA,"s.l.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01319596' target='other'> <mi>dwc_moreinfo</mi></a>","P01319596","P01319596_01",NA,NA,"-59.91667","-2.83333",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-23 12:19:39-03","CEPLAC","CEPEC","126118","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","mynsseniae","Adiantum mynsseniae",NA,"J. Prado","Matos, F. B.","1786","2009","06",NA,"Brasil","Bahia","RPPN Serra Bonita. Fazenda Uiraçu. Trilha da Pousada. Interior da mata.",NA,NA,NA,NA,"16","CAMACAN","-39.565278","-15.391667",NA,NA,NA,NA,"39W33'55","15S23'30","600","600"
"10","2019-11-21 10:17:23-03","IBt","SP","364207","S","Plantae",NA,NA,"Pteridaceae","Adiantum","mynsseniae","Adiantum mynsseniae","J.Prado","Prado, J","Mynssen, CM; et al.","356","2001","08",NA,"Brasil","Rio de Janeiro","Reserva do Rio das Pedras (RPPN-IBAMA), trilha do Cambucá",NA,NA,"SP003744","SP003744","16","Mangaratiba","-44.040599822998","-22.9596996307373","17272","auto","2004","Isotype",NA,NA,NA,NA
